condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J
ours,40,0,0,20,1.056481939284748,0.0,0.0,0.04900000000000001,0.024500000000000004,-102.83805000091066
ours,40,40000,38400,20,1.029487113369226,0.0125,0.0,0.053000000000000005,0.026500000000000003,-102.2955253747999
ours,40,80000,75200,20,1.01695930200311,0.0,0.0,0.0695,0.03475,-101.00923128458773
ours,40,120000,118400,20,0.6991053762567383,0.0,0.0,0.08400000000000002,0.04200000000000001,-88.86472153168299
ours,40,160000,158400,20,0.6846072597266605,0.0125,0.0,0.07950000000000002,0.03975000000000001,-82.39869957688526
ours,40,200000,197600,20,0.6505926685471726,0.0375,0.0,0.092,0.046,-81.85621009567896
ours,41,0,0,20,0.9947842718930469,0.0,0.0,0.053500000000000006,0.026750000000000003,-94.96710146350178
ours,41,40000,38400,20,0.9686473494186465,0.0,0.0,0.062,0.031,-96.37863121865628
ours,41,80000,78400,20,0.9045735832592909,0.0,0.0,0.0635,0.03175,-92.77110710493571
ours,41,120000,120000,20,0.8901982419406084,0.0,0.0,0.06050000000000001,0.030250000000000006,-89.12567742549221
ours,41,160000,160000,20,0.614809817760278,0.0375,0.0,0.0885,0.04425,-74.83592798785955
ours,41,200000,198400,20,0.6804077167098088,0.0125,0.0,0.0875,0.04375,-81.3680744662819
ours,42,0,0,20,0.9090176474553268,0.0,0.0,0.06999999999999999,0.034999999999999996,-88.06166599920196
ours,42,40000,37600,20,0.9339382567823206,0.0,0.0,0.05950000000000001,0.029750000000000006,-90.87642977446615
ours,42,80000,78400,20,0.8026042209426827,0.0,0.0,0.07650000000000001,0.038250000000000006,-88.19870147616525
ours,42,120000,120000,20,0.6758746574026941,0.025,0.0,0.0935,0.04675,-81.31081630973496
ours,42,160000,159200,20,0.6534873401026541,0.0,0.0,0.10200000000000001,0.051000000000000004,-77.22375981344385
ours,42,200000,196800,20,0.5761522750339534,0.0125,0.0,0.12550000000000003,0.06275000000000001,-75.64338802690692
sampled,40,0,0,20,1.2315601282586972,0.0,0.0,0.036500000000000005,0.018250000000000002,-103.44001727573622
sampled,40,40000,37600,20,1.2148879434283972,0.0,0.0,0.04000000000000001,0.020000000000000004,-110.7590672927669
sampled,40,80000,80000,20,1.1352066759011816,0.0,0.0,0.04150000000000001,0.020750000000000005,-106.15584216635406
sampled,40,120000,120000,20,0.9784591528041421,0.0125,0.0,0.05800000000000001,0.029000000000000005,-95.32244209660263
sampled,40,160000,159200,20,0.8881519544181538,0.0,0.0,0.06400000000000002,0.03200000000000001,-91.45658069167752
sampled,40,200000,199200,20,0.751961324922198,0.0125,0.0,0.08449999999999999,0.042249999999999996,-87.14835763897982
sampled,41,0,0,20,0.9728904148859915,0.0125,0.0,0.0405,0.02025,-96.57672139074492
sampled,41,40000,38400,20,0.9478386376984462,0.0125,0.0,0.04700000000000001,0.023500000000000004,-95.55120709341087
sampled,41,80000,79200,20,1.0060787959727238,0.0,0.0,0.05,0.025,-96.98502675610374
sampled,41,120000,119200,20,0.7861258877645699,0.0125,0.0,0.07150000000000002,0.03575000000000001,-87.78252790937134
sampled,41,160000,157600,20,0.6875896082108517,0.025,0.0,0.06999999999999999,0.034999999999999996,-80.35362126243753
sampled,41,200000,197600,20,0.6631540190485875,0.0,0.0,0.10500000000000001,0.052500000000000005,-84.15638015171666
sampled,42,0,0,20,0.9414985066819052,0.0125,0.0,0.052000000000000005,0.026000000000000002,-93.38500833315919
sampled,42,40000,38400,20,0.8146763185447901,0.0,0.0,0.049,0.0245,-91.61472419296894
sampled,42,80000,78400,20,0.9200191125699593,0.0125,0.0,0.066,0.033,-93.28106916435311
sampled,42,120000,119200,20,0.8375666193676652,0.0,0.0,0.06400000000000002,0.03200000000000001,-88.11083459566012
sampled,42,160000,160000,20,0.7296462512726776,0.0125,0.0,0.07900000000000003,0.039500000000000014,-86.80809401318167
sampled,42,200000,197600,20,0.5287178019826024,0.0,0.0,0.1105,0.05525,-83.4550953672302
mappo,40,0,0,20,1.240390710087055,0.0125,0.0,0.046000000000000006,0.023000000000000003,-108.1436989191628
mappo,40,40000,40000,20,0.5089642545573076,0.0375,0.0,0.099,0.0495,-68.08261614048013
mappo,40,80000,80000,20,0.46955830568550905,0.025,0.0,0.15749999999999997,0.07874999999999999,-59.941190510570344
mappo,40,120000,120000,20,0.38256373596405685,0.0625,0.0,0.125,0.0625,-60.290004509894366
mappo,40,160000,160000,20,0.48485407274152903,0.0,0.0,0.079,0.0395,-64.80827116897514
mappo,40,200000,200000,20,0.5542070820155823,0.025,0.0,0.06400000000000002,0.03200000000000001,-65.80673217414159
mappo,41,0,0,20,1.0293282315266714,0.0,0.0,0.05750000000000001,0.028750000000000005,-98.85481034752613
mappo,41,40000,40000,20,0.5035873085902907,0.0375,0.0,0.1485,0.07425,-67.27603400375763
