kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,fit_quarter,4,J,1,0,0,1,-68.72003179889919,,,
condition,fit_quarter,4,AUC,1,0,0,1,-75.21110965980094,,,
condition,fit_quarter,4,coverage,1,0,0,1,0.0375,,,
condition,fit_quarter,4,distance,1,0,0,1,0.4977178671761287,,,
condition,fit_quarter,4,all_covered,1,0,0,1,0.0,,,
condition,fit_quarter,4,collision_pairs,1,0,0,1,0.15199999999999997,,,
condition,fit_quarter,4,collisions_per_agent,1,0,0,1,0.07599999999999998,,,
condition,fit_quarter,4,source_steps,1,0,0,1,1997600.0,,,
condition,fit_quarter,4,unused_budget,1,0,0,1,2400.0,,,
condition,fit_quarter,4,train_seconds,1,0,0,1,2009.2023445046507,,,
condition,fit_quarter,4,evaluation_seconds,1,0,0,1,9.34649959905073,,,
condition,fit_quarter,4,optimizer_steps,1,0,0,1,67416.0,,,
condition,fit_quarter,4,coverage_cost,1,0,0,0,,,,
condition,fit_quarter,4,fit_kl_after,1,0,0,1,2.0200912281459458e-05,,,
condition,fit_quarter,4,coverage_reached,1,0,0,1,0.0,,,
condition,ippo,4,J,1,0,0,1,-37.606335035614826,,,
condition,ippo,4,AUC,1,0,0,1,-50.649363555681916,,,
condition,ippo,4,coverage,1,0,0,1,0.4875,,,
condition,ippo,4,distance,1,0,0,1,0.20051722235249123,,,
condition,ippo,4,all_covered,1,0,0,1,0.05,,,
condition,ippo,4,collision_pairs,1,0,0,1,0.08600000000000001,,,
condition,ippo,4,collisions_per_agent,1,0,0,1,0.043000000000000003,,,
condition,ippo,4,source_steps,1,0,0,1,2000000.0,,,
condition,ippo,4,unused_budget,1,0,0,1,0.0,,,
condition,ippo,4,train_seconds,1,0,0,1,2296.967993002385,,,
condition,ippo,4,evaluation_seconds,1,0,0,1,9.331935899797827,,,
condition,ippo,4,optimizer_steps,1,0,0,1,100000.0,,,
condition,ippo,4,coverage_cost,1,0,0,0,,,,
condition,ippo,4,coverage_reached,1,0,0,1,0.0,,,
condition,mappo,4,J,1,0,0,1,-34.35439479349796,,,
condition,mappo,4,AUC,1,0,0,1,-57.67913301795126,,,
condition,mappo,4,coverage,1,0,0,1,0.5125,,,
condition,mappo,4,distance,1,0,0,1,0.1708566398463979,,,
condition,mappo,4,all_covered,1,0,0,1,0.05,,,
condition,mappo,4,collision_pairs,1,0,0,1,0.06900000000000002,,,
condition,mappo,4,collisions_per_agent,1,0,0,1,0.03450000000000001,,,
condition,mappo,4,source_steps,1,0,0,1,2000000.0,,,
condition,mappo,4,unused_budget,1,0,0,1,0.0,,,
condition,mappo,4,train_seconds,1,0,0,1,2167.5913894106634,,,
condition,mappo,4,evaluation_seconds,1,0,0,1,9.387223899830133,,,
condition,mappo,4,optimizer_steps,1,0,0,1,100000.0,,,
condition,mappo,4,coverage_cost,1,0,0,0,,,,
