condition,algorithm_condition,seed,budget_checkpoint,actor_source_steps,total_actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,J_se,coverage_se,distance_se
direction_epochs_16,no_checks,40,0,0,10000000,256,0.208599299674951,0.2529296875,0.0078125,0.156640625,0.0783203125,-39.424957027356,0.7934004489260277,0.015438992214920058,0.006975161574786323
direction_epochs_16,no_checks,40,100000,99200,10099200,256,0.2098265296363951,0.2236328125,0.0,0.15675781249999998,0.07837890624999999,-39.908519251707915,0.8200702357283339,0.013773665843841404,0.006740339047220143
direction_epochs_16,no_checks,40,200000,200000,10200000,256,0.21572811660314103,0.24609375,0.0078125,0.171875,0.0859375,-40.335705922561054,0.8303832146490364,0.0141096533789553,0.007680493723458956
direction_epochs_16,no_checks,40,300000,299200,10299200,256,0.2044051556234785,0.2568359375,0.0,0.1535546875,0.07677734375,-39.43092159488561,0.7997364946258191,0.013934555275271347,0.0063946279177128544
direction_epochs_16,no_checks,40,400000,400000,10400000,256,0.21159964194390052,0.23828125,0.01171875,0.170859375,0.0854296875,-39.51526470695393,0.7956619618457472,0.01469139432622971,0.007259503214588812
direction_epochs_16,no_checks,40,500000,499200,10499200,256,0.2071626380871933,0.236328125,0.00390625,0.1703125,0.08515625,-40.00915866563243,0.824420526516792,0.013460151586126633,0.006424667406371741
direction_epochs_16,no_checks,40,600000,600000,10600000,256,0.21174683507126635,0.2353515625,0.0,0.15765625,0.078828125,-39.624942124387886,0.7732258973615006,0.014317911126786041,0.007269443898683206
direction_epochs_16,no_checks,40,700000,699200,10699200,256,0.20721129902065544,0.2099609375,0.0078125,0.16652343749999998,0.08326171874999999,-39.363319353415065,0.7496560275486646,0.013783437289949307,0.006423039382445613
direction_epochs_16,no_checks,40,800000,800000,10800000,256,0.20796123231245767,0.2333984375,0.01171875,0.17453125,0.087265625,-40.180518954120316,0.8060128251554494,0.01515440513806019,0.006695920819522187
direction_epochs_16,no_checks,40,900000,899200,10899200,256,0.2005162996364,0.2548828125,0.00390625,0.163046875,0.0815234375,-38.35699927954419,0.7408693615601915,0.014209887474142901,0.006244572215577773
direction_epochs_16,no_checks,40,1000000,1000000,11000000,256,0.20152687177550654,0.26171875,0.0078125,0.17050781249999997,0.08525390624999998,-39.59399624201809,0.7720646050432053,0.014227904562133058,0.006573345552906399
direction_epochs_4,no_checks,40,0,0,10000000,256,0.208599299674951,0.2529296875,0.0078125,0.156640625,0.0783203125,-39.424957027356,0.7934004489260277,0.015438992214920058,0.006975161574786323
direction_epochs_4,no_checks,40,100000,99200,10099200,256,0.20657557123120826,0.2392578125,0.00390625,0.1595703125,0.07978515625,-39.22926430510517,0.7919866099699379,0.01406172872850902,0.006633575491243581
direction_epochs_4,no_checks,40,200000,200000,10200000,256,0.20644168303123578,0.2548828125,0.01171875,0.1612109375,0.08060546875,-39.41350031550782,0.8485424092313595,0.014476885568149439,0.00693753229577854
direction_epochs_4,no_checks,40,300000,299200,10299200,256,0.2064987224105054,0.2421875,0.00390625,0.1601171875,0.08005859375,-39.244244617536154,0.7988841435425185,0.01375967518337409,0.006583154747149776
direction_epochs_4,no_checks,40,400000,400000,10400000,256,0.21088460165329032,0.2236328125,0.00390625,0.1648828125,0.08244140625,-39.52261454898586,0.8050343100228765,0.01404895670515407,0.006915492915476996
direction_epochs_4,no_checks,40,500000,499200,10499200,256,0.19907146763969197,0.251953125,0.0234375,0.1605859375,0.08029296875,-39.0062689685783,0.7526304703829473,0.015897873862377208,0.0068477491552377595
direction_epochs_4,no_checks,40,600000,600000,10600000,256,0.19904301294894594,0.2470703125,0.0,0.1643359375,0.08216796875,-39.331422877277774,0.828190239931447,0.013939922047514954,0.006410568992199371
direction_epochs_4,no_checks,40,700000,699200,10699200,256,0.20735648388125988,0.244140625,0.01171875,0.160234375,0.0801171875,-39.0716251549449,0.8029339442983121,0.014963298102240273,0.007377160666585071
direction_epochs_4,no_checks,40,800000,800000,10800000,256,0.19892298320276688,0.2509765625,0.01171875,0.1576171875,0.07880859375,-38.84484842469021,0.7741851780086344,0.014213045402394375,0.006663184683055259
direction_epochs_4,no_checks,40,900000,899200,10899200,256,0.20462273232620826,0.2646484375,0.015625,0.166015625,0.0830078125,-39.156210184290345,0.8108744896211934,0.015474801801614436,0.006956738349259049
direction_epochs_4,no_checks,40,1000000,1000000,11000000,256,0.2034045629718014,0.2578125,0.0,0.174140625,0.0870703125,-39.41308773629716,0.8031862222985102,0.014103290513522847,0.006957406607046103
