kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,direction_epochs_16,4,J,1,0,0,1,-39.59399624201809,,,
condition,direction_epochs_16,4,AUC,1,0,0,1,-39.615030688056436,,,
condition,direction_epochs_16,4,coverage,1,0,0,1,0.26171875,,,
condition,direction_epochs_16,4,distance,1,0,0,1,0.20152687177550654,,,
condition,direction_epochs_16,4,all_covered,1,0,0,1,0.0078125,,,
condition,direction_epochs_16,4,collision_pairs,1,0,0,1,0.17050781249999997,,,
condition,direction_epochs_16,4,collisions_per_agent,1,0,0,1,0.08525390624999998,,,
condition,direction_epochs_16,4,source_steps,1,0,0,1,1000000.0,,,
condition,direction_epochs_16,4,unused_budget,1,0,0,1,0.0,,,
condition,direction_epochs_16,4,train_seconds,1,0,0,1,1562.339020098094,,,
condition,direction_epochs_16,4,evaluation_seconds,1,0,0,1,302.9829878997989,,,
condition,direction_epochs_16,4,optimizer_steps,1,0,0,1,105000.0,,,
condition,direction_epochs_16,4,coverage_cost,1,0,0,0,,,,
condition,direction_epochs_16,4,fit_kl_after,1,0,0,1,3.531236325397913e-06,,,
condition,direction_epochs_16,4,coverage_reached,1,0,0,1,0.0,,,
condition,direction_epochs_4,4,J,1,0,0,1,-39.41308773629716,,,
condition,direction_epochs_4,4,AUC,1,0,0,1,-39.22449564242724,,,
condition,direction_epochs_4,4,coverage,1,0,0,1,0.2578125,,,
condition,direction_epochs_4,4,distance,1,0,0,1,0.2034045629718014,,,
condition,direction_epochs_4,4,all_covered,1,0,0,1,0.0,,,
condition,direction_epochs_4,4,collision_pairs,1,0,0,1,0.174140625,,,
condition,direction_epochs_4,4,collisions_per_agent,1,0,0,1,0.0870703125,,,
condition,direction_epochs_4,4,source_steps,1,0,0,1,1000000.0,,,
condition,direction_epochs_4,4,unused_budget,1,0,0,1,0.0,,,
condition,direction_epochs_4,4,train_seconds,1,0,0,1,1450.8426891015843,,,
condition,direction_epochs_4,4,evaluation_seconds,1,0,0,1,296.5063134985976,,,
condition,direction_epochs_4,4,optimizer_steps,1,0,0,1,75000.0,,,
condition,direction_epochs_4,4,coverage_cost,1,0,0,0,,,,
condition,direction_epochs_4,4,fit_kl_after,1,0,0,1,8.649465848066029e-07,,,
condition,direction_epochs_4,4,coverage_reached,1,0,0,1,0.0,,,
