condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
mappo,40,0,2347913895,2204399287,1,214,214,214,success,-66.44672407389805,1.0,45.0,48.3840015011485
mappo,40,1,1310321179,1655279843,1,15,15,15,success,-4.908922365331298,1.0,1.0,2.9203281349290444
mappo,40,2,925551445,1603184147,1,93,93,93,success,-26.89369254142111,1.0,10.0,21.586149256712677
mappo,40,3,3397827696,1467687412,1,14,14,14,success,-5.78534612976249,1.0,0.0,3.0539094735023387
mappo,40,4,2278052159,3283886647,1,34,34,34,success,-16.96016724020062,1.0,0.0,7.661245635335776
mappo,40,5,1141161844,1073813544,1,17,17,17,success,-9.047084923686093,1.0,0.0,4.2600746814103525
mappo,40,6,4018744254,4002431641,1,126,126,126,success,-29.52893815213783,1.0,33.0,24.714331849317432
mappo,40,7,1194439361,2962496275,1,48,48,48,success,-22.82469772282205,1.0,0.0,10.10657152096272
mappo,40,8,17891111,82345734,1,28,28,28,success,-14.633698239299074,1.0,5.0,6.885834089475863
mappo,40,9,1405872531,990800855,1,27,27,27,success,-12.977117738318828,1.0,5.0,5.730510557025168
mappo,40,10,4143954168,2976904518,1,43,43,43,success,-22.336933719014088,1.0,3.0,9.9242572036987
mappo,40,11,3750035447,3287475107,1,62,62,62,success,-17.946362060325885,1.0,3.0,12.36300734122908
mappo,40,12,3464920535,110148373,1,215,215,215,success,-44.35516680641855,1.0,34.0,43.031283291426014
mappo,40,13,4227631671,3094755462,1,20,20,20,success,-13.895174509770813,1.0,0.0,4.895058176622487
mappo,40,14,3029437499,2637565796,1,19,19,19,success,-13.577562752961835,1.0,0.0,4.93406931791425
mappo,40,15,4262312365,3479700024,1,60,60,60,success,-16.79528867007869,1.0,12.0,12.238242999114577
mappo,40,16,3526763631,1544041880,1,113,113,113,success,-32.621675628415375,1.0,12.0,22.668886725665637
mappo,40,17,3352364175,1343921505,1,33,33,33,success,-17.19847293231723,1.0,3.0,9.79852343737133
mappo,40,18,1302945959,1207014841,1,75,75,75,success,-27.048792451673638,1.0,0.0,14.352236553696866
mappo,40,19,2306951341,3797059222,1,22,22,22,success,-14.626864744063543,1.0,1.0,6.115879402895147
mappo,40,20,3862450246,2188012511,1,82,82,82,success,-22.732272185868464,1.0,10.0,16.429491509809626
mappo,40,21,2201176011,3620667123,1,329,329,329,success,-89.32199393654005,1.0,51.0,65.42537565109816
mappo,40,22,2496597083,362775720,1,53,53,53,success,-37.87743190540108,1.0,11.0,15.258309471676963
mappo,40,23,643881572,3726466941,1,48,48,48,success,-34.77176434950458,1.0,7.0,11.462986492678931
mappo,40,24,3680166795,646103936,1,43,43,43,success,-24.97564911026099,1.0,6.0,11.054320412436455
mappo,40,25,2021262203,3635273144,1,20,20,20,success,-9.527962178441157,1.0,1.0,4.069968639705304
mappo,40,26,4290191469,4169522974,1,21,21,21,success,-9.028553762221858,1.0,0.0,4.736889973549864
mappo,40,27,2809779718,1886898322,1,78,78,78,success,-19.817902890770913,1.0,5.0,14.809211003951182
mappo,40,28,693025613,810659684,1,22,22,22,success,-8.622643498088516,1.0,0.0,4.533398665714498
mappo,40,29,1192868891,2499189744,1,86,86,86,success,-37.810978015757264,1.0,19.0,20.968326729090368
mappo,40,30,1476330158,3266202760,1,56,56,56,success,-33.44021054147175,1.0,10.0,15.299130450795767
mappo,40,31,3611679803,3917654537,1,76,76,76,success,-29.020415805748165,1.0,7.0,15.38796781314849
mappo,40,32,2090440591,745075548,1,55,55,55,success,-34.58492145685498,1.0,9.0,17.25711381174909
mappo,40,33,357157158,1723057628,1,44,44,44,success,-21.004692292193003,1.0,9.0,12.322454153824022
mappo,40,34,3936621046,545288905,1,25,25,25,success,-10.775260738495133,1.0,1.0,5.076635530741676
mappo,40,35,2037637314,2324248030,1,23,23,23,success,-11.08124440280011,1.0,2.0,5.35897204241855
mappo,40,36,3709398998,1457507648,1,35,35,35,success,-14.888159661910061,1.0,9.0,8.266413873755438
mappo,40,37,1052357024,3814668927,1,27,27,27,success,-11.2063368096158,1.0,3.0,6.100983550407893
mappo,40,38,514059705,3648506924,1,34,34,34,success,-11.310949134392345,1.0,0.0,7.321882075213164
mappo,40,39,1689120953,2973219346,1,33,33,33,success,-14.332160788009178,1.0,0.0,6.7577256917022375
mappo,40,40,4044110060,1170832070,1,73,73,73,success,-21.643824693110247,1.0,6.0,16.109494594316654
mappo,40,41,876257233,489764794,1,25,25,25,success,-8.390833780853894,1.0,3.0,5.50356562995059
mappo,40,42,2929304744,1941306444,1,326,326,326,success,-23.82143041259229,1.0,14.0,55.70249797431418
mappo,40,43,1565055108,3925993507,1,53,53,53,success,-25.381778846618463,1.0,5.0,11.731174856144577
mappo,40,44,2669435691,1443751235,1,19,19,19,success,-6.0415710323965985,1.0,0.0,3.6669761167234234
mappo,40,45,2782058924,2476172249,1,36,36,36,success,-17.810628161758288,1.0,2.0,9.922266089055672
mappo,40,46,2201581963,3484967346,1,51,51,51,success,-17.334417229781575,1.0,2.0,10.690548308573511
mappo,40,47,3522276661,2174114813,1,38,38,38,success,-24.163680548993344,1.0,6.0,11.559213532564264
mappo,40,48,4135243855,1686750971,1,108,108,108,success,-28.803752046467213,1.0,19.0,23.356629432916012
mappo,40,49,4219834141,3546787958,1,63,63,63,success,-51.94713216197241,1.0,6.0,16.34351320896823
mappo,40,50,2745294497,1510181992,0,,500,500,deadline,-47.054035971510395,0.5,25.0,88.80761009246523
mappo,40,51,328605636,3958047834,1,101,101,101,success,-23.310882238165807,1.0,0.0,17.39954956728734
mappo,40,52,3668706458,2663696074,1,79,79,79,success,-39.45236217704359,1.0,11.0,18.99043353893608
mappo,40,53,1687460012,2762826505,1,49,49,49,success,-23.0343394576245,1.0,1.0,11.059283543301385
mappo,40,54,3802484977,1070530547,1,84,84,84,success,-22.130000372766457,1.0,10.0,15.4445377930654
mappo,40,55,581266362,555067133,1,106,106,106,success,-29.38605334560875,1.0,16.0,22.206690509019186
mappo,40,56,3781927676,1103775279,1,129,129,129,success,-43.33934452026714,1.0,13.0,24.99619052248403
mappo,40,57,3315636682,2960959474,1,57,57,57,success,-20.430457794027195,1.0,5.0,13.48437709635954
mappo,40,58,1992698953,3430666549,1,58,58,58,success,-23.09971939920133,1.0,2.0,10.32738252373734
mappo,40,59,1897334928,757250469,1,31,31,31,success,-15.7629697965944,1.0,4.0,6.340769624338704
mappo,40,60,487978315,3946062176,1,42,42,42,success,-18.061418190562115,1.0,7.0,8.607033897580303
mappo,40,61,2017962332,1023045887,1,355,355,355,success,-59.045371251930355,1.0,46.0,70.2748058425934
mappo,40,62,2303249801,2030117153,1,31,31,31,success,-11.90538470345196,1.0,0.0,5.370053271534821
mappo,40,63,988204551,1562213680,1,97,97,97,success,-23.011691156012514,1.0,13.0,17.12436799744688
mappo,40,64,2457632742,2907346953,1,16,16,16,success,-7.857049913257167,1.0,0.0,3.530186396048637
mappo,40,65,129231120,352044171,1,185,185,185,success,-63.344100690219214,1.0,40.0,40.76408106424638
mappo,40,66,1304401263,2323526430,1,22,22,22,success,-8.730832903331326,1.0,0.0,4.463113427388824
