condition,seed,status,rounds,source_steps,unused_budget,evaluation_steps,AUC,J,distance,coverage,all_covered,collision_pairs,collisions_per_agent,coverage_cost,accepted_rounds,direction_rejections,direction_checks,candidates,return_checks,return_rejections,fit_kl_after,train_seconds,evaluation_seconds,optimizer_steps,optimizer_steps_by_module,actor_parameters,critic_parameters,direction_parameters,cost_train,cost_direction_check,cost_return_old,cost_return_candidate
ours,40,complete,51,197600,2400,12000,-95.4812455537733,-81.85621009567896,0.6505926685471726,0.0375,0.0,0.092,0.046,,21,20,51,47,47,26,5.989646293499156e-06,207.53914579935372,9.524423900060356,8312,"{""critic"": 2040, ""direction"": 3264, ""actor_fit"": 3008}",39941,25089,39941,81600,40800,37600,37600
ours,41,complete,52,198400,1600,12000,-89.6156890400891,-81.3680744662819,0.6804077167098088,0.0125,0.0,0.0875,0.04375,,19,21,52,46,46,27,5.8418654791034165e-06,205.73458090005443,9.317667599767447,8352,"{""critic"": 2080, ""direction"": 3328, ""actor_fit"": 2944}",39941,25089,39941,83200,41600,36800,36800
ours,42,complete,58,196800,3200,12000,-85.13427467460245,-75.64338802690692,0.5761522750339534,0.0125,0.0,0.12550000000000003,0.06275000000000001,,26,30,58,36,36,10,6.811484817197717e-06,201.76182809984311,9.09160659974441,8336,"{""critic"": 2320, ""direction"": 3712, ""actor_fit"": 2304}",39941,25089,39941,92800,46400,28800,28800
sampled,40,complete,61,199200,800,12000,-101.42678990462747,-87.14835763897982,0.751961324922198,0.0125,0.0,0.08449999999999999,0.042249999999999996,,20,37,61,33,33,13,7.455076953988282e-06,206.05110809765756,9.223701700102538,8456,"{""critic"": 2440, ""direction"": 3904, ""actor_fit"": 2112}",39941,25089,39941,97600,48800,26400,26400
sampled,41,complete,55,197600,2400,12000,-91.44982088241369,-84.15638015171666,0.6631540190485875,0.0,0.0,0.10500000000000001,0.052500000000000005,,23,26,55,41,41,18,5.34751899098849e-06,204.77327909786254,9.283344900235534,8344,"{""critic"": 2200, ""direction"": 3520, ""actor_fit"": 2624}",39941,25089,39941,88000,44000,32800,32800
sampled,42,complete,61,197600,2400,12000,-90.63994605986461,-83.4550953672302,0.5287178019826024,0.0,0.0,0.1105,0.05525,,19,37,61,32,32,13,6.550441038181513e-06,205.60732989851385,9.310310100670904,8392,"{""critic"": 2440, ""direction"": 3904, ""actor_fit"": 2048}",39941,25089,39941,97600,48800,25600,25600
mappo,40,complete,125,200000,0,12000,-72.25315624981654,-65.80673217414159,0.5542070820155823,0.025,0.0,0.06400000000000002,0.03200000000000001,,125,0,0,0,0,0,,217.88333320105448,9.31743389973417,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,25089,0,200000,,,
mappo,41,complete,125,200000,0,12000,-73.36843999894727,-65.91015020455526,0.5600335820454607,0.0375,0.0,0.11150000000000002,0.05575000000000001,,125,0,0,0,0,0,,218.1006670994684,9.288385800085962,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,25089,0,200000,,,
mappo,42,complete,125,200000,0,12000,-69.45123750497089,-49.17790593273291,0.3223734960758221,0.075,0.0,0.08650000000000002,0.04325000000000001,,125,0,0,0,0,0,,217.27157419826835,9.298454700037837,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,25089,0,200000,,,
ippo,40,complete,125,200000,0,12000,-69.43804671583966,-67.14610450071007,0.5634896127334321,0.0125,0.0,0.10200000000000001,0.051000000000000004,,125,0,0,0,0,0,,227.1524200006388,9.256165100261569,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,39425,0,200000,,,
ippo,41,complete,125,200000,0,12000,-68.18516959505139,-55.169633028689965,0.33939431160727446,0.075,0.0,0.1405,0.07025,,125,0,0,0,0,0,,228.60342399869114,9.34583989996463,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,39425,0,200000,,,
ippo,42,complete,125,200000,0,12000,-70.11016465849079,-61.4111262145189,0.4403750437826129,0.0375,0.0,0.08049999999999999,0.040249999999999994,,125,0,0,0,0,0,,229.72763919783756,9.303827399387956,10000,"{""critic"": 5000, ""ppo"": 5000}",39941,39425,0,200000,,,
no_direction_check,40,complete,50,198400,1600,12000,-92.98329284460458,-84.47616433966839,0.7084575793805503,0.025,0.0,0.0855,0.04275,,40,0,0,74,74,34,5.358626453926263e-06,207.34280020091683,9.340753600001335,9936,"{""critic"": 2000, ""direction"": 3200, ""actor_fit"": 4736}",39941,25089,39941,80000,,59200,59200
no_direction_check,41,complete,50,198400,1600,12000,-87.03647596851768,-79.37160947265046,0.5317259950372343,0.0625,0.0,0.1,0.05,,39,0,0,74,74,35,4.275209143997927e-06,208.79251779941842,9.354310699738562,9936,"{""critic"": 2000, ""direction"": 3200, ""actor_fit"": 4736}",39941,25089,39941,80000,,59200,59200
no_direction_check,42,complete,50,198400,1600,12000,-84.36950294679681,-78.61898821570026,0.6047991586219859,0.0125,0.0,0.09050000000000002,0.04525000000000001,,34,0,0,74,74,40,4.7799206254239835e-06,206.90851330105215,9.259251999668777,9936,"{""critic"": 2000, ""direction"": 3200, ""actor_fit"": 4736}",39941,25089,39941,80000,,59200,59200
no_return_check,40,complete,83,199200,800,12000,-88.50767718938302,-75.7695458545733,0.6011896713321248,0.0125,0.0,0.15000000000000002,0.07500000000000001,,45,38,83,45,0,0,6.473584552521869e-06,226.96472009969875,9.27999520022422,11512,"{""critic"": 3320, ""direction"": 5312, ""actor_fit"": 2880}",39941,25089,39941,132800,66400,,
no_return_check,41,complete,83,199200,800,12000,-81.22762175088832,-73.31043660733981,0.5493265383820376,0.05,0.0,0.11500000000000003,0.057500000000000016,,38,45,83,38,0,0,6.52134485191805e-06,224.57151409890503,9.332747400272638,11064,"{""critic"": 3320, ""direction"": 5312, ""actor_fit"": 2432}",39941,25089,39941,132800,66400,,
no_return_check,42,complete,83,199200,800,12000,-84.95868542322577,-73.24635813143718,0.5781624737268647,0.05,0.0,0.15599999999999997,0.07799999999999999,,44,39,83,44,0,0,6.933572571845368e-06,224.85047460300848,9.31976110022515,11448,"{""critic"": 3320, ""direction"": 5312, ""actor_fit"": 2816}",39941,25089,39941,132800,66400,,
fit_quarter,40,complete,59,197600,2400,12000,-91.62959060132205,-84.5609202657429,0.7235706937574365,0.0375,0.0,0.09000000000000001,0.045000000000000005,,23,34,59,35,35,12,4.180092808383051e-05,197.90237970091403,9.317461099475622,6696,"{""critic"": 2360, ""direction"": 3776, ""actor_fit"": 560}",39941,25089,39941,94400,47200,28000,28000
fit_quarter,41,complete,56,198400,1600,12000,-84.94920406809821,-81.04599780637457,0.6662344227974307,0.025,0.0,0.093,0.0465,,21,28,56,40,40,19,3.363322736861717e-05,196.59024960221723,9.302723199594766,6464,"{""critic"": 2240, ""direction"": 3584, ""actor_fit"": 640}",39941,25089,39941,89600,44800,32000,32000
fit_quarter,42,complete,57,199200,800,12000,-88.78079345407794,-88.63988647605206,0.696345954305787,0.0125,0.0,0.08499999999999999,0.042499999999999996,,19,32,57,39,39,20,3.408435830351664e-05,197.84296820126474,9.239331500139087,6552,"{""critic"": 2280, ""direction"": 3648, ""actor_fit"": 624}",39941,25089,39941,91200,45600,31200,31200
