kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,fit_quarter,4,J,3,0,0,3,-84.74893484938984,3.8004339745102746,-88.63988647605204,-81.04599780637457
condition,fit_quarter,4,AUC,3,0,0,3,-88.45319604116607,3.3522203249532265,-91.62959060132205,-84.94920406809821
condition,fit_quarter,4,coverage,3,0,0,3,0.024999999999999998,0.012499999999999999,0.012500000000000002,0.0375
condition,fit_quarter,4,distance,3,0,0,3,0.6953836902868847,0.02868024504657094,0.6662344227974307,0.7235706937574365
condition,fit_quarter,4,all_covered,3,0,0,3,0.0,0.0,0.0,0.0
condition,fit_quarter,4,collision_pairs,3,0,0,3,0.08933333333333333,0.004041451884327385,0.085,0.09300000000000001
condition,fit_quarter,4,collisions_per_agent,3,0,0,3,0.04466666666666667,0.0020207259421636927,0.0425,0.04650000000000001
condition,fit_quarter,4,source_steps,3,0,0,3,198400.0,800.0,197600.0,199200.0
condition,fit_quarter,4,unused_budget,3,0,0,3,1600.0,800.0,800.0,2400.0
condition,fit_quarter,4,train_seconds,3,0,0,3,197.445199168132,0.7410037123834363,196.59024960221723,197.90237970091403
condition,fit_quarter,4,evaluation_seconds,3,0,0,3,9.286505266403159,0.041512944859133316,9.239331500139087,9.317461099475622
condition,fit_quarter,4,optimizer_steps,3,0,0,3,6570.666666666667,117.121020031988,6464.0,6696.0
condition,fit_quarter,4,coverage_cost,3,0,0,0,,,,
condition,fit_quarter,4,fit_kl_after,3,0,0,3,3.650617125198811e-05,4.590938598082333e-06,3.363322736861717e-05,4.180092808383051e-05
condition,fit_quarter,4,coverage_reached,3,0,0,3,0.0,0.0,0.0,0.0
condition,ippo,4,J,3,0,0,3,-61.24228791463964,5.990020618383331,-67.14610450071007,-55.169633028689965
condition,ippo,4,AUC,3,0,0,3,-69.24446032312729,0.9769893894761887,-70.11016465849079,-68.18516959505139
condition,ippo,4,coverage,3,0,0,3,0.041666666666666664,0.03145764348029479,0.012500000000000002,0.075
condition,ippo,4,distance,3,0,0,3,0.4477529893744398,0.11222968215927902,0.33939431160727446,0.5634896127334321
condition,ippo,4,all_covered,3,0,0,3,0.0,0.0,0.0,0.0
condition,ippo,4,collision_pairs,3,0,0,3,0.10766666666666667,0.030398739008934795,0.08049999999999999,0.1405
condition,ippo,4,collisions_per_agent,3,0,0,3,0.05383333333333334,0.015199369504467397,0.040249999999999994,0.07025
condition,ippo,4,source_steps,3,0,0,3,200000.0,0.0,200000.0,200000.0
condition,ippo,4,unused_budget,3,0,0,3,0.0,0.0,0.0,0.0
condition,ippo,4,train_seconds,3,0,0,3,228.49449439905584,1.2910606963511717,227.1524200006388,229.72763919783756
condition,ippo,4,evaluation_seconds,3,0,0,3,9.301944133204719,0.04486705299085006,9.256165100261569,9.34583989996463
condition,ippo,4,optimizer_steps,3,0,0,3,10000.0,0.0,10000.0,10000.0
condition,ippo,4,coverage_cost,3,0,0,0,,,,
