condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J
ours,40,0,0,20,1.056481939284748,0.0,0.0,0.04900000000000001,0.024500000000000004,-102.83805000091066
ours,40,400000,400000,20,0.5884961576764045,0.025,0.0,0.138,0.069,-77.87545481217572
ours,40,800000,798400,20,0.4891870637620223,0.05,0.0,0.12200000000000003,0.06100000000000001,-70.25574508332303
ours,40,1200000,1199200,20,0.44857944353232543,0.0625,0.0,0.16649999999999998,0.08324999999999999,-69.43156242849123
ours,40,1600000,1599200,20,0.5089584184122092,0.0375,0.0,0.1965,0.09825,-66.78007266566055
ours,40,2000000,1997600,20,0.5175668044611629,0.025,0.0,0.16649999999999998,0.08324999999999999,-68.23000828717404
sampled,40,0,0,20,1.2315601282586972,0.0,0.0,0.036500000000000005,0.018250000000000002,-103.44001727573622
sampled,40,400000,400000,20,0.5582983696270731,0.0375,0.0,0.12799999999999997,0.06399999999999999,-72.52098519879407
sampled,40,800000,799200,20,0.4704278178785118,0.0375,0.0,0.14150000000000001,0.07075000000000001,-65.99258678764718
sampled,40,1200000,1196000,20,0.47864853670857405,0.0125,0.0,0.1325,0.06625,-64.53584785597111
sampled,40,1600000,1600000,20,0.4483806007167807,0.0875,0.0,0.16299999999999998,0.08149999999999999,-63.123147284988434
sampled,40,2000000,1998400,20,0.4240464790257302,0.05,0.0,0.168,0.084,-60.961089262429255
mappo,40,0,0,20,1.240390710087055,0.0125,0.0,0.046000000000000006,0.023000000000000003,-108.1436989191628
mappo,40,400000,400000,20,0.517371297337224,0.05,0.0,0.07200000000000001,0.036000000000000004,-63.23868084350006
mappo,40,800000,800000,20,0.2174214351475714,0.175,0.0,0.0995,0.04975,-40.174016774730106
mappo,40,1200000,1200000,20,0.2017023148320257,0.2375,0.0,0.0875,0.04375,-39.72411280650237
mappo,40,1600000,1600000,20,0.18542752494164594,0.4875,0.05,0.10450000000000001,0.052250000000000005,-37.11515574586097
mappo,40,2000000,2000000,20,0.1708566398463979,0.5125,0.05,0.06900000000000002,0.03450000000000001,-34.35439479349796
ippo,40,0,0,20,1.194585946816247,0.0,0.0,0.043500000000000004,0.021750000000000002,-97.31176882760461
ippo,40,400000,400000,20,0.248044882531347,0.1625,0.0,0.19799999999999998,0.09899999999999999,-42.23989283517218
ippo,40,800000,800000,20,0.2117821453726711,0.25,0.0,0.09550000000000002,0.04775000000000001,-41.182011519748606
ippo,40,1200000,1200000,20,0.1963137127858247,0.325,0.0,0.095,0.0475,-37.54719230362574
ippo,40,1600000,1600000,20,0.15976944726856904,0.45,0.05,0.10200000000000001,0.051000000000000004,-34.96595229225842
ippo,40,2000000,2000000,20,0.20051722235249123,0.4875,0.05,0.08600000000000001,0.043000000000000003,-37.606335035614826
no_direction_check,40,0,0,20,1.0074337643743954,0.0125,0.0,0.04950000000000001,0.024750000000000005,-92.61258410110365
no_direction_check,40,400000,400000,20,0.537272474457864,0.0375,0.0,0.15500000000000003,0.07750000000000001,-71.83192863642851
no_direction_check,40,800000,800000,20,0.5147349315457651,0.0375,0.0,0.17850000000000002,0.08925000000000001,-69.7595806931282
no_direction_check,40,1200000,1198400,20,0.4400561567565228,0.0625,0.0,0.193,0.0965,-67.82016466927897
no_direction_check,40,1600000,1596800,20,0.4381909910705583,0.025,0.0,0.19,0.095,-65.1940256198357
no_direction_check,40,2000000,2000000,20,0.4221996830940971,0.0625,0.0,0.176,0.088,-63.64226276148308
no_return_check,40,0,0,20,1.1189047793329077,0.0125,0.0,0.044,0.022,-101.57608996655716
no_return_check,40,400000,398400,20,0.4990193118685455,0.0375,0.0,0.16199999999999998,0.08099999999999999,-71.15345778442527
no_return_check,40,800000,799200,20,0.4888443740909798,0.0375,0.0,0.18900000000000003,0.09450000000000001,-67.60344039220118
no_return_check,40,1200000,1200000,20,0.45376264924785825,0.0375,0.0,0.14300000000000004,0.07150000000000002,-63.15588713076502
no_return_check,40,1600000,1598400,20,0.4467689188697099,0.0375,0.0,0.17400000000000002,0.08700000000000001,-64.36846307817325
no_return_check,40,2000000,1999200,20,0.40849543741859173,0.0125,0.0,0.1645,0.08225,-65.82266711625677
fit_quarter,40,0,0,20,1.0866978895066375,0.025,0.0,0.044,0.022,-94.83454246732687
fit_quarter,40,400000,399200,20,0.5827040987349725,0.025,0.0,0.11950000000000002,0.05975000000000001,-74.7835132174882
fit_quarter,40,800000,796800,20,0.5355038864567508,0.0125,0.0,0.158,0.079,-69.06634572583224
fit_quarter,40,1200000,1198400,20,0.47992089240058916,0.0375,0.0,0.138,0.069,-67.2407645096707
fit_quarter,40,1600000,1599200,20,0.47432263090246324,0.0625,0.0,0.1555,0.07775,-70.13038237868672
fit_quarter,40,2000000,1997600,20,0.4977178671761287,0.0375,0.0,0.15199999999999997,0.07599999999999998,-68.72003179889919
