condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,J_se,coverage_se,distance_se
ours,40,0,0,100,1.068535084602801,0.01,0.0,0.048999999999999995,0.024499999999999997,-99.22271816898444,2.0428018443526863,0.0060719590634890535,0.038963380105985206
ours,40,500000,500000,100,0.5053862951830392,0.035,0.0,0.12170000000000002,0.06085000000000001,-70.97113624235315,1.0409724562025657,0.010062933283224443,0.013025331258568052
ours,40,1000000,999200,100,0.4605807603927465,0.05,0.0,0.1721,0.08605,-65.62286117804709,0.9273468255859727,0.010050378152592122,0.012146983967439844
ours,40,1500000,1500000,100,0.43477277603998843,0.035,0.0,0.16949999999999998,0.08474999999999999,-61.426835266138944,0.9342799730871517,0.008718377200494424,0.011246401216129373
ours,40,2000000,1995200,100,0.43948887342168297,0.045,0.0,0.16099999999999998,0.08049999999999999,-59.82422397876724,0.7836814257146091,0.011448170424159751,0.01286084210685778
ours,40,2500000,2500000,100,0.42565943890544133,0.055,0.0,0.16169999999999998,0.08084999999999999,-59.1883189247819,0.8583852582405106,0.010998163299369399,0.013318779052190682
ours,40,3000000,2999200,100,0.41390973860941166,0.0725,0.0,0.17029999999999995,0.08514999999999998,-57.516362675130914,0.8334359704419247,0.014343812237161694,0.013882584912199968
ours,40,3500000,3499200,100,0.3844972570080589,0.0675,0.0,0.16920000000000002,0.08460000000000001,-56.171486791161485,0.9088737178500919,0.012234555301862977,0.010564877113500985
ours,40,4000000,3998400,100,0.3921957938160243,0.05,0.0,0.15410000000000001,0.07705000000000001,-54.92264909558808,0.8971763292320072,0.011236664374387367,0.010690602321159174
ours,40,4500000,4498400,100,0.373037097190636,0.0525,0.0,0.1378,0.0689,-54.36201370177814,0.9597002481546928,0.010833333333333332,0.011633150703297276
ours,40,5000000,4998400,100,0.36843293772758834,0.055,0.0,0.1404,0.0702,-53.237597175846446,0.8870512887536481,0.010998163299369399,0.009686409068906339
ours,40,5500000,5499200,100,0.34849743478390366,0.0925,0.0,0.14300000000000002,0.07150000000000001,-52.470198769608984,0.8807026405639359,0.015347407901431733,0.011207516993748255
ours,40,6000000,5996800,100,0.3442343460271268,0.075,0.0,0.15569999999999998,0.07784999999999999,-51.66289847881278,0.7915675722359843,0.012562972690740148,0.010929436604552648
ours,40,6500000,6497600,100,0.3272828931461784,0.08,0.0,0.14800000000000002,0.07400000000000001,-51.32489496969881,1.0273170177859288,0.013706888336846837,0.010634503858248346
ours,40,7000000,6998400,100,0.33108550732033315,0.095,0.0,0.15469999999999998,0.07734999999999999,-50.82624682295785,0.9870791153353794,0.0141153258638412,0.01012426673488966
ours,40,7500000,7498400,100,0.34296873065355576,0.0675,0.0,0.1521,0.07605,-50.185420452161324,0.9862887151082953,0.012234555301862977,0.01016108462380626
ours,40,8000000,7997600,100,0.3230370254880709,0.0925,0.0,0.1508,0.0754,-49.29189547272742,0.9512223532758682,0.015753386680939178,0.011449298944868116
ours,40,8500000,8498400,100,0.31637460901872166,0.0975,0.0,0.1463,0.07315,-49.228377931831794,0.9646735187124211,0.015849274272013054,0.008890223751936304
ours,40,9000000,8998400,100,0.29045855974978496,0.1075,0.0,0.14969999999999997,0.07484999999999999,-48.572423430926754,0.8953460702919976,0.01518197695435032,0.009575472238488857
ours,40,9500000,9500000,100,0.3179235474581811,0.0775,0.0,0.1505,0.07525,-48.163676657428574,0.9093243412118769,0.013149778198382917,0.01064093208576589
ours,40,10000000,10000000,100,0.2982885000874115,0.1125,0.0,0.1576,0.0788,-50.13973827006364,1.0248322211868852,0.016428218516819276,0.01064892999864451
