kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,no_checks,4,J,1,0,0,1,-40.43180071627534,,,
condition,no_checks,4,AUC,1,0,0,1,-45.11531442580153,,,
condition,no_checks,4,coverage,1,0,0,1,0.2825,,,
condition,no_checks,4,distance,1,0,0,1,0.208979570794655,,,
condition,no_checks,4,all_covered,1,0,0,1,0.02,,,
condition,no_checks,4,collision_pairs,1,0,0,1,0.1524,,,
condition,no_checks,4,collisions_per_agent,1,0,0,1,0.0762,,,
condition,no_checks,4,source_steps,1,0,0,1,10000000.0,,,
condition,no_checks,4,unused_budget,1,0,0,1,0.0,,,
condition,no_checks,4,train_seconds,1,0,0,1,15564.01958016865,,,
condition,no_checks,4,evaluation_seconds,1,0,0,1,225.77376159932464,,,
condition,no_checks,4,optimizer_steps,1,0,0,1,1050000.0,,,
condition,no_checks,4,coverage_cost,1,0,0,0,,,,
condition,no_checks,4,fit_kl_after,1,0,0,1,3.4163810747850223e-06,,,
condition,no_checks,4,coverage_reached,1,0,0,1,0.0,,,
