target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
source,method,ours,team_return,seed_bootstrap_95_pointwise,10,1.9626655998383515,2.7856114875565402e-11,1.9626655998213716,1.9626655998537113
source,method,sampled,team_return,seed_bootstrap_95_pointwise,10,1.9626655998376799,3.258143246243141e-11,1.96266559981818,1.9626655998560245
source,paired_ours_minus_comparator,sampled,team_return,paired_seed_bootstrap_95_pointwise,10,6.712408406883696e-13,6.950805985404102e-12,-3.119532965278893e-12,4.964930688799995e-12
source,method,pg,team_return,seed_bootstrap_95_pointwise,10,1.9613680130706566,6.597026780156595e-05,1.961333304147436,1.9614092082742256
source,paired_ours_minus_comparator,pg,team_return,paired_seed_bootstrap_95_pointwise,10,0.0012975867676947583,6.597026806652271e-05,0.0012563915498038964,0.0013322957008619408
source,method,no_direction_check,team_return,seed_bootstrap_95_pointwise,10,1.962665599879792,2.017585978748042e-11,1.9626655998670581,1.9626655998906002
source,paired_ours_minus_comparator,no_direction_check,team_return,paired_seed_bootstrap_95_pointwise,10,-4.144022902607958e-11,2.978460067921107e-11,-5.997352059416983e-11,-2.5022058314227995e-11
source,method,no_return_check,team_return,seed_bootstrap_95_pointwise,10,1.9626655999664593,6.976548555299484e-13,1.962665599966034,1.962665599966844
source,paired_ours_minus_comparator,no_return_check,team_return,paired_seed_bootstrap_95_pointwise,10,-1.2810794647322155e-10,2.7896958008689594e-11,-1.4506807977099357e-10,-1.127236998188508e-10
source,method,fit_quarter,team_return,seed_bootstrap_95_pointwise,10,1.9626655992905953,1.2795363561323013e-10,1.9626655992120927,1.9626655993615123
source,paired_ours_minus_comparator,fit_quarter,team_return,paired_seed_bootstrap_95_pointwise,10,5.477562847744366e-10,1.0035857073193599e-10,4.921099927557293e-10,6.088434401085862e-10
source,method,ours,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999595879,6.9640287188913506e-12,0.4906663999553429,0.4906663999634278
