target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
source,40,4,0.6,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.00023105104892738438,0.0,1.0,0.0,0.0,0.00023105104892738438,0.00023105104892738438,True,0.9590400000000002,0.23976000000000006
agents_2,40,2,0.6,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.00023105104892738438,0.0,1.0,0.0,0.0,0.00023105104892738438,0.00023105104892738438,True,0.4795200000000001,0.23976000000000006
agents_6,40,6,0.6,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.00023105104892738438,0.0,1.0,0.0,0.0,0.00023105104892738438,0.00023105104892738438,True,1.4385600000000003,0.23976000000000006
agents_8,40,8,0.6,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.00023105104892738438,0.0,1.0,0.0,0.0,0.00023105104892738438,0.00023105104892738438,True,1.9180800000000005,0.23976000000000006
composition_0.3,40,4,0.3,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.0014701605926703012,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.004971404964186748,0.1936952195736547,True,1.04616,0.26154
composition_0.9,40,4,0.9,0.7,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.0023363287691890674,0.0025401600000000035,1.5,0.42000000000000004,0.17640000000000003,0.004763286544657582,0.19238449300061194,True,0.9626400000000004,0.2406600000000001
strength_0.0,40,4,0.6,0.0,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.07187854498263893,0.06547968,1.0,0.7,0.48999999999999994,0.07348997233517875,0.5115115598750263,True,0.5760000000000001,0.14400000000000002
strength_0.35,40,4,0.6,0.35,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.01968487801578317,0.01636992000000001,1.0,0.35,0.12249999999999998,0.02049059169205308,0.1333713054619768,True,0.7675200000000002,0.19188000000000005
strength_1.4,40,4,0.6,1.4,6fc40414c15b25f3b115c0e9643a32441a7cc6dd00f121142152ef1ccf34536a,0.00023105104892738438,0.05954291711521585,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07348997233517875,0.5115115598750263,True,1.3420800000000004,0.3355200000000001
source,41,4,0.6,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.00019938198880760187,0.0,1.0,0.0,0.0,0.0001993819888076019,0.0001993819888076019,True,0.9590400000000002,0.23976000000000006
agents_2,41,2,0.6,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.00019938198880760187,0.0,1.0,0.0,0.0,0.0001993819888076019,0.0001993819888076019,True,0.4795200000000001,0.23976000000000006
agents_6,41,6,0.6,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.00019938198880760187,0.0,1.0,0.0,0.0,0.0001993819888076019,0.0001993819888076019,True,1.4385600000000003,0.23976000000000006
agents_8,41,8,0.6,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.00019938198880760187,0.0,1.0,0.0,0.0,0.0001993819888076019,0.0001993819888076019,True,1.9180800000000005,0.23976000000000006
composition_0.3,41,4,0.3,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.0011909662876385927,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.004771957942520915,0.19243958066464328,True,1.04616,0.26154
composition_0.9,41,4,0.9,0.7,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.0033973505469365828,0.0025401600000000035,1.5,0.42000000000000004,0.17640000000000003,0.004582440634679558,0.1912258034121127,True,0.9626400000000004,0.2406600000000001
strength_0.0,41,4,0.6,0.0,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.06761084138642402,0.06547968,1.0,0.7,0.48999999999999994,0.07290553244813566,0.509967758200902,True,0.5760000000000001,0.14400000000000002
strength_0.35,41,4,0.6,0.35,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.017535191687615807,0.01636992000000001,1.0,0.35,0.12249999999999998,0.02018253721847165,0.13258357009485477,True,0.7675200000000002,0.19188000000000005
strength_1.4,41,4,0.6,1.4,7d0134873567e9046895fe8150eebf5b6118c12ac11df866ac688c291f095dc1,0.00019938198880760187,0.06374728259119121,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07290553244813566,0.509967758200902,True,1.3420800000000004,0.3355200000000001
