condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
ours,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\ours\seed_40,84.29862669995055,129024,131072,2048,30,source_budget,0.38376000000000016,1.9626655996307192,1.6357626514027919,28,0,0.0,-0.0,33,5,0.00014727497935855424,30720,0,0,30720,33792,33792,32256
ours,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\ours\seed_41,98.36061790003441,131072,131072,0,29,source_budget,0.38376000000000016,1.962665599382351,1.636769946202927,24,0,0.0,-0.0,35,11,0.00011418070309015555,29696,0,0,29696,35840,35840,32768
ours,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\ours\seed_42,85.53348939982243,131072,131072,0,28,source_budget,0.38375999999999993,1.9626655993302713,1.6376015299455804,25,0,0.0,-0.0,36,11,9.257333983860898e-05,28672,0,0,28672,36864,36864,32768
sampled,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\sampled\seed_40,81.62668329989538,129024,131072,2048,30,source_budget,0.38376000000000016,1.962665599658286,1.6371246358734182,28,0,0.0,-0.0,33,5,0.00016283145325903463,30720,0,0,30720,33792,33792,32256
sampled,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\sampled\seed_41,81.70723930001259,131072,131072,0,29,source_budget,0.38376000000000016,1.9626655994225688,1.637058452710456,24,0,0.0,-0.0,35,11,0.00012647069051724722,29696,0,0,29696,35840,35840,32768
sampled,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\sampled\seed_42,93.48187900008634,131072,131072,0,28,source_budget,0.38375999999999993,1.962665599320141,1.6382637089530694,25,0,0.0,-0.0,36,11,0.00011028273458287123,28672,0,0,28672,36864,36864,32768
pg,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\pg\seed_40,47.563817699905485,131072,131072,0,128,source_budget,0.38376000000000016,1.9588959232572005,1.7821817342332094,128,0,0.0,-0.0,0,0,,0,131072,0,0,0,0,128
pg,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\pg\seed_41,47.64515939983539,131072,131072,0,128,source_budget,0.38376000000000016,1.9592053830037788,1.7804718342989212,128,0,0.0,-0.0,0,0,,0,131072,0,0,0,0,128
pg,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\pg\seed_42,47.49757619993761,131072,131072,0,128,source_budget,0.38375999999999993,1.959395718698755,1.7865219713154437,128,0,0.0,-0.0,0,0,,0,131072,0,0,0,0,128
no_direction_check,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_direction_check\seed_40,105.27455050009303,130048,131072,1024,35,source_budget,0.38376000000000016,1.9626655995924291,1.725034898774203,29,0,0.0,-0.0,46,17,0.00011946943126790135,35840,0,0,0,47104,47104,41472
no_direction_check,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_direction_check\seed_41,118.88625190011226,130048,131072,1024,37,source_budget,0.38376000000000016,1.96266559968993,1.7246400334143877,31,0,0.0,-0.0,45,14,0.00016611882014428155,37888,0,0,0,46080,46080,41984
no_direction_check,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_direction_check\seed_42,109.09481659997255,131072,131072,0,38,source_budget,0.38375999999999993,1.9626655997680136,1.7180562654828009,36,0,0.0,-0.0,45,9,0.00017001840760560505,38912,0,0,0,46080,46080,42496
no_return_check,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_return_check\seed_40,165.27873309981078,131072,131072,0,64,source_budget,0.38376000000000016,1.9626655999194735,1.800241970171054,64,0,0.0,-0.0,64,0,0.0002774715500373741,65536,0,0,65536,0,0,65536
no_return_check,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_return_check\seed_41,180.19494570000097,131072,131072,0,64,source_budget,0.38376000000000016,1.9626655999175984,1.7981232876622486,64,0,0.0,-0.0,64,0,0.0002859507387485788,65536,0,0,65536,0,0,65536
no_return_check,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\no_return_check\seed_42,164.2722545999568,131072,131072,0,64,source_budget,0.38375999999999993,1.9626655999196319,1.8005759709731368,64,0,0.0,-0.0,64,0,0.00028723980533102827,65536,0,0,65536,0,0,65536
fit_quarter,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\fit_quarter\seed_40,66.9531954000704,129024,131072,2048,30,source_budget,0.38376000000000016,1.9626655983357246,1.6357038664917989,28,0,0.0,-0.0,33,5,0.0001472240942232904,30720,0,0,30720,33792,33792,19584
fit_quarter,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\fit_quarter\seed_41,63.500558600062504,131072,131072,0,29,source_budget,0.38376000000000016,1.962665597125671,1.6367971298736805,24,0,0.0,-0.0,35,11,0.00011500122652741397,29696,0,0,29696,35840,35840,19328
fit_quarter,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_02_算法对比与消融_预算131072_3种子\training\fit_quarter\seed_42,59.21902019996196,131072,131072,0,28,source_budget,0.38375999999999993,1.9626655969471378,1.6374370437312147,25,0,0.0,-0.0,36,11,9.254469343841146e-05,28672,0,0,28672,36864,36864,18944
