condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,6553,4096,1,0.5054232004574687
ours,40,13107,12288,3,0.7800402899362497
ours,40,19660,16384,4,0.9222209002615088
ours,40,26214,24576,6,1.2213374400405852
ours,40,32768,32768,8,1.4868394758123862
ours,40,39321,36864,9,1.5935316948608582
ours,40,45875,45056,11,1.7593649158574232
ours,40,52428,49152,12,1.8208862768730185
ours,40,58982,57344,14,1.9044687437517749
ours,40,65536,65536,16,1.9549977111390173
ours,40,72089,69632,17,1.9626596304195918
ours,40,78643,77824,19,1.9626655972363838
ours,40,85196,83968,20,1.962665598097056
ours,40,91750,88064,21,1.9626655987652644
ours,40,98304,96256,23,1.9626655992675621
ours,40,104857,100352,24,1.9626655993913995
ours,40,111411,110592,26,1.9626655994747757
ours,40,117964,114688,27,1.9626655995356919
ours,40,124518,118784,28,1.9626655995890339
ours,40,131072,129024,30,1.9626655996307192
ours,41,0,0,0,0.38376000000000016
ours,41,6553,4096,1,0.5007590144564172
ours,41,13107,12288,3,0.7875493144211954
ours,41,19660,16384,4,0.9300635864226268
ours,41,26214,24576,6,1.2272408559469035
ours,41,32768,32768,8,1.5027978225561234
ours,41,39321,36864,9,1.6130736006760091
ours,41,45875,45056,11,1.777771863824058
ours,41,52428,49152,12,1.837001400086269
ours,41,58982,53248,13,1.8819346596209
ours,41,65536,63488,15,1.9163437373908203
ours,41,72089,71680,17,1.961315133624126
ours,41,78643,77824,18,1.961315133624126
ours,41,85196,81920,19,1.9626648125048105
ours,41,91750,90112,21,1.9626655977896459
ours,41,98304,96256,22,1.9626655977896459
ours,41,104857,104448,24,1.9626655989625184
ours,41,111411,108544,25,1.9626655991825468
ours,41,117964,114688,26,1.9626655991825468
ours,41,124518,120832,27,1.962665599270107
ours,41,131072,131072,29,1.962665599382351
ours,42,0,0,0,0.38375999999999993
ours,42,6553,4096,1,0.49610144170649995
ours,42,13107,12288,3,0.772978016496972
ours,42,19660,16384,4,0.9207043274374889
ours,42,26214,24576,6,1.233065634169386
ours,42,32768,32768,8,1.4936995917506823
ours,42,39321,36864,9,1.6046976920208902
ours,42,45875,45056,11,1.7689240447307673
ours,42,52428,49152,12,1.8308562014793688
ours,42,58982,57344,14,1.915612889639926
ours,42,65536,65536,16,1.9587905684923088
ours,42,72089,71680,17,1.9626603998697958
ours,42,78643,75776,18,1.9626655906372679
ours,42,85196,81920,19,1.9626655906372679
ours,42,91750,88064,20,1.9626655959966925
ours,42,98304,94208,21,1.9626655959966925
ours,42,104857,104448,23,1.9626655984403134
ours,42,111411,110592,24,1.9626655984403134
ours,42,117964,114688,25,1.962665598907967
ours,42,124518,118784,26,1.962665599161014
ours,42,131072,131072,28,1.9626655993302713
ours,43,0,0,0,0.3837600000000004
ours,43,6553,4096,1,0.5064954931778076
ours,43,13107,12288,3,0.7813227778336594
ours,43,19660,16384,4,0.9453667620640166
ours,43,26214,24576,6,1.2529866655665267
ours,43,32768,32768,8,1.5177655558659509
ours,43,39321,36864,9,1.6226770204468322
ours,43,45875,45056,11,1.7795393115818496
ours,43,52428,49152,12,1.837480709095275
ours,43,58982,57344,14,1.9177417734639908
ours,43,65536,65536,16,1.9594328584040572
ours,43,72089,69632,17,1.9626637082789888
ours,43,78643,77824,19,1.9626655976579634
ours,43,85196,81920,20,1.9626655985534551
ours,43,91750,86016,21,1.9626655989577577
ours,43,98304,96256,23,1.9626655991844792
ours,43,104857,102400,24,1.9626655992782753
ours,43,111411,106496,25,1.9626655993976323
ours,43,117964,116736,27,1.9626655995189202
ours,43,124518,122880,28,1.9626655995189202
ours,43,131072,131072,30,1.9626655996196658
ours,44,0,0,0,0.38376000000000016
ours,44,6553,4096,1,0.5066461744891905
ours,44,13107,12288,3,0.7830322358293724
ours,44,19660,16384,4,0.9337023414640794
ours,44,26214,24576,6,1.2317206711809274
ours,44,32768,32768,8,1.4926849826846238
ours,44,39321,36864,9,1.6051953545439286
ours,44,45875,45056,11,1.7688840163946282
ours,44,52428,49152,12,1.8310538579822644
ours,44,58982,57344,14,1.9158741193065962
ours,44,65536,65536,16,1.9588577974880816
ours,44,72089,69632,17,1.9626637027431486
ours,44,78643,75776,18,1.9626637027431486
ours,44,85196,83968,20,1.9626655976732121
ours,44,91750,90112,21,1.9626655976732121
ours,44,98304,96256,22,1.9626655976732121
ours,44,104857,104448,24,1.962665598986877
ours,44,111411,108544,25,1.9626655992085342
ours,44,117964,114688,26,1.9626655992985382
ours,44,124518,122880,28,1.9626655994913826
ours,44,131072,131072,30,1.9626655995583582
ours,45,0,0,0,0.38376000000000043
ours,45,6553,4096,1,0.5087613357613889
ours,45,13107,12288,3,0.7920443883874755
ours,45,19660,16384,4,0.9503537453057521
ours,45,26214,24576,6,1.261139045520006
ours,45,32768,32768,8,1.5140223298830313
ours,45,39321,36864,9,1.6266246072752697
ours,45,45875,45056,11,1.787083919758391
ours,45,52428,49152,12,1.8434285604307263
ours,45,58982,57344,14,1.9215396045569184
ours,45,65536,61440,15,1.9488817130578038
ours,45,72089,71680,17,1.9623281074208632
ours,45,78643,77824,18,1.9623281074208632
ours,45,85196,83968,19,1.9626653071214242
ours,45,91750,90112,20,1.9626653071214242
ours,45,98304,96256,21,1.9626653071214242
ours,45,104857,104448,23,1.9626655979482117
ours,45,111411,108544,24,1.962665598677307
ours,45,117964,116736,26,1.9626655992454156
ours,45,124518,120832,27,1.962665599360802
ours,45,131072,131072,29,1.9626655994155466
ours,46,0,0,0,0.3837599999999999
ours,46,6553,4096,1,0.5032435191105642
ours,46,13107,12288,3,0.7748307984483483
ours,46,19660,16384,4,0.9407947653462174
ours,46,26214,24576,6,1.2476935150266826
ours,46,32768,32768,8,1.5101453574301662
ours,46,39321,36864,9,1.6172704015677548
ours,46,45875,45056,11,1.780829787767136
ours,46,52428,49152,12,1.8382591153645855
ours,46,58982,57344,14,1.9220246260576441
ours,46,65536,65536,16,1.9599167279300043
ours,46,72089,69632,17,1.962664194209694
ours,46,78643,73728,18,1.9626655944682898
ours,46,85196,79872,19,1.962665596852895
ours,46,91750,90112,21,1.9626655987044426
ours,46,98304,96256,22,1.9626655987044426
ours,46,104857,104448,24,1.9626655992476159
ours,46,111411,110592,25,1.9626655992476159
ours,46,117964,114688,26,1.9626655993815156
ours,46,124518,120832,27,1.9626655994336637
