condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
ours,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_40,95.24742610007524,129024,131072,2048,30,source_budget,0.38376000000000016,1.9626655996307192,1.6357626514027919,28,0,0.0,-0.0,33,5,0.00014727497935855424,30720,0,0,30720,33792,33792,32256
ours,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_41,87.38554219994694,131072,131072,0,29,source_budget,0.38376000000000016,1.962665599382351,1.636769946202927,24,0,0.0,-0.0,35,11,0.00011418070309015555,29696,0,0,29696,35840,35840,32768
ours,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_42,82.98642569989897,131072,131072,0,28,source_budget,0.38375999999999993,1.9626655993302713,1.6376015299455804,25,0,0.0,-0.0,36,11,9.257333983860898e-05,28672,0,0,28672,36864,36864,32768
ours,43,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_43,84.55956150009297,131072,131072,0,30,source_budget,0.3837600000000004,1.9626655996196658,1.6443940740663627,28,0,0.0,-0.0,34,6,0.00014094038601349153,30720,0,0,30720,34816,34816,32768
ours,44,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_44,91.52207989990711,131072,131072,0,30,source_budget,0.38376000000000016,1.9626655995583582,1.6396541197696852,26,0,0.0,-0.0,34,8,0.00014462939965658014,30720,0,0,30720,34816,34816,32768
ours,45,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_45,88.61674450011924,131072,131072,0,29,source_budget,0.38376000000000043,1.9626655994155466,1.6460094372890863,24,0,0.0,-0.0,35,11,0.00011467453662255249,29696,0,0,29696,35840,35840,32768
ours,46,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_46,83.41762870014645,131072,131072,0,29,source_budget,0.3837599999999999,1.962665599537213,1.642998594314325,27,0,0.0,-0.0,35,8,0.00011686703809291878,29696,0,0,29696,35840,35840,32768
ours,47,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_47,85.2476715000812,131072,131072,0,29,source_budget,0.38376000000000016,1.9626655995746929,1.6374402325898678,28,0,0.0,-0.0,35,7,0.00011369783328225638,29696,0,0,29696,35840,35840,32768
ours,48,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_48,90.55465900013223,129024,131072,2048,29,source_budget,0.3837600000000002,1.9626655995618245,1.647260919978389,28,0,0.0,-0.0,34,6,0.00012090117105554801,29696,0,0,29696,34816,34816,32256
ours,49,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\ours\seed_49,90.31242539989762,131072,131072,0,28,source_budget,0.3837600000000004,1.9626655993229754,1.6405243635825582,25,0,0.0,-0.0,36,11,8.900403224151442e-05,28672,0,0,28672,36864,36864,32768
fit_quarter,40,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_40,60.61656649992801,129024,131072,2048,30,source_budget,0.38376000000000016,1.9626655983357246,1.6357038664917989,28,0,0.0,-0.0,33,5,0.0001472240942232904,30720,0,0,30720,33792,33792,19584
fit_quarter,41,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_41,59.46817269991152,131072,131072,0,29,source_budget,0.38376000000000016,1.962665597125671,1.6367971298736805,24,0,0.0,-0.0,35,11,0.00011500122652741397,29696,0,0,29696,35840,35840,19328
fit_quarter,42,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_42,57.03958069998771,131072,131072,0,28,source_budget,0.38375999999999993,1.9626655969471378,1.6374370437312147,25,0,0.0,-0.0,36,11,9.254469343841146e-05,28672,0,0,28672,36864,36864,18944
fit_quarter,43,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_43,59.62292789993808,131072,131072,0,30,source_budget,0.3837600000000004,1.9626655982474508,1.6443363322798985,28,0,0.0,-0.0,34,6,0.0001410112378006586,30720,0,0,30720,34816,34816,19712
fit_quarter,44,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_44,69.10402580001391,131072,131072,0,30,source_budget,0.38376000000000016,1.9626655979498464,1.6396914735934367,26,0,0.0,-0.0,34,8,0.0001446158900383077,30720,0,0,30720,34816,34816,19712
fit_quarter,45,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_45,61.36693340004422,131072,131072,0,29,source_budget,0.38376000000000043,1.9626655975425287,1.6466997744172756,25,0,0.0,-0.0,35,10,0.0001154302480903736,29696,0,0,29696,35840,35840,19328
fit_quarter,46,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_46,57.65103189996444,131072,131072,0,29,source_budget,0.3837599999999999,1.9626655978419147,1.64285401053787,27,0,0.0,-0.0,35,8,0.00011652980160529479,29696,0,0,29696,35840,35840,19328
fit_quarter,47,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_47,58.54131990019232,131072,131072,0,29,source_budget,0.38376000000000016,1.9626655980379328,1.6374591973980124,28,0,0.0,-0.0,35,7,0.00011357076068138553,29696,0,0,29696,35840,35840,19328
fit_quarter,48,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_48,57.17913040006533,129024,131072,2048,29,source_budget,0.3837600000000002,1.962665598143846,1.6472937038082287,28,0,0.0,-0.0,34,6,0.00012073665168306511,29696,0,0,29696,34816,34816,19200
fit_quarter,49,complete,D:\manifold\manifold_project\experiments\pair_coordination\results\suite_03_拟合64轮对比16轮_10种子\training\fit_quarter\seed_49,57.54617310012691,131072,131072,0,28,source_budget,0.3837600000000004,1.962665596861048,1.640305398387888,25,0,0.0,-0.0,36,11,8.889106245220659e-05,28672,0,0,28672,36864,36864,18944
