condition,metric,planned_runs,failed_or_interrupted,statistics_scope,count,mean,std,ci_low,ci_high
ours,final_return,10,0,completed_runs_only,10,1.9626655994933617,1.1845194280469568e-10,1.962665599422239,1.9626655995609956
ours,budget_normalized_auc,10,0,completed_runs_only,10,1.6408415869141575,0.004097954688329421,1.638479393591306,1.6432935508629984
ours,seconds,10,0,completed_runs_only,10,87.9850164500298,3.987556980695894,85.71044159952726,90.3858896160015
ours,source_episodes,10,0,completed_runs_only,10,130662.4,863.5126197366454,130048.0,131072.0
ours,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
ours,candidate_count,10,0,completed_runs_only,10,34.7,0.9486832980505138,34.1,35.2
ours,mean_fit_kl,10,0,completed_runs_only,10,0.00011947434192521805,2.003277807121533e-05,0.00010788095058001716,0.0001311407537733956
ours,optimizer_updates,10,0,completed_runs_only,10,32665.6,215.87815493416136,32512.0,32768.0
fit_quarter,final_return,10,0,completed_runs_only,10,1.9626655977033098,5.500295225428597e-10,1.962665597369854,1.962665598013856
fit_quarter,budget_normalized_auc,10,0,completed_runs_only,10,1.6408577930519308,0.00421115155351854,1.6384238754393765,1.6433690478983507
fit_quarter,seconds,10,0,completed_runs_only,10,59.81358623001724,3.583876278254266,58.11845170003362,62.13755853700277
fit_quarter,source_episodes,10,0,completed_runs_only,10,130662.4,863.5126197366454,130048.0,131072.0
fit_quarter,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
fit_quarter,candidate_count,10,0,completed_runs_only,10,34.7,0.9486832980505138,34.1,35.2
fit_quarter,mean_fit_kl,10,0,completed_runs_only,10,0.00011955556665404078,2.0022044866952546e-05,0.00010800402205292072,0.00013115983699885347
fit_quarter,optimizer_updates,10,0,completed_runs_only,10,19340.8,272.8665933707858,19174.4,19494.4
