condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,6553,6400,2,0.6182002589995874
ours,40,13107,12800,4,0.8866280789158468
ours,40,19660,19200,6,1.1603784175028193
ours,40,26214,25600,8,1.4300908013511873
ours,40,32768,32000,10,1.6519274362886107
ours,40,39321,38400,12,1.7905646706666263
ours,40,45875,44800,14,1.8897058156738236
ours,40,52428,51200,16,1.9532590162977337
ours,40,58982,57600,18,1.962663191363114
ours,40,65536,60800,19,1.9626655090497351
ours,40,72089,69248,21,1.9626655840293894
ours,40,78643,75648,23,1.962665592153366
ours,40,85196,84096,25,1.9626655937650757
ours,40,91750,90496,27,1.9626655952233127
ours,40,98304,93696,28,1.96266559565804
ours,40,104857,102144,30,1.9626655962462909
ours,40,111411,107392,31,1.9626655964656265
ours,40,117964,115840,33,1.962665596793742
ours,40,124518,121088,34,1.9626655969358162
ours,40,131072,129536,36,1.9626655971763296
ours,41,0,0,0,0.38376000000000016
ours,41,6553,6400,2,0.6250003545090032
ours,41,13107,12800,4,0.8829179824601191
ours,41,19660,19200,6,1.183443412731596
ours,41,26214,25600,8,1.4782345987801484
ours,41,32768,32000,10,1.6833232196622012
ours,41,39321,38400,12,1.8283526601886873
ours,41,45875,44800,14,1.9202770883479547
ours,41,52428,51200,16,1.962040754308532
ours,41,58982,56448,17,1.9626582271107562
ours,41,65536,64896,19,1.9626653968398098
ours,41,72089,71296,21,1.9626655826990613
ours,41,78643,76544,22,1.9626655826990613
ours,41,85196,82944,24,1.9626655919936917
ours,41,91750,91392,26,1.9626655936408255
ours,41,98304,96640,27,1.9626655942126334
ours,41,104857,101888,28,1.9626655942126334
ours,41,111411,108288,30,1.962665595770501
ours,41,117964,116736,32,1.9626655965145634
ours,41,124518,119936,33,1.9626655968194564
ours,41,131072,130432,35,1.962665596991647
ours,42,0,0,0,0.38375999999999993
ours,42,6553,6400,2,0.6601188650876081
ours,42,13107,12800,4,0.9567138883416118
ours,42,19660,19200,6,1.2601013739722107
ours,42,26214,25600,8,1.521669601722482
ours,42,32768,32000,10,1.7296746376087762
ours,42,39321,38400,12,1.8495874194649997
ours,42,45875,44800,14,1.9251364742117159
ours,42,52428,51200,16,1.9623733156765781
ours,42,58982,56448,17,1.9626620112585071
ours,42,65536,64896,19,1.9626654863841806
ours,42,72089,70144,20,1.9626655629157006
ours,42,78643,75392,21,1.9626655629157006
ours,42,85196,83840,23,1.9626655854611814
ours,42,91750,89088,24,1.9626655854611814
ours,42,98304,95488,26,1.9626655922777445
ours,42,104857,100736,27,1.962665592987951
ours,42,111411,111232,29,1.9626655938036977
ours,42,117964,116480,30,1.9626655938036977
ours,42,124518,119680,31,1.962665594764849
ours,42,131072,130176,33,1.9626655951435528
no_direction_check,40,0,0,0,0.38376000000000016
no_direction_check,40,6553,6400,2,0.5557403791813775
no_direction_check,40,13107,12928,5,0.965699162868503
no_direction_check,40,19660,19456,8,1.3803966895829947
no_direction_check,40,26214,25984,11,1.7210669272557664
no_direction_check,40,32768,32512,14,1.8936188486828673
no_direction_check,40,39321,36864,16,1.9415281556392765
no_direction_check,40,45875,43264,18,1.9621715263128388
no_direction_check,40,52428,51712,20,1.9626654486627109
no_direction_check,40,58982,58112,22,1.962665574091073
no_direction_check,40,65536,62464,24,1.9626655904472143
no_direction_check,40,72089,68864,26,1.9626655925698653
no_direction_check,40,78643,75264,28,1.9626655946225617
no_direction_check,40,85196,81664,30,1.9626655958214958
no_direction_check,40,91750,88064,32,1.9626655963670017
no_direction_check,40,98304,96512,34,1.9626655965371176
no_direction_check,40,104857,102912,36,1.962665597060865
no_direction_check,40,111411,109312,38,1.9626655975032015
no_direction_check,40,117964,117888,41,1.962665597912492
no_direction_check,40,124518,122112,42,1.962665597912492
no_direction_check,40,131072,130560,44,1.962665597912492
no_direction_check,41,0,0,0,0.38376000000000016
no_direction_check,41,6553,6528,3,0.7722724385965103
no_direction_check,41,13107,13056,6,1.225100466482
no_direction_check,41,19660,19584,9,1.6338371611487077
no_direction_check,41,26214,26112,12,1.8530858181081318
no_direction_check,41,32768,32640,15,1.9485209884824584
no_direction_check,41,39321,39168,18,1.9626654562546133
no_direction_check,41,45875,45696,21,1.9626655896848637
no_direction_check,41,52428,52096,23,1.96266559231919
no_direction_check,41,58982,56320,24,1.96266559231919
no_direction_check,41,65536,64896,27,1.9626655952491134
