condition,metric,planned_runs,failed_or_interrupted,statistics_scope,count,mean,std,ci_low,ci_high
ours,final_return,3,0,completed_runs_only,3,1.9626655997844076,4.380737839163937e-11,1.9626655997343045,1.9626655998154883
ours,budget_normalized_auc,3,0,completed_runs_only,3,1.7826999103648944,0.0014340980458408857,1.7813931962943779,1.7842341822419623
ours,seconds,3,0,completed_runs_only,3,86.47551009998035,5.34785202968963,83.2803420999553,92.64941329997964
ours,source_episodes,3,0,completed_runs_only,3,130389.33333333333,1182.4133513003537,129024.0,131072.0
ours,decline_fraction,3,0,completed_runs_only,3,0.0,0.0,0.0,0.0
ours,candidate_count,3,0,completed_runs_only,3,36.666666666666664,0.5773502691896258,36.0,37.0
ours,mean_fit_kl,3,0,completed_runs_only,3,0.0005607863288271577,2.3188279122250136e-05,0.0005454795853401403,0.000587465314661107
ours,optimizer_updates,3,0,completed_runs_only,3,32597.333333333332,295.60333782508843,32256.0,32768.0
no_direction_check,final_return,3,0,completed_runs_only,3,1.9626655998614735,2.9891686752448906e-11,1.9626655998284381,1.962665599886652
no_direction_check,budget_normalized_auc,3,0,completed_runs_only,3,1.829195094508737,0.0025852895264877117,1.826216673062115,1.830858879572929
no_direction_check,seconds,3,0,completed_runs_only,3,106.094772000021,6.84208621135906,101.46078060008585,113.9533140999265
no_direction_check,source_episodes,3,0,completed_runs_only,3,130389.33333333333,591.2066756501767,130048.0,131072.0
no_direction_check,decline_fraction,3,0,completed_runs_only,3,0.0,0.0,0.0,0.0
no_direction_check,candidate_count,3,0,completed_runs_only,3,46.333333333333336,0.5773502691896258,46.0,47.0
no_direction_check,mean_fit_kl,3,0,completed_runs_only,3,0.0006572529289565181,9.112569525581797e-05,0.0005525323497135201,0.0007185066177096441
no_direction_check,optimizer_updates,3,0,completed_runs_only,3,41472.0,512.0,40960.0,41984.0
no_return_check,final_return,3,0,completed_runs_only,3,1.962665599959008,5.1564571023659227e-14,1.9626655999589735,1.9626655999590674
no_return_check,budget_normalized_auc,3,0,completed_runs_only,3,1.8716188309645274,0.001460906404516094,1.870330058647169,1.873205844811249
no_return_check,seconds,3,0,completed_runs_only,3,166.61082056661448,3.7233664444614636,162.8372483998537,170.28186349989846
no_return_check,source_episodes,3,0,completed_runs_only,3,131072.0,0.0,131072.0,131072.0
no_return_check,decline_fraction,3,0,completed_runs_only,3,0.0,0.0,0.0,0.0
no_return_check,candidate_count,3,0,completed_runs_only,3,64.0,0.0,64.0,64.0
no_return_check,mean_fit_kl,3,0,completed_runs_only,3,0.0010793046079308492,1.9521577712235585e-05,0.0010569227323641386,0.0010928151859798635
no_return_check,optimizer_updates,3,0,completed_runs_only,3,65536.0,0.0,65536.0,65536.0
