condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,13107,12288,3,0.7800402899362497
ours,40,26214,24576,6,1.2213374400405852
ours,40,39321,36864,9,1.5935316948608582
ours,40,52428,49152,12,1.8208862768730185
ours,40,65536,65536,16,1.9549977111390173
ours,40,78643,77824,19,1.9626655972363838
ours,40,91750,88064,21,1.9626655987652644
ours,40,104857,100352,24,1.9626655993913995
ours,40,117964,114688,27,1.9626655995356919
ours,40,131072,129024,30,1.9626655996307192
ours,40,144179,141312,32,1.9626655996492757
ours,40,157286,151552,34,1.9626655996908302
ours,40,170393,165888,37,1.9626655997354372
ours,40,183500,178176,39,1.9626655997549096
ours,40,196608,194560,42,1.9626655997701772
ours,40,209715,206848,44,1.9626655997701772
ours,40,222822,217088,46,1.962665599789583
ours,40,235929,233472,49,1.9626655998078022
ours,40,249036,247808,52,1.9626655998252738
ours,40,262144,262144,55,1.962665599833562
ours,41,0,0,0,0.38376000000000016
ours,41,13107,12288,3,0.7875493144211954
ours,41,26214,24576,6,1.2272408559469035
ours,41,39321,36864,9,1.6130736006760091
ours,41,52428,49152,12,1.837001400086269
ours,41,65536,63488,15,1.9163437373908203
ours,41,78643,77824,18,1.961315133624126
ours,41,91750,90112,21,1.9626655977896459
ours,41,104857,104448,24,1.9626655989625184
ours,41,117964,114688,26,1.9626655991825468
ours,41,131072,131072,29,1.962665599382351
ours,41,144179,141312,31,1.96266559950738
ours,41,157286,155648,34,1.9626655996273676
ours,41,170393,167936,36,1.962665599646975
ours,41,183500,182272,39,1.9626655997185274
ours,41,196608,196608,42,1.9626655997641609
ours,41,209715,208896,45,1.962665599800618
ours,41,222822,219136,47,1.9626655998109177
ours,41,235929,233472,50,1.9626655998309375
ours,41,249036,245760,53,1.9626655998503153
ours,41,262144,262144,56,1.9626655998589053
ours,42,0,0,0,0.38375999999999993
ours,42,13107,12288,3,0.772978016496972
ours,42,26214,24576,6,1.233065634169386
ours,42,39321,36864,9,1.6046976920208902
ours,42,52428,49152,12,1.8308562014793688
ours,42,65536,65536,16,1.9587905684923088
ours,42,78643,75776,18,1.9626655906372679
ours,42,91750,88064,20,1.9626655959966925
ours,42,104857,104448,23,1.9626655984403134
ours,42,117964,114688,25,1.962665598907967
ours,42,131072,131072,28,1.9626655993302713
ours,42,144179,143360,30,1.9626655993302713
ours,42,157286,153600,32,1.9626655994248237
ours,42,170393,167936,35,1.9626655995808702
ours,42,183500,180224,37,1.962665599623037
ours,42,196608,196608,41,1.9626655997286426
ours,42,209715,208896,43,1.9626655997483882
ours,42,222822,219136,45,1.9626655997638431
ours,42,235929,233472,48,1.9626655997895492
ours,42,249036,247808,51,1.9626655998093692
ours,42,262144,260096,53,1.9626655998144535
sampled,40,0,0,0,0.38376000000000016
sampled,40,13107,12288,3,0.7843922424430513
sampled,40,26214,24576,6,1.2251364255722381
sampled,40,39321,36864,9,1.6032392612821575
sampled,40,52428,49152,12,1.8234036073203617
sampled,40,65536,65536,16,1.9502789707025714
sampled,40,78643,77824,19,1.9626655969941667
sampled,40,91750,88064,21,1.9626655988491617
sampled,40,104857,100352,24,1.9626655994465603
sampled,40,117964,114688,27,1.9626655995640683
sampled,40,131072,129024,30,1.962665599658286
sampled,40,144179,141312,32,1.9626655996732958
sampled,40,157286,151552,34,1.9626655997095819
sampled,40,170393,165888,37,1.9626655997560378
sampled,40,183500,178176,39,1.9626655997752611
sampled,40,196608,194560,42,1.9626655997880718
sampled,40,209715,206848,44,1.9626655997880718
sampled,40,222822,217088,46,1.9626655998042861
sampled,40,235929,233472,49,1.9626655998223779
sampled,40,249036,247808,52,1.9626655998358744
sampled,40,262144,262144,55,1.962665599844402
sampled,41,0,0,0,0.38376000000000016
sampled,41,13107,12288,3,0.7852304843867887
sampled,41,26214,24576,6,1.214275023157587
sampled,41,39321,36864,9,1.6188408093797204
sampled,41,52428,49152,12,1.8391793707387716
sampled,41,65536,63488,15,1.9174087698248519
sampled,41,78643,77824,18,1.9626517578298468
sampled,41,91750,90112,21,1.962665598244392
sampled,41,104857,104448,24,1.9626655990804163
sampled,41,117964,114688,26,1.9626655992499764
sampled,41,131072,131072,29,1.9626655994225688
sampled,41,144179,141312,31,1.9626655995347457
sampled,41,157286,155648,34,1.9626655996377258
sampled,41,170393,167936,36,1.9626655996562261
sampled,41,183500,182272,39,1.9626655997299913
sampled,41,196608,196608,42,1.962665599774188
sampled,41,209715,208896,45,1.9626655998075917
sampled,41,222822,219136,47,1.96266559981766
sampled,41,235929,233472,50,1.9626655998357694
sampled,41,249036,245760,53,1.9626655998532183
sampled,41,262144,262144,56,1.96266559986225
sampled,42,0,0,0,0.38375999999999993
sampled,42,13107,12288,3,0.7748050908588626
sampled,42,26214,24576,6,1.2386359744229174
sampled,42,39321,36864,9,1.601668628369117
sampled,42,52428,49152,12,1.8315465833790792
sampled,42,65536,65536,16,1.958606441778994
sampled,42,78643,75776,18,1.9626655820041767
sampled,42,91750,88064,20,1.9626655943851123
sampled,42,104857,104448,23,1.9626655980984775
sampled,42,117964,114688,25,1.962665598734936
sampled,42,131072,131072,28,1.962665599320141
sampled,42,144179,143360,30,1.962665599320141
sampled,42,157286,153600,32,1.9626655994118922
sampled,42,170393,167936,35,1.9626655995744406
sampled,42,183500,180224,37,1.9626655996149618
