condition,metric,planned_runs,failed_or_interrupted,statistics_scope,count,mean,std,ci_low,ci_high
ours,final_return,10,0,completed_runs_only,10,1.962665599838352,2.7856055024693986e-11,1.9626655998213727,1.9626655998537117
ours,budget_normalized_auc,10,0,completed_runs_only,10,1.8018952761993763,0.00277605610172515,1.8002717430995314,1.8035302415266319
ours,seconds,10,0,completed_runs_only,10,170.17592781002168,4.681950130966868,167.43425761772377,172.95696619513214
ours,source_episodes,10,0,completed_runs_only,10,260710.4,989.2779858731989,260096.0,261324.8
ours,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
ours,candidate_count,10,0,completed_runs_only,10,73.2,1.3165611772087666,72.4,74.0
ours,mean_fit_kl,10,0,completed_runs_only,10,0.000171865269394633,2.028046966431011e-05,0.00015940895358360936,0.00018313759464514963
ours,optimizer_updates,10,0,completed_runs_only,10,65177.6,247.31949646829972,65024.0,65331.2
ours,reached_1_95,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
ours,episodes_to_1_95,10,0,completed_threshold_reachers_only,10,68403.2,4445.203277441626,65945.6,71270.4
ours,reached_1_96,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
ours,episodes_to_1_96,10,0,completed_threshold_reachers_only,10,71680.0,4096.0,69222.4,74137.6
ours,direction_check_rejections,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
ours,return_check_false_rejections,10,0,completed_runs_only,10,2.3,1.3374935098492586,1.5,3.1
ours,direction_check_episodes,10,0,completed_runs_only,10,55398.4,1483.9169788097986,54476.8,56217.6
ours,return_old_episodes,10,0,completed_runs_only,10,74956.8,1348.158645461777,74137.6,75776.0
ours,return_candidate_episodes,10,0,completed_runs_only,10,74956.8,1348.158645461777,74137.6,75776.0
sampled,final_return,10,0,completed_runs_only,10,1.96266559983768,3.2581399105959845e-11,1.96266559981818,1.9626655998560252
sampled,budget_normalized_auc,10,0,completed_runs_only,10,1.8030568818386148,0.003114773858178546,1.8010795616964883,1.8047336888666543
sampled,seconds,10,0,completed_runs_only,10,162.27604745002463,5.945155669748893,158.8009809467732,165.81528107998892
sampled,source_episodes,10,0,completed_runs_only,10,260710.4,989.2779858731989,260096.0,261324.8
sampled,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
sampled,candidate_count,10,0,completed_runs_only,10,73.2,1.3165611772087666,72.4,74.0
sampled,mean_fit_kl,10,0,completed_runs_only,10,0.00017862949651455273,2.1339004476030075e-05,0.00016592394343845662,0.00019092302163668747
sampled,optimizer_updates,10,0,completed_runs_only,10,65177.6,247.31949646829972,65024.0,65331.2
sampled,reached_1_95,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
sampled,episodes_to_1_95,10,0,completed_threshold_reachers_only,10,66150.4,5379.65589977649,63283.2,69632.0
