target,metric,count,mean,std,ci_low,ci_high
source,target_error,20,0.00014510379717682574,0.00015656720624091845,8.558289067164894e-05,0.00021763058970667974
source,direction_shift,20,0.0,0.0,0.0,0.0
source,transport_bound,20,0.00014510379717682577,0.00015656720624091845,8.558289067164894e-05,0.0002176305897066798
agents_2,target_error,20,0.00014510379717682574,0.00015656720624091845,8.558289067164894e-05,0.00021763058970667974
agents_2,direction_shift,20,0.0,0.0,0.0,0.0
agents_2,transport_bound,20,0.00014510379717682577,0.00015656720624091845,8.558289067164894e-05,0.0002176305897066798
agents_6,target_error,20,0.00014510379717682574,0.00015656720624091845,8.558289067164894e-05,0.00021763058970667974
agents_6,direction_shift,20,0.0,0.0,0.0,0.0
agents_6,transport_bound,20,0.00014510379717682577,0.00015656720624091845,8.558289067164894e-05,0.0002176305897066798
agents_8,target_error,20,0.00014510379717682574,0.00015656720624091845,8.558289067164894e-05,0.00021763058970667974
agents_8,direction_shift,20,0.0,0.0,0.0,0.0
agents_8,transport_bound,20,0.00014510379717682577,0.00015656720624091845,8.558289067164894e-05,0.0002176305897066798
composition_0.3,target_error,20,0.0028954273562497236,0.0009451084751673146,0.0024873497810218833,0.0032985878848261828
composition_0.3,direction_shift,20,0.0025401600000000044,4.449471833015287e-19,0.0025401600000000044,0.0025401600000000044
composition_0.3,transport_bound,20,0.004199820770549584,0.0010639926273756128,0.0037767009153332983,0.004683578685895086
composition_0.9,target_error,20,0.0030627782516196903,0.001192556473584412,0.0025900955357276404,0.0035959296995013183
composition_0.9,direction_shift,20,0.0025401600000000044,4.449471833015287e-19,0.0025401600000000044,0.0025401600000000044
composition_0.9,transport_bound,20,0.004059267974979701,0.0009666343967040405,0.0036745562244647444,0.004497492681233918
strength_0.0,target_error,20,0.06315511807918335,0.004015041742322178,0.06142337502427051,0.06485059441806132
strength_0.0,direction_shift,20,0.06547967999999998,1.4238309865648918e-17,0.06547967999999998,0.06547967999999998
strength_0.0,transport_bound,20,0.07101995656506109,0.0032115460180633564,0.0697220718663943,0.07247302848550964
strength_0.35,target_error,20,0.015280190938180088,0.001945709991145535,0.014446957782704349,0.016104940471384086
strength_0.35,direction_shift,20,0.016369920000000017,7.119154932824459e-18,0.016369920000000017,0.016369920000000017
strength_0.35,transport_bound,20,0.019212610181118972,0.001681612360083305,0.018532100494660475,0.019975952143594662
strength_1.4,target_error,20,0.06809444951517032,0.004268777501936649,0.06631244087053358,0.06996602671747992
strength_1.4,direction_shift,20,0.06547968,1.4238309865648918e-17,0.06547968,0.06547968
strength_1.4,transport_bound,20,0.07101995656506109,0.0032115460180633564,0.0697220718663943,0.07247302848550964
