kind,truth_class,true_value,sample_size,seed,mode,evaluation_batch_id,mean,radius,decision_value,alpha,accepted,false_accept,false_reject,evaluation_episodes
direction,-1,-0.18,128,2000,empirical,08b29abdb96e04d62e355dda747b03c6c22ddfe6efeed64d6e26befff6e69eb1,-0.1499088541666667,4.231088082359859,-0.1499088541666667,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2000,hoeffding,08b29abdb96e04d62e355dda747b03c6c22ddfe6efeed64d6e26befff6e69eb1,-0.1499088541666667,4.231088082359859,-4.380996936526526,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2001,empirical,0417e9440ecb2c2b8c24371333552216dfb49687dd6014ddefce3c317e8d9e34,-0.23890625000000001,4.231088082359859,-0.23890625000000001,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2001,hoeffding,0417e9440ecb2c2b8c24371333552216dfb49687dd6014ddefce3c317e8d9e34,-0.23890625000000001,4.231088082359859,-4.469994332359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2002,empirical,f6f89fb0c25f4e35ed3b10e0977ec916263f58561fcf3ad839c04bafe4a3d760,-0.22802083333333337,4.231088082359859,-0.22802083333333337,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2002,hoeffding,f6f89fb0c25f4e35ed3b10e0977ec916263f58561fcf3ad839c04bafe4a3d760,-0.22802083333333337,4.231088082359859,-4.459108915693193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2003,empirical,bc1faeaf68c776e10ab998c4c28a729aed2fb693c53419d36fb9a68aaaabc0ed,-0.16977864583333335,4.231088082359859,-0.16977864583333335,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2003,hoeffding,bc1faeaf68c776e10ab998c4c28a729aed2fb693c53419d36fb9a68aaaabc0ed,-0.16977864583333335,4.231088082359859,-4.400866728193193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2004,empirical,555168ae96cb155c9ee5ca9c670c34f26d0e09ce8ef8166bc5f6f4135040c3d3,-0.20579427083333335,4.231088082359859,-0.20579427083333335,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2004,hoeffding,555168ae96cb155c9ee5ca9c670c34f26d0e09ce8ef8166bc5f6f4135040c3d3,-0.20579427083333335,4.231088082359859,-4.436882353193193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2005,empirical,2e6a202d3735fa2342713d1316250d58a61a1d4e453c37daf8b4ab8671eec5be,-0.20454427083333335,4.231088082359859,-0.20454427083333335,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2005,hoeffding,2e6a202d3735fa2342713d1316250d58a61a1d4e453c37daf8b4ab8671eec5be,-0.20454427083333335,4.231088082359859,-4.435632353193192,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2006,empirical,f934dd7173727b31e36f4e6f1f03b48bb5f3bbb476ae9a9a22373db069919822,-0.16661458333333334,4.231088082359859,-0.16661458333333334,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2006,hoeffding,f934dd7173727b31e36f4e6f1f03b48bb5f3bbb476ae9a9a22373db069919822,-0.16661458333333334,4.231088082359859,-4.397702665693193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2007,empirical,fa2770dc7603b9017abd4b843f6e0772435b7b33b8a615fa03c8362bb86435d6,-0.20598958333333334,4.231088082359859,-0.20598958333333334,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2007,hoeffding,fa2770dc7603b9017abd4b843f6e0772435b7b33b8a615fa03c8362bb86435d6,-0.20598958333333334,4.231088082359859,-4.4370776656931925,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2008,empirical,a5456f28da1bc39c8db77b63083035255e35be9796160d207e38481b741772c1,-0.16575520833333335,4.231088082359859,-0.16575520833333335,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2008,hoeffding,a5456f28da1bc39c8db77b63083035255e35be9796160d207e38481b741772c1,-0.16575520833333335,4.231088082359859,-4.396843290693193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2009,empirical,6d385cf640d12ecd5f5edbf95d24659bd03471f73dbaab58968918ca0e55d013,-0.15781250000000002,4.231088082359859,-0.15781250000000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2009,hoeffding,6d385cf640d12ecd5f5edbf95d24659bd03471f73dbaab58968918ca0e55d013,-0.15781250000000002,4.231088082359859,-4.3889005823598595,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2010,empirical,a73019a27669c15ac70f092bc82b9bcc3e6728f5ef4184e31bac2f377b5e30ed,-0.17250000000000001,4.231088082359859,-0.17250000000000001,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2010,hoeffding,a73019a27669c15ac70f092bc82b9bcc3e6728f5ef4184e31bac2f377b5e30ed,-0.17250000000000001,4.231088082359859,-4.403588082359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2011,empirical,c44668899cbe51496f2ed6e06e395b30b16e14b90f6725dbf60a752bdee45ede,-0.18789062500000003,4.231088082359859,-0.18789062500000003,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2011,hoeffding,c44668899cbe51496f2ed6e06e395b30b16e14b90f6725dbf60a752bdee45ede,-0.18789062500000003,4.231088082359859,-4.418978707359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2012,empirical,d8dedb85c53a3b91adeb9464ef7579356817d465f4a6346b9e5f2da065473ed5,-0.18188802083333336,4.231088082359859,-0.18188802083333336,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2012,hoeffding,d8dedb85c53a3b91adeb9464ef7579356817d465f4a6346b9e5f2da065473ed5,-0.18188802083333336,4.231088082359859,-4.412976103193192,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2013,empirical,afa24e86a1146c19d770208d54c78dfe5b7f9deac82abf1d7df9b47e8a2dce09,-0.18746093750000004,4.231088082359859,-0.18746093750000004,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2013,hoeffding,afa24e86a1146c19d770208d54c78dfe5b7f9deac82abf1d7df9b47e8a2dce09,-0.18746093750000004,4.231088082359859,-4.418549019859859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2014,empirical,0818a7d021439cb324df653d62af7cb15b241ad9897e65a16ff6051ad00a0ffc,-0.20671875,4.231088082359859,-0.20671875,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2014,hoeffding,0818a7d021439cb324df653d62af7cb15b241ad9897e65a16ff6051ad00a0ffc,-0.20671875,4.231088082359859,-4.437806832359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2015,empirical,2b7487131b8e5b3d5f54856761073583bc61a2f7f97e5fb9c87fb1fa6779bbd2,-0.19480468750000002,4.231088082359859,-0.19480468750000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2015,hoeffding,2b7487131b8e5b3d5f54856761073583bc61a2f7f97e5fb9c87fb1fa6779bbd2,-0.19480468750000002,4.231088082359859,-4.425892769859859,6.485084306095979e-05,False,False,False,128
