kind,truth_class,sample_size,mode,metric,count,mean,std,ci_low,ci_high
direction,-1,128,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,-1,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,128,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,-1,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,-1,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,128,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,-1,512,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,-1,512,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,-1,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,-1,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,512,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,-1,2048,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,-1,2048,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,-1,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,-1,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,-1,2048,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,0,128,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,0,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,0,128,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,0,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,0,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,0,128,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,0,512,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,0,512,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,0,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,0,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,0,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,0,512,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,0,2048,empirical,accepted,3,0.0,0.0,0.0,0.0
direction,0,2048,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,0,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,0,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,0,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,0,2048,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
direction,1,128,empirical,accepted,3,1.0,0.0,1.0,1.0
direction,1,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,1,128,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,1,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,1,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,1,128,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
direction,1,512,empirical,accepted,3,1.0,0.0,1.0,1.0
direction,1,512,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,1,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,1,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,1,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,1,512,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
direction,1,2048,empirical,accepted,3,1.0,0.0,1.0,1.0
direction,1,2048,empirical,false_accept,3,0.0,0.0,0.0,0.0
direction,1,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
direction,1,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
direction,1,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
direction,1,2048,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
return,-1,128,empirical,accepted,3,0.0,0.0,0.0,0.0
return,-1,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
return,-1,128,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,-1,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,-1,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,-1,128,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,-1,512,empirical,accepted,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,-1,512,empirical,false_accept,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,-1,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,-1,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,-1,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,-1,512,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,-1,2048,empirical,accepted,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,-1,2048,empirical,false_accept,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,-1,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,-1,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,-1,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,-1,2048,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,0,128,empirical,accepted,3,0.0,0.0,0.0,0.0
return,0,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
return,0,128,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,0,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,0,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,0,128,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,0,512,empirical,accepted,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,0,512,empirical,false_accept,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,0,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,0,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,0,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,0,512,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,0,2048,empirical,accepted,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,0,2048,empirical,false_accept,3,0.6666666666666666,0.5773502691896258,0.0,1.0
return,0,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,0,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,0,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,0,2048,hoeffding,false_reject,3,0.0,0.0,0.0,0.0
return,1,128,empirical,accepted,3,0.0,0.0,0.0,0.0
return,1,128,empirical,false_accept,3,0.0,0.0,0.0,0.0
return,1,128,empirical,false_reject,3,1.0,0.0,1.0,1.0
return,1,128,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,1,128,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,1,128,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
return,1,512,empirical,accepted,3,1.0,0.0,1.0,1.0
return,1,512,empirical,false_accept,3,0.0,0.0,0.0,0.0
return,1,512,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,1,512,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,1,512,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,1,512,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
return,1,2048,empirical,accepted,3,1.0,0.0,1.0,1.0
return,1,2048,empirical,false_accept,3,0.0,0.0,0.0,0.0
return,1,2048,empirical,false_reject,3,0.0,0.0,0.0,0.0
return,1,2048,hoeffding,accepted,3,0.0,0.0,0.0,0.0
return,1,2048,hoeffding,false_accept,3,0.0,0.0,0.0,0.0
return,1,2048,hoeffding,false_reject,3,1.0,0.0,1.0,1.0
