eta,actor_class,updates,target_gain,actor_gain,fit_kl,best_class_kl,optimization_excess_kl,target_min_probability,probability_floor,target_difference_quotient,exact_derivative
0.01,table,32,0.002406042373809686,0.00534029529780803,5.050484108469499e-06,2.2137847310865048e-17,5.050484108447361e-06,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.01,table,128,0.002406042373809686,0.0024026258759341657,2.687471397503209e-10,2.2137847310865048e-17,2.687471176124736e-10,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.01,table,512,0.002406042373809686,0.002406042373814292,2.1716095165907505e-17,2.2137847310865048e-17,-4.2175214495754305e-19,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.01,tied_logit,32,0.002406042373809686,2.91069839951109e-06,6.712623343306306e-06,2.999989499987213e-06,3.7126338433190933e-06,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.01,tied_logit,128,0.002406042373809686,8.331704110399914e-11,3.0000957425473183e-06,2.999989499987213e-06,1.0624256010539901e-10,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.01,tied_logit,512,0.002406042373809686,1.5679156918106935e-18,2.999989499987213e-06,2.999989499987213e-06,0.0,0.49850000449998383,0.01,0.2406042373809686,0.24000000000000002
0.05,table,32,0.012150483676682861,0.010716623138304255,1.492000104061093e-06,-4.374283712577128e-17,1.4920001041048358e-06,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.05,table,128,0.012150483676682861,0.012144430291550863,3.4254224115554566e-11,-4.374283712577128e-17,3.4254267858391694e-11,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.05,table,512,0.012150483676682861,0.01215048367671376,-5.5046571612661844e-17,-4.374283712577128e-17,-1.1303734486890563e-17,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.05,tied_logit,32,0.012150483676682861,5.8425793146523415e-06,8.244479810446586e-05,7.499343804156936e-05,7.451360062896498e-06,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.05,tied_logit,128,0.012150483676682861,2.696161192691966e-10,7.499377541531765e-05,7.499343804156936e-05,3.373737482957606e-10,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.05,tied_logit,512,0.012150483676682861,2.4493633014250035e-14,7.499343804156936e-05,7.499343804156936e-05,0.0,0.49250056244937956,0.01,0.2430096735336572,0.24000000000000002
0.1,table,32,0.02459893978736909,0.02478068832041309,2.1893766485982583e-06,6.794547149979276e-17,2.1893766485303127e-06,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.1,table,128,0.02459893978736909,0.02459991392617348,3.253476864350366e-10,6.794547149979276e-17,3.253476184895651e-10,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.1,table,512,0.02459893978736909,0.02459893978731458,4.344343117986686e-17,6.794547149979276e-17,-2.45020403199259e-17,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.1,tied_logit,32,0.02459893978736909,5.4762349743902545e-06,0.00030687260759560287,0.00029989503465572675,6.977572939876123e-06,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.1,tied_logit,128,0.02459893978736909,3.462320217165782e-10,0.00029989553768410785,0.00029989503465572675,5.030283811019443e-10,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.1,tied_logit,512,0.02459893978736909,1.56637035162029e-12,0.0002998950346557259,0.00029989503465572675,-8.673617379884035e-19,0.4850044983805899,0.01,0.2459893978736909,0.24000000000000002
0.2,table,32,0.050370269864847564,0.04903642369128446,2.2461848270913243e-05,5.551203756532179e-17,2.246184827085773e-05,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
0.2,table,128,0.050370269864847564,0.05031448464682019,1.34121289630177e-09,5.551203756532179e-17,1.3412128407897325e-09,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
0.2,table,512,0.050370269864847564,0.05037026986486206,3.978088653832912e-17,5.551203756532179e-17,-1.5731151026992672e-17,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
0.2,tied_logit,32,0.050370269864847564,5.1954952595189105e-06,0.0012048911658877962,0.0011983222158443475,6.568950043448624e-06,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
0.2,tied_logit,128,0.050370269864847564,7.584097166966554e-11,0.001198322662137749,0.0011983222158443475,4.4629340154034303e-10,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
0.2,tied_logit,512,0.050370269864847564,9.993565811376849e-11,0.0011983222158443475,0.0011983222158443475,0.0,0.4700359482354283,0.01,0.2518513493242378,0.24000000000000002
