condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,100,0,0,0,0.3837600000000004
ours,100,13107,12288,3,0.757965590221855
ours,100,26214,24576,6,1.2357653599572902
ours,100,39321,36864,9,1.6160609539551753
ours,100,52428,49152,12,1.8363780156763894
ours,100,65536,61440,15,1.9407644145578538
ours,100,78643,77824,18,1.9626195725118785
ours,100,91750,86016,20,1.9626655964639126
ours,100,104857,104448,23,1.9626655976982896
ours,100,117964,116736,26,1.9626655992048487
ours,100,131072,126976,28,1.9626655994009499
ours,100,144179,143360,31,1.9626655995588023
ours,100,157286,153600,33,1.9626655996020999
ours,100,170393,169984,36,1.9626655996741302
ours,100,183500,180224,38,1.9626655997136153
ours,100,196608,192512,40,1.9626655997243287
ours,100,209715,208896,43,1.9626655997526385
ours,100,222822,221184,45,1.9626655997617029
ours,100,235929,235520,48,1.9626655997893538
ours,100,249036,247808,50,1.9626655997958438
ours,100,262144,260096,52,1.9626655998018823
ours,101,0,0,0,0.3837599999999998
ours,101,13107,12288,3,0.7639087176264576
ours,101,26214,24576,6,1.2161786821243228
ours,101,39321,36864,9,1.5894437100241319
ours,101,52428,49152,12,1.8213024051171463
ours,101,65536,61440,15,1.9364871823825247
ours,101,78643,77824,18,1.9614997455522076
ours,101,91750,88064,20,1.9626649713521602
ours,101,104857,104448,23,1.9626655974198612
ours,101,117964,116736,25,1.9626655985478347
ours,101,131072,131072,28,1.9626655992823276
ours,101,144179,143360,30,1.9626655993531241
ours,101,157286,155648,33,1.9626655995733695
ours,101,170393,167936,35,1.962665599620617
ours,101,183500,180224,37,1.9626655996426385
ours,101,196608,196608,40,1.962665599687548
ours,101,209715,208896,42,1.9626655997115978
ours,101,222822,221184,45,1.962665599767188
ours,101,235929,233472,47,1.962665599767188
ours,101,249036,243712,49,1.9626655997806035
ours,101,262144,260096,52,1.9626655997921374
ours,102,0,0,0,0.3837600000000004
ours,102,13107,12288,3,0.787768705951555
ours,102,26214,24576,6,1.2408557679666663
ours,102,39321,36864,9,1.6135014985498175
ours,102,52428,49152,12,1.8332957824336764
ours,102,65536,61440,15,1.9434378367584604
ours,102,78643,75776,18,1.9626655789809109
ours,102,91750,88064,20,1.9626655948405736
ours,102,104857,102400,23,1.9626655988404274
ours,102,117964,116736,26,1.9626655993422475
ours,102,131072,131072,29,1.962665599549877
ours,102,144179,141312,31,1.9626655995964168
ours,102,157286,155648,34,1.9626655996675508
ours,102,170393,169984,37,1.9626655997262057
ours,102,183500,182272,40,1.9626655997774278
ours,102,196608,194560,42,1.9626655997907272
ours,102,209715,206848,45,1.9626655998208005
ours,102,222822,219136,48,1.9626655998437532
ours,102,235929,235520,51,1.9626655998526188
ours,102,249036,245760,53,1.9626655998579219
ours,102,262144,260096,56,1.9626655998698976
ours,103,0,0,0,0.38375999999999993
ours,103,13107,12288,3,0.7719143608130176
ours,103,26214,24576,6,1.2304255941293991
ours,103,39321,36864,9,1.6150426312036599
ours,103,52428,49152,12,1.8431958657267251
ours,103,65536,61440,15,1.9476370382100157
ours,103,78643,75776,18,1.9626645918047578
ours,103,91750,90112,21,1.9626655984189072
ours,103,104857,100352,23,1.962665599058812
ours,103,117964,116736,26,1.9626655993914817
ours,103,131072,126976,28,1.962665599509827
ours,103,144179,143360,31,1.9626655995922542
ours,103,157286,153600,33,1.9626655996322906
ours,103,170393,167936,36,1.9626655996943612
ours,103,183500,182272,39,1.9626655997364755
ours,103,196608,192512,41,1.962665599761217
ours,103,209715,206848,44,1.9626655997971272
ours,103,222822,217088,46,1.9626655998068332
ours,103,235929,233472,49,1.962665599825701
ours,103,249036,245760,52,1.962665599847083
ours,103,262144,260096,55,1.962665599858907
ours,104,0,0,0,0.3837599999999998
ours,104,13107,12288,3,0.7907993017092277
ours,104,26214,24576,6,1.239224168267005
ours,104,39321,36864,9,1.606531578020396
ours,104,52428,49152,12,1.8335222431427949
ours,104,65536,61440,15,1.943222597546822
ours,104,78643,77824,18,1.9626653900177133
ours,104,91750,88064,20,1.9626655975778433
ours,104,104857,102400,23,1.9626655989412782
ours,104,117964,112640,25,1.9626655991690438
ours,104,131072,126976,28,1.9626655994705569
