condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,reached_1_95,episodes_to_1_95,reached_1_96,episodes_to_1_96,return_check_false_rejections,direction_check_rejections,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
ours,100,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_100,176.12669469998218,260096,262144,2048,52,source_budget,0.3837600000000004,1.9626655998018823,1.800170740162145,42,0,0.0,-0.0,75,33,0.00014147489152486028,True,67584,True,71680,3,0,53248,0,0,53248,76800,76800,65024
ours,101,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_101,163.33748679980636,260096,262144,2048,52,source_budget,0.3837599999999998,1.9626655997921374,1.7968319771487593,41,0,0.0,-0.0,75,34,0.0001399143619360572,True,77824,True,77824,3,0,53248,0,0,53248,76800,76800,65024
ours,102,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_102,175.89956269972026,260096,262144,2048,56,source_budget,0.3837600000000004,1.9626655998698976,1.8017306541501308,51,0,0.0,-0.0,71,20,0.00020127173253141798,True,67584,True,71680,1,0,57344,0,0,57344,72704,72704,65024
ours,103,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_103,164.92433559987694,260096,262144,2048,55,source_budget,0.38375999999999993,1.962665599858907,1.8010330859505324,48,0,0.0,-0.0,72,24,0.00018157776536322181,True,71680,True,71680,2,0,56320,0,0,56320,73728,73728,65024
ours,104,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_104,174.85584370000288,262144,262144,0,55,source_budget,0.3837599999999998,1.962665599854999,1.8017962022339447,46,0,0.0,-0.0,73,27,0.00018455623977956814,True,67584,True,71680,2,0,56320,0,0,56320,74752,74752,65536
ours,105,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_105,165.15457929996774,260096,262144,2048,53,source_budget,0.38375999999999993,1.962665599815133,1.8019258418898954,42,0,0.0,-0.0,74,32,0.00016003812050182435,True,65536,True,65536,0,0,54272,0,0,54272,75776,75776,65024
ours,106,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_106,171.70678420038894,262144,262144,0,55,source_budget,0.38376000000000016,1.962665599844817,1.8061956276208484,46,0,0.0,-0.0,73,27,0.0001859828312931465,True,61440,True,65536,4,0,56320,0,0,56320,74752,74752,65536
ours,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_107,169.79361720010638,260096,262144,2048,55,source_budget,0.38376000000000043,1.9626655998650784,1.8000055802138297,50,0,0.0,-0.0,72,22,0.00018331071236736492,True,71680,True,77824,3,0,56320,0,0,56320,73728,73728,65024
ours,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_108,168.38504920015112,262144,262144,0,55,source_budget,0.38376000000000016,1.9626655998564573,1.805841493361271,47,0,0.0,-0.0,73,26,0.00017925714329447014,True,67584,True,71680,1,0,56320,0,0,56320,74752,74752,65536
ours,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\ours\seed_109,171.57532470021397,260096,262144,2048,53,source_budget,0.3837599999999999,1.962665599824209,1.803421559262408,42,0,0.0,-0.0,74,32,0.00016126889535439867,True,65536,True,71680,4,0,54272,0,0,54272,75776,75776,65024
