target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
source,1000,4,0.6,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,9.286261864253122e-05,0.0,1.0,0.0,0.0,9.286261864253121e-05,9.286261864253121e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1000,2,0.6,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,9.286261864253122e-05,0.0,1.0,0.0,0.0,9.286261864253121e-05,9.286261864253121e-05,True,0.47952000000000006,0.23976000000000003
agents_6,1000,6,0.6,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,9.286261864253122e-05,0.0,1.0,0.0,0.0,9.286261864253121e-05,9.286261864253121e-05,True,1.4385600000000003,0.23976000000000006
agents_8,1000,8,0.6,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,9.286261864253122e-05,0.0,1.0,0.0,0.0,9.286261864253121e-05,9.286261864253121e-05,True,1.9180800000000002,0.23976000000000003
composition_0.3,1000,4,0.3,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,0.003460144654640322,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.003987660386325801,0.18727076628013575,True,1.04616,0.26154
composition_0.9,1000,4,0.9,0.7,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,0.0015891467550613052,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.0038691242420534127,0.1864532132120439,True,0.9626400000000004,0.2406600000000001
strength_0.0,1000,4,0.6,0.0,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,0.06771302888579919,0.06547968,1.0,0.7,0.48999999999999994,0.07050432304874076,0.5035839979503839,True,0.5760000000000001,0.14400000000000002
strength_0.35,1000,4,0.6,0.35,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,0.017533025752220866,0.01636992000000001,1.0,0.35,0.12249999999999998,0.018928672833691658,0.1293384302845132,True,0.7675200000000001,0.19188000000000002
strength_1.4,1000,4,0.6,1.4,2a4d207e6100d3965ead76ef7f0517ea0c78b42f4e9495a625f3cd33272dd49e,9.286261864253122e-05,0.06343205635148587,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07050432304874076,0.5035839979503839,True,1.3420800000000002,0.33552000000000004
source,1001,4,0.6,0.7,1875d36174e54499586501eb00a6d0bb48750132e793843049a75e1a170a13ba,7.222258942102357e-05,7.222258942102357e-05,0.0,1.0,0.0,0.0,7.222258942102357e-05,7.222258942102357e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1001,2,0.6,0.7,1875d36174e54499586501eb00a6d0bb48750132e793843049a75e1a170a13ba,7.222258942102357e-05,7.222258942102357e-05,0.0,1.0,0.0,0.0,7.222258942102357e-05,7.222258942102357e-05,True,0.47952000000000006,0.23976000000000003
agents_6,1001,6,0.6,0.7,1875d36174e54499586501eb00a6d0bb48750132e793843049a75e1a170a13ba,7.222258942102357e-05,7.222258942102357e-05,0.0,1.0,0.0,0.0,7.222258942102357e-05,7.222258942102357e-05,True,1.4385600000000003,0.23976000000000006
