kind,truth_class,sample_size,mode,metric,count,events,mean,std,ci_low,ci_high,ci_method
direction,-1,128,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,128,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,128,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,128,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,512,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,512,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,512,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,512,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,2048,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,2048,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,2048,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,2048,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,8192,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,8192,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,8192,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,-1,8192,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,128,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,128,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,128,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,128,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,512,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,512,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,512,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,512,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,2048,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,2048,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,2048,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,2048,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,8192,empirical,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,8192,empirical,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
direction,0,8192,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
