experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,normalized,4,2,False,target_plus_type_probability,0.6,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,density_ratio,1.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,neighbor_weight,2.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,semantic_drift,0.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,target_local_energy,0.06652799999999993,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,target_path_derivative,0.12657450425710406,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,target_normalized_path_derivative,0.06328725212855203,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,old_return,0.14079999999999998,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,return,0.15388614713005852,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,return_gain,0.01308614713005854,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,source_steps_total,2072.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,source_steps_training,2048.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,source_steps_direction_check,8.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,source_steps_return_check,16.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,attempts,1.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,forward_kl_training,3.5096021816954115e-09,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,direction_loss,-0.06262709332752192,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,direction_steps,100.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,q_bound,5.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,direction_check_score,0.10065960108166004,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,return_check_gain,0.0,,1,,,training_seed_or_data_batch,True
P-T,AN,normalized,4,2,False,return_check_standard_error,0.0,,1,,,training_seed_or_data_batch,True
