round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,968,868,False,0,,False,P-L,AN,mc_learned_baseline,40,968
2,3884,2916,True,2,9.595697082159683e-10,True,P-L,AN,mc_learned_baseline,40,3884
3,7824,3940,True,3,2.6844360634759156e-10,False,P-L,AN,mc_learned_baseline,40,7824
4,9716,1892,True,1,1.8900171963486506e-09,True,P-L,AN,mc_learned_baseline,40,9716
5,11608,1892,True,1,3.6130426074007264e-10,True,P-L,AN,mc_learned_baseline,40,11608
6,14524,2916,True,2,1.8090451184884555e-12,True,P-L,AN,mc_learned_baseline,40,14524
7,16416,1892,True,1,1.5967486049652876e-09,True,P-L,AN,mc_learned_baseline,40,16416
8,18308,1892,True,1,1.017909375985111e-08,True,P-L,AN,mc_learned_baseline,40,18308
9,20200,1892,True,1,1.5538565341965294e-08,True,P-L,AN,mc_learned_baseline,40,20200
10,23116,2916,True,2,2.5692426971996993e-09,True,P-L,AN,mc_learned_baseline,40,23116
11,25008,1892,True,1,3.939100814284151e-09,True,P-L,AN,mc_learned_baseline,40,25008
12,26900,1892,True,1,3.042941260594564e-09,True,P-L,AN,mc_learned_baseline,40,26900
13,28792,1892,True,1,1.0676658699721335e-08,True,P-L,AN,mc_learned_baseline,40,28792
14,31708,2916,True,2,9.545208036838995e-09,True,P-L,AN,mc_learned_baseline,40,31708
15,33600,1892,True,1,2.5713849174915873e-08,True,P-L,AN,mc_learned_baseline,40,33600
16,35492,1892,True,1,5.0856572262283685e-09,True,P-L,AN,mc_learned_baseline,40,35492
17,37384,1892,True,1,2.0919012846650122e-08,True,P-L,AN,mc_learned_baseline,40,37384
18,39276,1892,True,1,2.408745552139277e-09,True,P-L,AN,mc_learned_baseline,40,39276
19,41168,1892,True,1,5.984879117150857e-08,True,P-L,AN,mc_learned_baseline,40,41168
20,43060,1892,True,1,3.3132553952740756e-08,True,P-L,AN,mc_learned_baseline,40,43060
21,44952,1892,True,1,1.5951562030364274e-08,True,P-L,AN,mc_learned_baseline,40,44952
22,46844,1892,True,1,7.212729256531021e-08,True,P-L,AN,mc_learned_baseline,40,46844
23,48736,1892,True,1,7.287508575925965e-09,True,P-L,AN,mc_learned_baseline,40,48736
24,50628,1892,True,1,3.129245242781703e-08,True,P-L,AN,mc_learned_baseline,40,50628
25,52520,1892,True,1,1.374044043268227e-08,True,P-L,AN,mc_learned_baseline,40,52520
26,54412,1892,True,1,9.918234615612215e-09,True,P-L,AN,mc_learned_baseline,40,54412
27,56304,1892,True,1,3.2333800123067446e-09,True,P-L,AN,mc_learned_baseline,40,56304
28,58196,1892,True,1,1.3159501814454427e-09,True,P-L,AN,mc_learned_baseline,40,58196
29,60088,1892,True,1,1.7779598929977473e-09,True,P-L,AN,mc_learned_baseline,40,60088
30,61980,1892,True,1,1.2442360440525291e-08,True,P-L,AN,mc_learned_baseline,40,61980
31,64896,2916,True,2,4.744221317444366e-09,False,P-L,AN,mc_learned_baseline,40,64896
1,968,868,False,0,,False,P-L,SA,mc_learned_baseline,40,968
2,3884,2916,True,2,1.3484905286854845e-09,True,P-L,SA,mc_learned_baseline,40,3884
3,6800,2916,True,2,1.412919093192727e-09,True,P-L,SA,mc_learned_baseline,40,6800
4,8692,1892,True,1,7.867634861608636e-11,True,P-L,SA,mc_learned_baseline,40,8692
5,10584,1892,True,1,1.3301696514425944e-09,True,P-L,SA,mc_learned_baseline,40,10584
6,12476,1892,True,1,6.111360455365807e-09,True,P-L,SA,mc_learned_baseline,40,12476
7,14368,1892,True,1,4.217322096427317e-09,True,P-L,SA,mc_learned_baseline,40,14368
8,17284,2916,True,2,1.4256174752801416e-09,True,P-L,SA,mc_learned_baseline,40,17284
9,19176,1892,True,1,1.3884129167246455e-10,True,P-L,SA,mc_learned_baseline,40,19176
10,21068,1892,True,1,1.0198580188776403e-08,True,P-L,SA,mc_learned_baseline,40,21068
11,23984,2916,True,2,1.262695249318882e-09,True,P-L,SA,mc_learned_baseline,40,23984
12,25876,1892,True,1,2.2601479836302174e-09,True,P-L,SA,mc_learned_baseline,40,25876
13,27768,1892,True,1,2.9305033332948664e-08,True,P-L,SA,mc_learned_baseline,40,27768
14,29660,1892,True,1,1.788264658489065e-08,True,P-L,SA,mc_learned_baseline,40,29660
15,32576,2916,True,2,5.684736582430971e-09,True,P-L,SA,mc_learned_baseline,40,32576
16,34468,1892,True,1,3.5275160003103e-08,True,P-L,SA,mc_learned_baseline,40,34468
17,36360,1892,True,1,4.261946624839518e-08,True,P-L,SA,mc_learned_baseline,40,36360
18,38252,1892,True,1,4.270025555171949e-08,True,P-L,SA,mc_learned_baseline,40,38252
19,40144,1892,True,1,4.291410247260768e-08,True,P-L,SA,mc_learned_baseline,40,40144
20,42036,1892,True,1,1.053915119598936e-08,True,P-L,SA,mc_learned_baseline,40,42036
21,43928,1892,True,1,1.8072968373173456e-08,True,P-L,SA,mc_learned_baseline,40,43928
22,45820,1892,True,1,4.277418258036446e-08,True,P-L,SA,mc_learned_baseline,40,45820
23,47712,1892,True,1,6.759625171224192e-08,True,P-L,SA,mc_learned_baseline,40,47712
24,49604,1892,True,1,4.151982773621624e-08,True,P-L,SA,mc_learned_baseline,40,49604
25,51496,1892,True,1,2.84002799694963e-08,True,P-L,SA,mc_learned_baseline,40,51496
26,53388,1892,True,1,2.784314335422918e-08,True,P-L,SA,mc_learned_baseline,40,53388
27,56304,2916,True,2,5.765483393440988e-09,True,P-L,SA,mc_learned_baseline,40,56304
28,58196,1892,True,1,2.8115553963942795e-09,True,P-L,SA,mc_learned_baseline,40,58196
29,60088,1892,True,1,2.2808740241595554e-09,True,P-L,SA,mc_learned_baseline,40,60088
30,61980,1892,True,1,9.533916964322484e-09,True,P-L,SA,mc_learned_baseline,40,61980
31,64896,2916,True,2,3.842957307635909e-10,False,P-L,SA,mc_learned_baseline,40,64896
1,1480,,,1,,True,P-L,DA,mc_learned_baseline,40,1480
2,2860,,,1,,True,P-L,DA,mc_learned_baseline,40,2860
3,4240,,,1,,True,P-L,DA,mc_learned_baseline,40,4240
4,5620,,,1,,True,P-L,DA,mc_learned_baseline,40,5620
5,9048,,,3,,False,P-L,DA,mc_learned_baseline,40,9048
6,11452,,,2,,True,P-L,DA,mc_learned_baseline,40,11452
7,12832,,,1,,True,P-L,DA,mc_learned_baseline,40,12832
8,14212,,,1,,True,P-L,DA,mc_learned_baseline,40,14212
9,15592,,,1,,True,P-L,DA,mc_learned_baseline,40,15592
10,17996,,,2,,True,P-L,DA,mc_learned_baseline,40,17996
11,19376,,,1,,True,P-L,DA,mc_learned_baseline,40,19376
12,20756,,,1,,True,P-L,DA,mc_learned_baseline,40,20756
13,22136,,,1,,True,P-L,DA,mc_learned_baseline,40,22136
14,23516,,,1,,True,P-L,DA,mc_learned_baseline,40,23516
15,25920,,,2,,True,P-L,DA,mc_learned_baseline,40,25920
16,27300,,,1,,True,P-L,DA,mc_learned_baseline,40,27300
17,28680,,,1,,True,P-L,DA,mc_learned_baseline,40,28680
18,30060,,,1,,True,P-L,DA,mc_learned_baseline,40,30060
19,31440,,,1,,True,P-L,DA,mc_learned_baseline,40,31440
20,33844,,,2,,True,P-L,DA,mc_learned_baseline,40,33844
21,36248,,,2,,True,P-L,DA,mc_learned_baseline,40,36248
22,37628,,,1,,True,P-L,DA,mc_learned_baseline,40,37628
23,40032,,,2,,True,P-L,DA,mc_learned_baseline,40,40032
24,41412,,,1,,True,P-L,DA,mc_learned_baseline,40,41412
25,42792,,,1,,True,P-L,DA,mc_learned_baseline,40,42792
26,46220,,,3,,True,P-L,DA,mc_learned_baseline,40,46220
27,47600,,,1,,True,P-L,DA,mc_learned_baseline,40,47600
28,51028,,,3,,True,P-L,DA,mc_learned_baseline,40,51028
29,53432,,,2,,True,P-L,DA,mc_learned_baseline,40,53432
30,54812,,,1,,True,P-L,DA,mc_learned_baseline,40,54812
31,56192,,,1,,True,P-L,DA,mc_learned_baseline,40,56192
32,57572,,,1,,True,P-L,DA,mc_learned_baseline,40,57572
33,58952,,,1,,True,P-L,DA,mc_learned_baseline,40,58952
