experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,1,3784,256,256,1024,2048,200,1892,7568,65536,0.19148437499999996,0.2754,0.3537805067478608,0.034766506747860804,0.00048014453156419224,public_state_tabular_independent_mc,0,0.6154101721564078,0.03824500006157905,True,accepted_empirical,0.1,1,4.083214628530262e-09,-0.09295686636771183,100,5.0,0.0762423047261617,empirical,0.03779296875,empirical,0.00995280072743754,0.4074925527356591,0.1717049778337192,0.012895825385180526,0.0016149602719140095,0.09742593899636695,0.08713260046703336
T-L,AN,mc_learned_baseline,False,46,2,7568,512,512,2048,4096,400,3784,15136,65536,0.39328125,0.3617999999999999,0.3857170669897008,0.031936560241839995,0.0003987933129062147,public_state_tabular_independent_mc,0,0.6059751764409893,0.07858610001858324,True,accepted_empirical,0.1,1,1.9588616099844522e-09,-0.08049076911317193,100,5.0,0.08810738845234169,empirical,0.044062500000000004,empirical,0.010470075692998751,0.4068431512721342,0.172473837063684,0.007834212861944967,0.00038702227894290463,0.08074724035583933,0.08894969782813664
T-L,AN,mc_learned_baseline,False,46,3,11352,768,768,3072,6144,600,5676,22704,65536,0.30351562499999996,0.5138999999999999,0.4189895996282803,0.03327253263857949,0.00043463392896665406,public_state_tabular_independent_mc,0,0.5949852324864007,0.11905079998541623,True,accepted_empirical,0.1,1,7.733575767907346e-09,-0.08772853807452943,100,5.0,0.08760944192551738,empirical,0.039609375,empirical,0.009354699538112111,0.4476620265629334,0.193861909018366,0.03462149794633196,0.000279559125108664,0.08812812869407402,0.08910756793969724
T-L,AN,mc_learned_baseline,False,46,4,15136,1024,1024,4096,8192,800,7568,30272,65536,0.393046875,0.5492999999999999,0.45402748954400224,0.03503788991572193,0.0004907004596428516,public_state_tabular_independent_mc,0,0.5836265037320995,0.1598213000688702,True,accepted_empirical,0.1,1,3.0012463965631512e-09,-0.09989031163644667,100,5.0,0.08344347326663316,empirical,0.04189453125,empirical,0.010058358925474119,0.4051957002416941,0.1721693695850156,0.009012405843473181,0.0012909459048499792,0.09990682621692584,0.0876460078471929
T-L,AN,mc_learned_baseline,False,46,5,18920,1280,1280,5120,10240,1000,9460,37840,65536,0.4228125,0.39629999999999993,0.48672640038874243,0.03269891084474019,0.0004350191805279156,public_state_tabular_independent_mc,0,0.5721338593899008,0.2330886999843642,True,accepted_empirical,0.1,1,5.190161389782449e-09,-0.08927041382931405,100,5.0,0.08883973268677939,empirical,0.030410156249999997,empirical,0.009378100813679043,0.3969432863383908,0.1692874075536419,0.0023720021754668474,0.0009443583037635305,0.08939778009134858,0.08680471739537066
T-L,AN,mc_learned_baseline,False,46,6,22704,1536,1536,6144,12288,1200,11352,45408,65536,0.50109375,0.5244,0.5195763783820933,0.03284997799335082,0.00045767272525669764,public_state_tabular_independent_mc,0,0.5588955667241946,0.29049809998832643,True,accepted_empirical,0.1,1,5.306983066353092e-09,-0.09061552969187399,100,5.0,0.0802165879856407,empirical,0.030996093750000002,empirical,0.00994207784658303,0.3836238227032463,0.16137827091448886,0.007831556835983688,0.002807456954389191,0.09256496090606921,0.08319476559880178
T-L,AN,mc_learned_baseline,False,46,7,26488,1792,1792,7168,14336,1400,13244,52976,65536,0.54328125,0.4958999999999999,0.5486977043281068,0.029121325946013576,0.00036598020027176154,public_state_tabular_independent_mc,0,0.5477781503609198,0.33896800002548844,True,accepted_empirical,0.1,1,2.6215869797134092e-09,-0.07515539379384102,100,5.0,0.09056719214745199,empirical,0.013476562499999999,empirical,0.005162185702715672,0.3542593998915485,0.15049941193898703,0.005515720753195175,0.001780179197403533,0.07503344033652604,0.08221964987547714
T-L,AN,mc_learned_baseline,False,46,8,30272,2048,2048,8192,16384,1600,15136,60544,65536,0.448828125,0.6081,0.5817928240409853,0.033095119712878485,0.0004843449872084524,public_state_tabular_independent_mc,0,0.5341300401641423,0.38104350003413856,True,accepted_empirical,0.1,1,1.205627756754809e-09,-0.1002702921102391,100,5.0,0.0739234926953547,empirical,0.005859374999999999,empirical,0.007223959861830716,0.3952762150694923,0.16464646410914638,0.010284451101300052,0.0013169930784425554,0.09969827301674974,0.08007966646241546
T-L,AN,mc_learned_baseline,False,46,9,34056,2304,2304,9216,18432,1800,17028,68112,65536,0.6442968750000001,0.5583,0.6097149895883457,0.027922165547360378,0.0003719342041547083,public_state_tabular_independent_mc,0,0.5221224791722072,0.43516650004312396,True,accepted_empirical,0.1,1,3.2449647161885927e-09,-0.07815190335963026,100,5.0,0.06735762945950566,empirical,0.0348046875,empirical,0.00872952867829982,0.3107724864676805,0.13395601852084388,-0.013121260513226929,0.002565924482804688,0.07682795743450455,0.07537820068109813
T-L,AN,mc_learned_baseline,False,46,10,37840,2560,2560,10240,20480,2000,18920,75680,65536,0.5946093750000001,0.7497,0.6379367937358784,0.028221804147532725,0.0003862700759757223,public_state_tabular_independent_mc,0,0.5091736557020123,0.48624500003643334,True,accepted_empirical,0.1,1,2.277624134409962e-09,-0.07918133531047308,100,5.0,0.07043195829968452,empirical,0.047402343750000006,empirical,0.010786807009894178,0.33620949353267204,0.13581231649639205,0.01975499620733423,0.0002392083804790409,0.07967729831866308,0.07416822652806246
T-L,AN,mc_learned_baseline,False,46,11,41624,2816,2816,11264,22528,2200,20812,83248,65536,0.5350781250000001,0.6555,0.6684137127553105,0.03047691901943206,0.0005111420986860513,public_state_tabular_independent_mc,0,0.49453618183239706,0.5343497999710962,True,accepted_empirical,0.1,1,9.240416547746593e-09,-0.10198142350009845,100,5.0,0.07143492057642636,empirical,0.02548828125,empirical,0.008928728762918213,0.35340532674984054,0.15128633074139314,-0.018854970021852324,0.008928817779879923,0.10672479809299296,0.061657977948773174
T-L,AN,mc_learned_baseline,False,46,12,45408,3072,3072,12288,24576,2400,22704,90816,65536,0.63375,0.6216,0.6923864375255226,0.023972724770212173,0.0003440114805180857,public_state_tabular_independent_mc,0,0.4820737975987702,0.5920481999637559,True,accepted_empirical,0.1,1,9.496181122738768e-10,-0.07343236278973646,100,5.0,0.04918313330141912,empirical,0.022500000000000003,empirical,0.0071568707323145546,0.30745762254931464,0.11771688228832067,0.040083508733573026,0.0055444496593139905,0.07048643428837212,0.060125740574956926
