experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
T-L,AN,mc_learned_baseline,False,source_steps_total,64328.0,0.0,10,64328.0,64328.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_training,4352.0,0.0,10,4352.0,4352.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_critic,4352.0,0.0,10,4352.0,4352.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_direction_check,17408.0,0.0,10,17408.0,17408.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_return_check,34816.0,0.0,10,34816.0,34816.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_monitor,3400.0,0.0,10,3400.0,3400.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,budget,65536.0,0.0,10,65536.0,65536.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,unused_budget,1208.0,0.0,10,1208.0,1208.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,updates,17.0,0.0,10,17.0,17.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,accepted_updates,17.0,0.0,10,17.0,17.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,direction_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,0.7889909512201347,0.006963391862228229,10,0.7849575226426206,0.7926843305255384,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,best_source_empirical_monitor_return,0.83262,0.03353183561930366,10,0.8135932499999999,0.85368075,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,seconds,0.7604036900331266,0.03977807516462724,10,0.7387984520656755,0.7853823965167975,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_total,64328.0,0.0,10,64328.0,64328.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_training,4352.0,0.0,10,4352.0,4352.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_critic,4352.0,0.0,10,4352.0,4352.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_direction_check,17408.0,0.0,10,17408.0,17408.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_return_check,34816.0,0.0,10,34816.0,34816.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_steps_monitor,3400.0,0.0,10,3400.0,3400.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,budget,65536.0,0.0,10,65536.0,65536.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,unused_budget,1208.0,0.0,10,1208.0,1208.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,updates,17.0,0.0,10,17.0,17.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,accepted_updates,17.0,0.0,10,17.0,17.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,direction_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,final_source_return_diagnostic,0.7869087936085783,0.0052910306696136045,10,0.7839131259048451,0.7899173593916714,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,best_source_empirical_monitor_return,0.83259,0.030959667310874024,10,0.8160209999999999,0.8528422500000001,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,seconds,0.7437742500100285,0.038715199787495595,10,0.7220655307633569,0.7686017957297736,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False
T-L,SA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_steps_total,63480.0,0.0,10,63480.0,63480.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_steps_training,5888.0,0.0,10,5888.0,5888.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_steps_critic,5888.0,0.0,10,5888.0,5888.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_steps_return_check,47104.0,0.0,10,47104.0,47104.0,training_seed_or_data_batch,False
