experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,budget,65536.0,0.0,10,65536.0,65536.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,unused_budget,916.0,560.6313900911682,10,562.0,1238.8499999999997,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,updates,30.8,1.6193277068654823,10,29.9,31.8,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,4.221650324673344,0.09439407807586482,10,4.1643103727357245,4.276920302418672,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_report_only_steps,500.0,0.0,10,500.0,500.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,target_report_only_steps,3000.0,0.0,10,3000.0,3000.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_training,3942.4,207.27394647878174,10,3827.2,4070.4,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_critic,3942.4,207.27394647878174,10,3827.2,4070.4,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_direction_check,15769.6,829.095785915127,10,15308.8,16281.6,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_return_check,37785.6,1317.564352212909,10,36966.4,38502.4,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_monitor,3180.0,161.93277068654825,10,3090.0,3280.0,training_seed_or_data_batch,False,,,
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,2.110825162336672,0.04719703903793241,10,2.0821551863678622,2.138460151209336,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,6.332475487010017,0.1415911171137972,10,6.246465559103585,6.415380453628007,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.8115869970980569,0.014375022142269463,10,0.8028403742245436,0.8200162903776217,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,10.23018998272586,0.24006108878798454,10,10.084124710449945,10.370708902659374,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,1.970382126445363,0.06742854208059877,10,1.928933407244301,2.0097049985080475,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,64620.0,560.6313900911682,10,64297.149999999994,64974.0,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,5.911146379336089,0.20228562624179652,10,5.7868002217329035,6.029114995524144,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,6
P-L,SA,mc_learned_baseline,False,source_steps_total,64550.8,576.7558312569444,10,64203.6,64891.2,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,budget,65536.0,0.0,10,65536.0,65536.0,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,unused_budget,985.2,576.7558312569444,10,644.8,1332.4,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,updates,31.9,2.64365067451978,10,30.4,33.6,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,final_source_return_diagnostic,4.236378149173875,0.08007494600751054,10,4.1867565308780215,4.280377254331747,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,source_report_only_steps,500.0,0.0,10,500.0,500.0,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,target_report_only_steps,3000.0,0.0,10,3000.0,3000.0,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,source_steps_training,4083.2,338.38728633853185,10,3891.2,4300.8,training_seed_or_data_batch,False,,,
P-L,SA,mc_learned_baseline,False,source_steps_critic,4083.2,338.38728633853185,10,3891.2,4300.8,training_seed_or_data_batch,False,,,
