experiment,method,direction_method,label,seed,actor_class,fit_steps,sample_episodes,source_steps_total,eta,ideal_return_gain,actual_return_gain,learned_direction_derivative,projected_direction_derivative,projection_reference,realized_path_derivative,forward_kl_training,forward_kl_validation,forward_kl_exact,old_new_kl,direction_realization_residual,seconds,learned_q_0,learned_q_1,candidate_p_0,candidate_p_1,direction_status
P-A,AN,AN,mc_raw,40,table,1,2048,2548,0.1,0.02624840661190414,0.012670557793784454,0.25388684134834383,0.25388684134834383,exact_population_Fisher_projection_diagnostic,0.12095729515396489,0.00013499207184802917,0.00013530253391530909,0.0001345102718568917,9.440620933602145e-05,0.027334385272510933,0.0011343997903168201,0.0028363028342749024,0.3495068919309249,0.30633618983170036,0.7062619515195928,
P-A,DA,,mc_raw,40,table,1,2048,2548,,,0.012670892651722943,,,,0.012095965604563401,,,,9.442046392707341e-05,,,,,0.3063373751427393,0.7062619579117488,not_applicable
P-A,AN,AN,mc_raw,40,table,10,2048,2548,0.1,0.02624840661190414,0.027822408263394938,0.25388684134834383,0.25388684134834383,exact_population_Fisher_projection_diagnostic,0.26536059418966534,9.580705983562674e-06,9.478164282036388e-06,9.739838438355402e-06,0.00032828360327374277,0.0019444809259337207,0.0009102001786231995,0.0028363028342749024,0.3495068919309249,0.3033016227050996,0.7147736158703643,
P-A,DA,,mc_raw,40,table,10,2048,2548,,,0.17575960882439012,,,,0.12050504424045856,,,,0.009334121298977156,,,,,0.36671580468720716,0.7587679779895805,not_applicable
P-A,AN,AN,mc_raw,40,table,100,2048,2548,0.1,0.02624840661190414,0.02617229426011708,0.25388684134834383,0.25388684134834383,exact_population_Fisher_projection_diagnostic,0.25314900851420813,3.5096021816954115e-09,3.523656500221737e-09,3.487791560511516e-09,0.0003030710480331777,7.144168038947031e-07,0.005955700296908617,0.0028363028342749024,0.3495068919309249,0.3001445036800375,0.7144268693653439,
P-A,DA,,mc_raw,40,table,100,2048,2548,,,2.8709478981975636,,,,0.9049030561492681,,,,0.5540464163956104,,,,,0.8712643516449539,0.9541024344665147,not_applicable
P-A,AN,AN,mc_raw,40,table,1000,2048,2548,0.1,0.02624840661190414,0.02624840661190414,0.25388684134834383,0.25388684134834383,exact_population_Fisher_projection_diagnostic,0.2538868413483436,0.0,0.0,0.0,0.00030494372230922926,4.9583197622226844e-31,0.061805699951946735,0.0028363028342749024,0.3495068919309249,0.300119138232329,0.7144710877557197,
P-A,DA,,mc_raw,40,table,1000,2048,2548,,,4.003070306030303,,,,2.294086050972295,,,,2.1718173386889035,,,,,0.996969928051375,0.9983917914226913,not_applicable
P-A,AN,AN,mc_raw,40,shared_offset,1,2048,2548,0.1,0.02624840661190414,0.012670926588024545,0.25388684134834383,0.1700202924340823,exact_population_Fisher_projection_diagnostic,0.12095986295541442,0.00013500764124083574,0.0001353179326566598,0.0001345261060803446,9.442234855221323e-05,0.02733753299825349,0.0003104000352323055,0.0028363028342749024,0.3495068919309249,0.30633754276828823,0.7062619515572275,
P-A,DA,,mc_raw,40,shared_offset,1,2048,2548,,,0.012670940116280727,,,,0.012095998651341599,,,,9.442254137234374e-05,,,,,0.30633754928005397,0.706261957914581,not_applicable
P-A,AN,AN,mc_raw,40,shared_offset,10,2048,2548,0.1,0.02624840661190414,0.009770556263462682,0.25388684134834383,0.1700202924340823,exact_population_Fisher_projection_diagnostic,0.0942147722753849,0.00015642890165433918,0.00015715127349857393,0.0001553078669617642,5.729416953030898e-05,0.03165139598227126,0.001308599952608347,0.0028363028342749024,0.3495068919309249,0.3049298339299786,0.7048839726460479,
P-A,DA,,mc_raw,40,shared_offset,10,2048,2548,,,0.1752369999469524,,,,0.12041583344812909,,,,0.009272984381645564,,,,,0.3661782609020628,0.7587700686432018,not_applicable
P-A,AN,AN,mc_raw,40,shared_offset,100,2048,2548,0.1,0.02624840661190414,0.018054223778323164,0.25388684134834383,0.1700202924340823,exact_population_Fisher_projection_diagnostic,0.16929615352075147,0.00011966618621059489,0.00011922915787874566,0.0001203444019045598,0.00018490103664332082,0.024229065628532317,0.009243899956345558,0.0028363028342749024,0.3495068919309249,0.3088908639720257,0.7087428047571124,
P-A,DA,,mc_raw,40,shared_offset,100,2048,2548,,,2.492106700288143,,,,0.883496424830499,,,,0.4331454724570137,,,,,0.7931327801926853,0.9542838366840158,not_applicable
P-A,AN,AN,mc_raw,40,shared_offset,1000,2048,2548,0.1,0.02624840661190414,0.018109405828717118,0.25388684134834383,0.1700202924340823,exact_population_Fisher_projection_diagnostic,0.1697833244624887,0.00011966465917475253,0.00011922007862940232,0.00012035459500067976,0.00018596607903102955,0.024228460801334332,0.05322020035237074,0.0028363028342749024,0.3495068919309249,0.30891665820262015,0.7087677458353416,
P-A,DA,,mc_raw,40,shared_offset,1000,2048,2548,,,3.969802092311249,,,,2.25683035186246,,,,1.8835612522022895,,,,,0.9914225115186857,0.9984134337452484,not_applicable
