round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,4040,3940,True,3,9.265086260850458e-10,True,P-L,AN,mc_learned_baseline,44,4040
2,6956,2916,True,2,8.204830702611234e-10,True,P-L,AN,mc_learned_baseline,44,6956
3,8848,1892,True,1,4.309025363378981e-10,True,P-L,AN,mc_learned_baseline,44,8848
4,11764,2916,True,2,3.769051360343928e-09,True,P-L,AN,mc_learned_baseline,44,11764
5,13656,1892,True,1,7.850862229195427e-09,True,P-L,AN,mc_learned_baseline,44,13656
6,15548,1892,True,1,1.3752903848696232e-09,True,P-L,AN,mc_learned_baseline,44,15548
7,19488,3940,True,3,1.1950563021773808e-09,True,P-L,AN,mc_learned_baseline,44,19488
8,21380,1892,True,1,2.5863842228394204e-09,True,P-L,AN,mc_learned_baseline,44,21380
9,23272,1892,True,1,8.386411884351249e-10,True,P-L,AN,mc_learned_baseline,44,23272
10,25164,1892,True,1,1.086650418820613e-08,True,P-L,AN,mc_learned_baseline,44,25164
11,27056,1892,True,1,6.743007543471144e-09,True,P-L,AN,mc_learned_baseline,44,27056
12,29972,2916,True,2,4.294688911275314e-09,True,P-L,AN,mc_learned_baseline,44,29972
13,32888,2916,True,2,1.4253339268677396e-09,True,P-L,AN,mc_learned_baseline,44,32888
14,34780,1892,True,1,2.0572086703583234e-08,True,P-L,AN,mc_learned_baseline,44,34780
15,38720,3940,True,3,1.803899119324319e-10,False,P-L,AN,mc_learned_baseline,44,38720
16,40612,1892,True,1,1.4383699466146714e-09,True,P-L,AN,mc_learned_baseline,44,40612
17,42504,1892,True,1,2.9542305029039104e-09,True,P-L,AN,mc_learned_baseline,44,42504
18,44396,1892,True,1,2.978856083788099e-09,True,P-L,AN,mc_learned_baseline,44,44396
19,46288,1892,True,1,6.263058408447704e-08,True,P-L,AN,mc_learned_baseline,44,46288
20,48180,1892,True,1,2.3870514671433832e-08,True,P-L,AN,mc_learned_baseline,44,48180
21,50072,1892,True,1,2.654120352991495e-08,True,P-L,AN,mc_learned_baseline,44,50072
22,51964,1892,True,1,2.989066896047191e-08,True,P-L,AN,mc_learned_baseline,44,51964
23,53856,1892,True,1,2.6142634911058666e-08,True,P-L,AN,mc_learned_baseline,44,53856
24,55748,1892,True,1,3.178440406265737e-09,True,P-L,AN,mc_learned_baseline,44,55748
25,57640,1892,True,1,1.750289025019149e-08,True,P-L,AN,mc_learned_baseline,44,57640
26,59532,1892,True,1,6.568155370990627e-08,True,P-L,AN,mc_learned_baseline,44,59532
27,61424,1892,True,1,1.9479190272380054e-08,True,P-L,AN,mc_learned_baseline,44,61424
28,63316,1892,True,1,6.703141818980745e-10,True,P-L,AN,mc_learned_baseline,44,63316
29,65208,1892,True,1,1.424201312492716e-08,True,P-L,AN,mc_learned_baseline,44,65208
30,68124,2916,True,2,1.830933621911602e-09,True,P-L,AN,mc_learned_baseline,44,68124
31,70016,1892,True,1,5.341133119169879e-09,True,P-L,AN,mc_learned_baseline,44,70016
32,71908,1892,True,1,3.537463504659339e-09,True,P-L,AN,mc_learned_baseline,44,71908
33,73800,1892,True,1,1.7372768347548062e-08,True,P-L,AN,mc_learned_baseline,44,73800
34,77740,3940,True,3,6.494652830956684e-12,True,P-L,AN,mc_learned_baseline,44,77740
35,79632,1892,True,1,1.180899575685975e-08,True,P-L,AN,mc_learned_baseline,44,79632
36,81524,1892,True,1,3.290855527104539e-12,True,P-L,AN,mc_learned_baseline,44,81524
37,83416,1892,True,1,1.7504196504300493e-10,True,P-L,AN,mc_learned_baseline,44,83416
38,84284,868,False,0,,False,P-L,AN,mc_learned_baseline,44,84284
39,88224,3940,True,3,1.9176057678757033e-12,False,P-L,AN,mc_learned_baseline,44,88224
40,89092,868,False,0,,False,P-L,AN,mc_learned_baseline,44,89092
41,89960,868,False,0,,False,P-L,AN,mc_learned_baseline,44,89960
42,90828,868,False,0,,False,P-L,AN,mc_learned_baseline,44,90828
43,92720,1892,True,1,3.746456123679033e-09,True,P-L,AN,mc_learned_baseline,44,92720
44,93588,868,False,0,,False,P-L,AN,mc_learned_baseline,44,93588
45,95480,1892,True,1,4.409372197037563e-12,True,P-L,AN,mc_learned_baseline,44,95480
46,96348,868,False,0,,False,P-L,AN,mc_learned_baseline,44,96348
47,97216,868,False,0,,False,P-L,AN,mc_learned_baseline,44,97216
48,100132,2916,True,2,3.792396245573488e-10,True,P-L,AN,mc_learned_baseline,44,100132
49,101000,868,False,0,,False,P-L,AN,mc_learned_baseline,44,101000
50,101868,868,False,0,,False,P-L,AN,mc_learned_baseline,44,101868
51,102736,868,False,0,,False,P-L,AN,mc_learned_baseline,44,102736
52,104628,1892,True,1,4.0011089790066855e-12,True,P-L,AN,mc_learned_baseline,44,104628
53,105496,868,False,0,,False,P-L,AN,mc_learned_baseline,44,105496
54,107388,1892,True,1,4.7310407579182196e-12,True,P-L,AN,mc_learned_baseline,44,107388
55,108256,868,False,0,,False,P-L,AN,mc_learned_baseline,44,108256
56,110148,1892,True,1,4.680986624788921e-12,True,P-L,AN,mc_learned_baseline,44,110148
57,111016,868,False,0,,False,P-L,AN,mc_learned_baseline,44,111016
58,111884,868,False,0,,False,P-L,AN,mc_learned_baseline,44,111884
59,112752,868,False,0,,False,P-L,AN,mc_learned_baseline,44,112752
60,113620,868,False,0,,False,P-L,AN,mc_learned_baseline,44,113620
61,114488,868,False,0,,False,P-L,AN,mc_learned_baseline,44,114488
62,115356,868,False,0,,False,P-L,AN,mc_learned_baseline,44,115356
63,116224,868,False,0,,False,P-L,AN,mc_learned_baseline,44,116224
64,119140,2916,True,2,5.576952298280547e-12,True,P-L,AN,mc_learned_baseline,44,119140
65,120008,868,False,0,,False,P-L,AN,mc_learned_baseline,44,120008
66,120876,868,False,0,,False,P-L,AN,mc_learned_baseline,44,120876
67,124816,3940,True,3,4.380254964743275e-12,True,P-L,AN,mc_learned_baseline,44,124816
68,125684,868,False,0,,False,P-L,AN,mc_learned_baseline,44,125684
69,126552,868,False,0,,False,P-L,AN,mc_learned_baseline,44,126552
70,128444,1892,True,1,6.704331643635456e-11,True,P-L,AN,mc_learned_baseline,44,128444
71,129312,868,False,0,,False,P-L,AN,mc_learned_baseline,44,129312
72,131204,1892,True,1,1.240096694765885e-12,True,P-L,AN,mc_learned_baseline,44,131204
73,134120,2916,True,2,1.3108097236295794e-13,True,P-L,AN,mc_learned_baseline,44,134120
74,134988,868,False,0,,False,P-L,AN,mc_learned_baseline,44,134988
75,135856,868,False,0,,False,P-L,AN,mc_learned_baseline,44,135856
76,136724,868,False,0,,False,P-L,AN,mc_learned_baseline,44,136724
77,137592,868,False,0,,False,P-L,AN,mc_learned_baseline,44,137592
78,141532,3940,True,3,3.2678623133366095e-12,True,P-L,AN,mc_learned_baseline,44,141532
79,145472,3940,True,3,3.954138468359635e-13,False,P-L,AN,mc_learned_baseline,44,145472
80,146340,868,False,0,,False,P-L,AN,mc_learned_baseline,44,146340
81,147208,868,False,0,,False,P-L,AN,mc_learned_baseline,44,147208
82,149100,1892,True,1,5.626271524771378e-11,True,P-L,AN,mc_learned_baseline,44,149100
83,150992,1892,True,1,2.2023499459924107e-13,True,P-L,AN,mc_learned_baseline,44,150992
84,151860,868,False,0,,False,P-L,AN,mc_learned_baseline,44,151860
85,153752,1892,True,1,3.941223542077786e-13,True,P-L,AN,mc_learned_baseline,44,153752
86,154620,868,False,0,,False,P-L,AN,mc_learned_baseline,44,154620
87,156512,1892,True,1,4.689676367276607e-11,True,P-L,AN,mc_learned_baseline,44,156512
88,157380,868,False,0,,False,P-L,AN,mc_learned_baseline,44,157380
89,158248,868,False,0,,False,P-L,AN,mc_learned_baseline,44,158248
90,159116,868,False,0,,False,P-L,AN,mc_learned_baseline,44,159116
91,161008,1892,True,1,1.3380035811989155e-12,True,P-L,AN,mc_learned_baseline,44,161008
92,161876,868,False,0,,False,P-L,AN,mc_learned_baseline,44,161876
93,165816,3940,True,3,3.4980221552661756e-13,True,P-L,AN,mc_learned_baseline,44,165816
94,166684,868,False,0,,False,P-L,AN,mc_learned_baseline,44,166684
95,167552,868,False,0,,False,P-L,AN,mc_learned_baseline,44,167552
96,168420,868,False,0,,False,P-L,AN,mc_learned_baseline,44,168420
