experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,44,1,3784,256,256,1024,2048,200,1892,7568,262144,0.31828124999999996,0.30029999999999996,0.34864559275886364,0.029631592758863623,0.0003444646443627778,public_state_tabular_independent_mc,0,0.6174054378855461,0.04692390002310276,True,accepted_empirical,0.1,1,6.655026715292344e-10,-0.07039108408560589,100,5.0,0.08979409838687871,empirical,0.0366796875,empirical,0.009099918001383465,0.4068527911183563,0.17109273012518195,0.008637215000830034,0.00143999100713412,0.06973171540181289,0.08730756973181328
T-L,AN,mc_learned_baseline,False,44,2,7568,512,512,2048,4096,400,3784,15136,262144,0.359296875,0.3336,0.3814575542345071,0.03281196147564347,0.0004204606582122667,public_state_tabular_independent_mc,0,0.6073500508375218,0.09878650004975498,True,accepted_empirical,0.1,1,2.4985238079962534e-09,-0.08533584742366049,100,5.0,0.08168816379030339,empirical,0.029296874999999997,empirical,0.01006779453363525,0.4187855314302764,0.18198221825781663,-0.0158526574564124,0.0002821598637748262,0.08520313409281365,0.08911239664555033
T-L,AN,mc_learned_baseline,False,44,3,11352,768,768,3072,6144,600,5676,22704,262144,0.40453125,0.4478999999999999,0.41365579391120194,0.03219823967669483,0.00042463915644911954,public_state_tabular_independent_mc,0,0.595880765242282,0.16296029998920858,True,accepted_empirical,0.1,1,1.4158908934578385e-09,-0.08640871911483164,100,5.0,0.08955523195051879,empirical,0.024550781249999997,empirical,0.008674034382044478,0.41683656232087113,0.15996809447117571,0.029638736994677783,0.004505617339732844,0.08603501481086548,0.08507837119940279
T-L,AN,mc_learned_baseline,False,44,4,15136,1024,1024,4096,8192,800,7568,30272,262144,0.41718750000000004,0.3908999999999999,0.4472852040328986,0.03362941012169668,0.00044690093726578004,public_state_tabular_independent_mc,0,0.5844319507697187,0.22461479995399714,True,accepted_empirical,0.1,1,3.8612147845784405e-09,-0.08986507713462621,100,5.0,0.09076767568688329,empirical,0.03650390625,empirical,0.008912439375298892,0.40148429289955123,0.1682361710912213,0.008804236995643366,0.0005843665611688307,0.09034020998052207,0.08876189237826278
T-L,AN,mc_learned_baseline,False,44,5,18920,1280,1280,5120,10240,1000,9460,37840,262144,0.39046875,0.6497999999999999,0.4811190711511148,0.03383386711821618,0.00045761626608364675,public_state_tabular_independent_mc,0,0.5721979177336448,0.28114780003670603,True,accepted_empirical,0.1,1,3.0429138357479644e-09,-0.09425013998338845,100,5.0,0.08241858885067072,empirical,0.0369140625,empirical,0.009395306656087907,0.40831461403566083,0.17284844775602223,0.004772534984609611,0.00034102629131269665,0.09381657753215782,0.08814600558106912
T-L,AN,mc_learned_baseline,False,44,6,22704,1536,1536,6144,12288,1200,11352,45408,262144,0.563671875,0.4593,0.5093774705014769,0.028258399350362062,0.0003257737748123241,public_state_tabular_independent_mc,0,0.5617114124261744,0.32955050002783537,True,accepted_empirical,0.1,1,4.3853531664982225e-09,-0.06590266146574594,100,5.0,0.08414361097597353,empirical,0.026484375,empirical,0.007997855449574494,0.3532548231336805,0.14341309119164872,0.050204136433761315,0.0017191470861931844,0.06672932855728497,0.08518197289590396
T-L,AN,mc_learned_baseline,False,44,7,26488,1792,1792,7168,14336,1400,13244,52976,262144,0.469453125,0.4856999999999999,0.5425684096002695,0.03319093909879267,0.0004625219760923953,public_state_tabular_independent_mc,0,0.5480892272469149,0.3730339000467211,True,accepted_empirical,0.1,1,5.8823512256370945e-09,-0.09485023481849736,100,5.0,0.06152196628136978,empirical,0.030820312500000002,empirical,0.009154378847254752,0.3846074345459278,0.16419336922259126,0.004579982689031925,0.0007876590658767856,0.09475964339003659,0.08437086245556255
T-L,AN,mc_learned_baseline,False,44,8,30272,2048,2048,8192,16384,1600,15136,60544,262144,0.6534375000000001,0.6101999999999999,0.5694959566677551,0.02692754706748557,0.00032371508789533606,public_state_tabular_independent_mc,0,0.5363173853489713,0.41633749997708946,True,accepted_empirical,0.1,1,2.0537788912793975e-09,-0.06387902802210921,100,5.0,0.08142237861840312,empirical,0.03650390625,empirical,0.010149333316193344,0.3131622975829747,0.12104421492869313,0.03319992717852982,0.003689886312307696,0.06569120268012088,0.07885661616237574
T-L,AN,mc_learned_baseline,False,44,9,34056,2304,2304,9216,18432,1800,17028,68112,262144,0.607265625,0.6812999999999999,0.5975595468600121,0.028063590192257015,0.0003547037897426988,public_state_tabular_independent_mc,0,0.5239574364065692,0.45871170004829764,True,accepted_empirical,0.1,1,5.549562764983239e-09,-0.07339521936467419,100,5.0,0.07633325267176164,empirical,0.029355468750000002,empirical,0.008052677353381724,0.324175742461716,0.14127287861136473,-0.0013869673069264454,0.0008814214253899196,0.07324524800201343,0.07924870965780173
T-L,AN,mc_learned_baseline,False,44,10,37840,2560,2560,10240,20480,2000,18920,75680,262144,0.5526562500000001,0.5969999999999999,0.6258086722054923,0.028249125345480186,0.0003750770970272697,public_state_tabular_independent_mc,0,0.5114383499823075,0.5101693000178784,True,accepted_empirical,0.1,1,5.985636431838167e-09,-0.07678900764362012,100,5.0,0.07048158997102852,empirical,0.02490234375,empirical,0.007586240533170372,0.35803901059902765,0.14667688157843703,0.016001686924582703,0.00046614908420483284,0.07704060299633983,0.07647938573438878
T-L,AN,mc_learned_baseline,False,44,11,41624,2816,2816,11264,22528,2200,20812,83248,262144,0.6461718750000001,0.6774,0.6526302934301027,0.026821621224610404,0.00035608003056323927,public_state_tabular_independent_mc,0,0.4982878724667006,0.565375900012441,True,accepted_empirical,0.1,1,4.64579787732763e-09,-0.07337126812832584,100,5.0,0.05829996355552432,empirical,0.025898437499999996,empirical,0.007569947267594772,0.29380169921213717,0.1223037401319478,0.010735075768212754,0.00047387942178264946,0.07327741446262026,0.07277589902623605
T-L,AN,mc_learned_baseline,False,44,12,45408,3072,3072,12288,24576,2400,22704,90816,262144,0.594609375,0.7121999999999999,0.6828583539670715,0.030228060536968804,0.00048239271286423357,public_state_tabular_independent_mc,0,0.48268588168851356,0.616431999951601,True,accepted_empirical,0.1,1,8.277080254169707e-09,-0.09931254790379729,100,5.0,0.06007080424047402,empirical,0.03410156250000001,empirical,0.00868559139701874,0.327595466942021,0.14491422330004494,0.0012543476645758833,0.0030579988312003066,0.09956184906941748,0.06634851718907839
T-L,AN,mc_learned_baseline,False,44,13,49192,3328,3328,13312,26624,2600,24596,98384,262144,0.585703125,0.7866,0.7110224668681562,0.02816411290108467,0.00045277540230313816,public_state_tabular_independent_mc,0,0.4671512997815812,0.6674913000315428,True,accepted_empirical,0.1,1,5.344806292846319e-09,-0.09441266105542077,100,5.0,0.06264889172051592,empirical,0.015058593749999998,empirical,0.008301558596472722,0.32827831488715276,0.13636158020199463,0.01731343938760077,0.0031636708221821803,0.09335213188753982,0.061440412809326606
T-L,AN,mc_learned_baseline,False,44,14,52976,3584,3584,14336,28672,2800,26488,105952,262144,0.6653906250000001,0.6933,0.734738638994525,0.023716172126368784,0.0003557687772291306,public_state_tabular_independent_mc,0,0.45439857680061435,0.7103353999555111,True,accepted_empirical,0.1,1,2.7443353381523105e-09,-0.07347682175926819,100,5.0,0.04419552831718218,empirical,0.0253125,empirical,0.007726706024924,0.28609413259266775,0.1210369878983173,0.004337111170711783,0.0025145939988887255,0.07365647108791565,0.05720823538071698
T-L,AN,mc_learned_baseline,False,44,15,56760,3840,3840,15360,30720,3000,28380,113520,262144,0.6459375,0.7503,0.7596544081861519,0.02491576919162697,0.0004217055965060227,public_state_tabular_independent_mc,0,0.4400088002163235,0.754148600040935,True,accepted_empirical,0.1,1,4.711826803808046e-09,-0.08873367697639736,100,5.0,0.044615311880803386,empirical,0.016406250000000004,empirical,0.007059325065022477,0.3082827059965974,0.1264016154813817,0.012930098565733128,0.0042687725448073465,0.08783865563315385,0.05073712214236353
T-L,AN,mc_learned_baseline,False,44,16,60544,4096,4096,16384,32768,3200,30272,121088,262144,0.7708593750000001,0.8003999999999999,0.7780500962302263,0.01839568804407432,0.00025079270435268854,public_state_tabular_independent_mc,0,0.42862772622419393,0.81232829997316,True,accepted_empirical,0.1,1,7.404711247104136e-10,-0.05111881908035078,100,5.0,0.05904795414193789,empirical,0.00873046875,empirical,0.0065399577905340695,0.21696597251225516,0.09456978705178248,-3.233957361081785e-05,0.0002520237736426278,0.0518118299323507,0.04953433292522988
T-L,AN,mc_learned_baseline,False,44,17,64328,4352,4352,17408,34816,3400,32164,128656,262144,0.7725000000000002,0.7722,0.7939850120928954,0.015934915862669152,0.00020447448356771165,public_state_tabular_independent_mc,0,0.41808071048539397,0.8654615000123158,True,accepted_empirical,0.1,1,3.167513111670973e-09,-0.042387190219422125,100,5.0,0.04672449245402342,empirical,0.01564453125,empirical,0.0056548144770625,0.18447970784608575,0.07492558484945747,0.0035481656844513765,0.00035696282648777395,0.042129353844555156,0.045396325870460275
T-L,AN,mc_learned_baseline,False,44,18,68112,4608,4608,18432,36864,3600,34056,136224,262144,0.8053125000000001,0.8427,0.8107384733924244,0.016753461299529038,0.00025993676557000247,public_state_tabular_independent_mc,0,0.4060735742344541,0.9655228999909014,True,accepted_empirical,0.1,1,3.034662564163183e-09,-0.055588230029344946,100,5.0,0.04311256715837368,empirical,0.013769531250000001,empirical,0.005463413773635283,0.18709301828918953,0.0862041221918603,-0.00421885153998347,0.0034231221092589346,0.054130431363787784,0.038758964766552426
T-L,AN,mc_learned_baseline,False,44,19,71896,4864,4864,19456,38912,3800,35948,143792,262144,0.8069531250000002,0.8364,0.8256312487256537,0.014892775333229302,0.0002226377057900605,public_state_tabular_independent_mc,0,0.39627101406826315,1.0103179999860004,True,accepted_empirical,0.1,1,3.4835860520433855e-09,-0.04809119480965131,100,5.0,0.03950077903528802,empirical,0.013945312499999998,empirical,0.005913401395569389,0.1514724889051695,0.06099564579600999,0.0072160765863835685,0.001764465195273995,0.04626816506731899,0.03660674785262768
T-L,AN,mc_learned_baseline,False,44,20,75680,5120,5120,20480,40960,4000,37840,151360,262144,0.8289843750000001,0.8246999999999999,0.836942779809256,0.011311531083602278,0.00014401976159791213,public_state_tabular_independent_mc,0,0.38822215813344446,1.0590910000028089,True,accepted_empirical,0.1,1,3.478009238553449e-10,-0.031015571275444364,100,5.0,0.03200762516861161,empirical,0.01142578125,empirical,0.005410772728296232,0.12929961283527727,0.04952041125218034,0.020959951743063976,0.0019290715703862338,0.029722905070422682,0.0326466577463578
T-L,AN,mc_learned_baseline,False,44,21,79464,5376,5376,21504,43008,4200,39732,158928,262144,0.7842187500000001,0.8709,0.852483947905334,0.015541168096077973,0.00029569045902633206,public_state_tabular_independent_mc,0,0.3768395861146687,1.1040291000390425,True,accepted_empirical,0.1,1,9.806738647509022e-10,-0.06276364111911825,100,5.0,0.017719813330149308,empirical,0.01775390625,empirical,0.006086070884156614,0.18958602593946472,0.0758204243550119,0.017765011997020852,0.005939311793660445,0.062474195202905765,0.025749503737492206
