experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
T-L,AN,mc_learned_baseline,False,source_steps_total,259727.2,913.5616259697232,10,259255.2,260355.2,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_training,19123.2,342.3983385214102,10,18918.4,19328.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_critic,19123.2,342.3983385214102,10,18918.4,19328.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_direction_check,76492.8,1369.5933540856408,10,75673.6,77312.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_return_check,130048.0,2773.0051087824077,10,128409.6,131891.2,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_steps_monitor,14940.0,267.49870196985177,10,14780.0,15100.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,unused_budget,2416.8,913.5616259697231,10,1788.8,2888.8,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,updates,74.7,1.3374935098492586,10,73.9,75.5,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,accepted_updates,60.6,1.2649110640673518,10,59.9,61.4,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,direction_rejections,14.0,2.1081851067789197,10,12.8,15.2,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,0.9619839012717419,0.005408519580770709,10,0.9586267779852459,0.9650212814954399,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,best_source_empirical_monitor_return,0.9876000000000001,0.01084435336938078,10,0.9816,0.9939075000000002,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,seconds,3.3803419099887835,0.06382150148250117,10,3.343431858988188,3.4219402512331722,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False
T-L,AN,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
