experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L,AN,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,unused_budget,28.0,0.0,10,28.0,28.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,updates,736.0,0.0,10,736.0,736.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,4.319943810986449,2.384799183697247e-05,10,4.3199292253763755,4.319956346371474,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_report_only_steps,500.0,0.0,10,500.0,500.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,target_report_only_steps,3000.0,0.0,10,3000.0,3000.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_training,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_critic,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_monitor,73700.0,0.0,10,73700.0,73700.0,training_seed_or_data_batch,False,,,
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,2.1599719054932245,1.1923995918486235e-05,10,2.1599646126881877,2.159978173185737,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,6.479915716479674,3.577198775560931e-05,10,6.479893838064564,6.479934519557212,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.8266567324421036,4.03398094652989e-06,10,0.826654278994272,0.8266589055653814,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,fixed-edge,4,6
