experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,44,1,712,256,256,0,0,200,356,1424,262144,0.31828124999999996,0.3069,0.34864559275886364,0.029631592758863623,0.0003444646443627778,public_state_tabular_independent_mc,0,0.6174054378855461,0.03455270000267774,True,accepted_return_check_disabled,0.1,1,6.655026715292344e-10,-0.07039108408560589,100,5.0,0.4068527911183563,0.17109273012518195,0.008637215000830034,0.00143999100713412,0.06973171540181289,0.08730756973181328
T-L,AN,mc_learned_baseline,False,44,2,1424,512,512,0,0,400,712,2848,262144,0.255703125,0.4377,0.38103819337704437,0.03239260061818072,0.0004108156576438953,public_state_tabular_independent_mc,0,0.607371692740478,0.07325290003791451,True,accepted_return_check_disabled,0.1,1,2.0322835530481864e-09,-0.08255236114375455,100,5.0,0.42477522575472615,0.1689109547288487,-0.0017750386847861233,0.0005735075005389814,0.0829613517025441,0.08882104900878618
T-L,AN,mc_learned_baseline,False,44,3,2136,768,768,0,0,600,1068,4272,262144,0.425390625,0.3501000000000001,0.41428707390642006,0.03324888052937569,0.00043393527896411227,public_state_tabular_independent_mc,0,0.5965851036220646,0.116225800011307,True,accepted_return_check_disabled,0.1,1,2.9162834740928453e-10,-0.08871679860931403,100,5.0,0.40998622778175964,0.16780063080398458,0.010341846187912007,0.000589073873052155,0.08814210230257105,0.08899119016451368
T-L,AN,mc_learned_baseline,False,44,4,2848,1024,1024,0,0,800,1424,5696,262144,0.5034375,0.44609999999999994,0.4470780020963916,0.032790928189971535,0.00042382926301556606,public_state_tabular_independent_mc,0,0.5852093918720519,0.21956780005712062,True,accepted_return_check_disabled,0.1,1,6.78621144107759e-09,-0.0858113538128884,100,5.0,0.38285259795396753,0.1626535765406734,0.0011674892558244387,0.0003109216957542217,0.08606260571388488,0.08897449894873183
T-L,AN,mc_learned_baseline,False,44,5,3560,1280,1280,0,0,1000,1780,7120,262144,0.45843749999999994,0.4961999999999999,0.47920087536672734,0.03212287327033575,0.0004184432513471683,public_state_tabular_independent_mc,0,0.5734519711387447,0.26235440000891685,True,accepted_return_check_disabled,0.1,1,5.798322285186222e-09,-0.08416706543617934,100,5.0,0.39674436466662044,0.15502276037320373,0.042765615764592924,0.0015681726780722507,0.08491657388860971,0.08682101256840072
T-L,AN,mc_learned_baseline,False,44,6,4272,1536,1536,0,0,1200,2136,8544,262144,0.525,0.49949999999999994,0.5089773321801806,0.029776456813453256,0.0003654025965633497,public_state_tabular_independent_mc,0,0.5616103044991518,0.2975746999727562,True,accepted_return_check_disabled,0.1,1,2.7870861509340442e-09,-0.07522355337632713,100,5.0,0.36495972325819204,0.1475331235401437,0.020654222167147185,0.0018191273954355734,0.0746289233314677,0.08523870585972701
T-L,AN,mc_learned_baseline,False,44,7,4984,1792,1792,0,0,1400,2492,9968,262144,0.5625,0.627,0.5397113174766734,0.03073398529649285,0.0003979065293340345,public_state_tabular_independent_mc,0,0.5495593619015087,0.3327019000425935,True,accepted_return_check_disabled,0.1,1,1.401357951280875e-09,-0.07622146676428462,100,5.0,0.36998050202289134,0.1455587169237146,0.01464713133186124,0.0011323733662557019,0.08104306483625656,0.08417684171995615
T-L,AN,mc_learned_baseline,False,44,8,5696,2048,2048,0,0,1600,2848,11392,262144,0.5067187500000001,0.5966999999999999,0.5725343662054367,0.03282304872876329,0.00046544720438085037,public_state_tabular_independent_mc,0,0.5358228910712677,0.37226480001118034,True,accepted_return_check_disabled,0.1,1,2.5345045732254466e-09,-0.09753866049900402,100,5.0,0.3694404075356707,0.15522559242989273,0.007221704311690003,0.0007479211477849399,0.09557213834923009,0.08219899820623267
T-L,AN,mc_learned_baseline,False,44,9,6408,2304,2304,0,0,1800,3204,12816,262144,0.5564062500000001,0.6305999999999999,0.6020641839701683,0.029529817764731514,0.0003944859987836241,public_state_tabular_independent_mc,0,0.5223434382564222,0.4081632000161335,True,accepted_return_check_disabled,0.1,1,3.980027155097796e-09,-0.07959674798788743,100,5.0,0.35464278171452435,0.14839197517634012,0.014248264612839345,0.0007189910770988125,0.08025252936975136,0.07908686351034086
T-L,AN,mc_learned_baseline,False,44,10,7120,2560,2560,0,0,2000,3560,14240,262144,0.487265625,0.6294,0.6370135430146653,0.03494935904449703,0.0005794445331414164,public_state_tabular_independent_mc,0,0.5061812866507474,0.4436110999668017,True,accepted_return_check_disabled,0.1,1,5.386056323457519e-09,-0.11842533931141251,100,5.0,0.385586613243986,0.16508626474219026,0.008067696026030413,0.004676421421355437,0.11900228293140165,0.07182829370707718
