round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,1480,1380,,1,3.773750822022563e-09,True,P-L,AN,mc_learned_baseline,44,1480
2,2860,1380,,1,4.874028627738068e-10,True,P-L,AN,mc_learned_baseline,44,2860
3,5264,2404,,2,1.1876298774304133e-09,True,P-L,AN,mc_learned_baseline,44,5264
4,6644,1380,,1,3.753483719538275e-09,True,P-L,AN,mc_learned_baseline,44,6644
5,8024,1380,,1,1.996016395497595e-08,True,P-L,AN,mc_learned_baseline,44,8024
6,9404,1380,,1,6.096589786458282e-09,True,P-L,AN,mc_learned_baseline,44,9404
7,10784,1380,,1,2.8478539623352823e-08,True,P-L,AN,mc_learned_baseline,44,10784
8,12164,1380,,1,9.017042267941854e-09,True,P-L,AN,mc_learned_baseline,44,12164
9,13544,1380,,1,1.8901897493227963e-08,True,P-L,AN,mc_learned_baseline,44,13544
10,14924,1380,,1,3.979389574644504e-08,True,P-L,AN,mc_learned_baseline,44,14924
11,16304,1380,,1,4.087827396975427e-08,True,P-L,AN,mc_learned_baseline,44,16304
12,17684,1380,,1,3.214448597115672e-08,True,P-L,AN,mc_learned_baseline,44,17684
13,20088,2404,,2,4.299256809642524e-09,True,P-L,AN,mc_learned_baseline,44,20088
14,21468,1380,,1,5.009656761984706e-08,True,P-L,AN,mc_learned_baseline,44,21468
15,22848,1380,,1,2.817909994661601e-08,True,P-L,AN,mc_learned_baseline,44,22848
16,24228,1380,,1,9.666978402268484e-08,True,P-L,AN,mc_learned_baseline,44,24228
17,25608,1380,,1,1.2511603701753058e-08,True,P-L,AN,mc_learned_baseline,44,25608
18,26988,1380,,1,4.567546236583366e-08,True,P-L,AN,mc_learned_baseline,44,26988
19,28368,1380,,1,2.673786355219193e-08,True,P-L,AN,mc_learned_baseline,44,28368
20,29748,1380,,1,2.8957255619467396e-08,True,P-L,AN,mc_learned_baseline,44,29748
21,31128,1380,,1,6.899846217474058e-09,True,P-L,AN,mc_learned_baseline,44,31128
22,32508,1380,,1,3.324487609775776e-08,True,P-L,AN,mc_learned_baseline,44,32508
23,33888,1380,,1,3.6535220047797315e-09,True,P-L,AN,mc_learned_baseline,44,33888
24,35268,1380,,1,2.8785069729011368e-08,True,P-L,AN,mc_learned_baseline,44,35268
25,37672,2404,,2,5.179238516137485e-10,True,P-L,AN,mc_learned_baseline,44,37672
26,41100,3428,,3,5.379413896187087e-11,True,P-L,AN,mc_learned_baseline,44,41100
27,42480,1380,,1,1.5722867499730376e-08,True,P-L,AN,mc_learned_baseline,44,42480
28,43860,1380,,1,2.758115507467536e-09,True,P-L,AN,mc_learned_baseline,44,43860
29,45240,1380,,1,4.6323096670321546e-10,True,P-L,AN,mc_learned_baseline,44,45240
30,46620,1380,,1,1.732967405612206e-09,True,P-L,AN,mc_learned_baseline,44,46620
31,48000,1380,,1,6.981604454598222e-09,True,P-L,AN,mc_learned_baseline,44,48000
32,49380,1380,,1,4.2517045823154107e-10,True,P-L,AN,mc_learned_baseline,44,49380
33,51784,2404,,2,1.4583275646883575e-10,True,P-L,AN,mc_learned_baseline,44,51784
34,53164,1380,,1,1.611822401363322e-10,True,P-L,AN,mc_learned_baseline,44,53164
35,56592,3428,,3,3.049892876676429e-13,False,P-L,AN,mc_learned_baseline,44,56592
36,57972,1380,,1,1.9723155686301702e-13,True,P-L,AN,mc_learned_baseline,44,57972
37,59352,1380,,1,6.444653293726533e-13,True,P-L,AN,mc_learned_baseline,44,59352
38,61756,2404,,2,6.643467019663337e-13,True,P-L,AN,mc_learned_baseline,44,61756
39,65184,3428,,3,2.2221592356982967e-13,False,P-L,AN,mc_learned_baseline,44,65184
40,66564,1380,,1,1.3773773202524017e-12,True,P-L,AN,mc_learned_baseline,44,66564
41,67944,1380,,1,1.5420166311964152e-13,True,P-L,AN,mc_learned_baseline,44,67944
42,70348,2404,,2,7.281732672386128e-13,True,P-L,AN,mc_learned_baseline,44,70348
43,73776,3428,,3,1.023002844988733e-12,False,P-L,AN,mc_learned_baseline,44,73776
44,75156,1380,,1,1.970300946709225e-13,True,P-L,AN,mc_learned_baseline,44,75156
45,78584,3428,,3,2.8927964100624852e-12,False,P-L,AN,mc_learned_baseline,44,78584
46,82012,3428,,3,1.5259141557362345e-12,False,P-L,AN,mc_learned_baseline,44,82012
47,83392,1380,,1,1.9356174289555013e-13,True,P-L,AN,mc_learned_baseline,44,83392
48,86820,3428,,3,1.0039222101028016e-12,False,P-L,AN,mc_learned_baseline,44,86820
49,88200,1380,,1,9.3363837934721e-13,True,P-L,AN,mc_learned_baseline,44,88200
50,89580,1380,,1,1.090967130751191e-12,True,P-L,AN,mc_learned_baseline,44,89580
51,90960,1380,,1,2.1391538852639111e-13,True,P-L,AN,mc_learned_baseline,44,90960
52,93364,2404,,2,6.927426903765383e-11,True,P-L,AN,mc_learned_baseline,44,93364
53,94744,1380,,1,5.823131526828363e-11,True,P-L,AN,mc_learned_baseline,44,94744
54,98172,3428,,3,3.510165248700699e-13,True,P-L,AN,mc_learned_baseline,44,98172
55,100576,2404,,2,2.8363962195796194e-13,True,P-L,AN,mc_learned_baseline,44,100576
56,101956,1380,,1,3.3643112478870973e-13,True,P-L,AN,mc_learned_baseline,44,101956
57,104360,2404,,2,6.369582054894661e-14,True,P-L,AN,mc_learned_baseline,44,104360
58,106764,2404,,2,3.1367517920123374e-13,True,P-L,AN,mc_learned_baseline,44,106764
59,110192,3428,,3,2.493739827216103e-13,True,P-L,AN,mc_learned_baseline,44,110192
60,111572,1380,,1,8.315716805206798e-14,True,P-L,AN,mc_learned_baseline,44,111572
61,113976,2404,,2,1.3774224737083868e-12,True,P-L,AN,mc_learned_baseline,44,113976
62,115356,1380,,1,1.4818314137551492e-13,True,P-L,AN,mc_learned_baseline,44,115356
63,116736,1380,,1,2.7559733828195693e-13,True,P-L,AN,mc_learned_baseline,44,116736
64,119140,2404,,2,3.4561785263970405e-13,True,P-L,AN,mc_learned_baseline,44,119140
65,121544,2404,,2,1.2476293914944777e-11,True,P-L,AN,mc_learned_baseline,44,121544
66,122924,1380,,1,1.1297209908688315e-13,True,P-L,AN,mc_learned_baseline,44,122924
67,124304,1380,,1,2.1307878091484487e-13,True,P-L,AN,mc_learned_baseline,44,124304
68,125684,1380,,1,2.4892113234649067e-13,True,P-L,AN,mc_learned_baseline,44,125684
69,127064,1380,,1,2.0843065204183286e-13,True,P-L,AN,mc_learned_baseline,44,127064
70,128444,1380,,1,2.9300285226691724e-13,True,P-L,AN,mc_learned_baseline,44,128444
71,131872,3428,,3,4.210897911008348e-13,False,P-L,AN,mc_learned_baseline,44,131872
72,135300,3428,,3,9.363808698068739e-14,True,P-L,AN,mc_learned_baseline,44,135300
73,136680,1380,,1,6.714944475655406e-14,True,P-L,AN,mc_learned_baseline,44,136680
74,138060,1380,,1,2.3192103139254575e-13,True,P-L,AN,mc_learned_baseline,44,138060
75,139440,1380,,1,1.7973399181559186e-13,True,P-L,AN,mc_learned_baseline,44,139440
76,142868,3428,,3,6.51250711515496e-15,False,P-L,AN,mc_learned_baseline,44,142868
