experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,45,1,2760,256,256,0,2048,200,1380,5520,262144,0.321796875,0.36389999999999995,0.3530617049642029,0.034047704964202896,0.00046357780805957884,public_state_tabular_independent_mc,0,0.6156492982807455,0.04107549996115267,True,accepted_empirical,0.1,1,5.621977295252254e-09,-0.09235171529478464,100,5.0,0.049218750000000006,empirical,0.011624732938744784,0.430824551836283,0.17393501452686871,0.02217878325325251,0.002126284610131682,0.09386018123295996,0.08662127612881569
T-L,AN,mc_learned_baseline,False,45,2,5520,512,512,0,4096,400,2760,11040,262144,0.43242187500000007,0.35009999999999997,0.3854892665739167,0.03242756160971377,0.0004158171881545227,public_state_tabular_independent_mc,0,0.605196060592678,0.08229009993374348,True,accepted_empirical,0.1,1,9.158968616770774e-10,-0.08500944511083355,100,5.0,0.03427734375,empirical,0.009768278405117818,0.4271316911385504,0.18074807400354284,0.020945829171725827,0.0016024776466001325,0.08448910175645077,0.08796209089455206
T-L,AN,mc_learned_baseline,False,45,3,8280,768,768,0,6144,600,4140,16560,262144,0.341484375,0.5342999999999999,0.4201636298059856,0.034674363232068905,0.0004697780358513334,public_state_tabular_independent_mc,0,0.594212590585409,0.12430579995270818,True,accepted_empirical,0.1,1,3.1813026620104075e-09,-0.09594232245529427,100,5.0,0.04927734375,empirical,0.011278643787521666,0.4079018692885848,0.1812028736746396,0.00044892221298853396,0.00023665694122095092,0.09554214384978607,0.08951058698551007
T-L,AN,mc_learned_baseline,False,45,4,11040,1024,1024,0,8192,800,5520,22080,262144,0.44484375,0.43769999999999987,0.4522338982113379,0.03207026840535232,0.00040662034475318987,public_state_tabular_independent_mc,0,0.5828849476223461,0.16483409993816167,True,accepted_empirical,0.1,1,5.853036481918756e-09,-0.08329267097409376,100,5.0,0.025019531250000004,empirical,0.008260619195212765,0.3906115562110262,0.16162747503269143,0.020415451153669495,0.0006145457853820384,0.08276470085441914,0.08861923599778335
T-L,AN,mc_learned_baseline,False,45,5,13800,1280,1280,0,10240,1000,6900,27600,262144,0.45492187500000003,0.43529999999999985,0.48648685811162584,0.03425295990028793,0.00046935873375405525,public_state_tabular_independent_mc,0,0.5705402598385072,0.2189805000089109,True,accepted_empirical,0.1,1,1.2225630800332138e-09,-0.09561033576940466,100,5.0,0.04833984375,empirical,0.010638928519199899,0.3918434852597164,0.1658594410201495,0.009415981488322012,0.00020681843146711187,0.09575516773515586,0.0880807245282677
T-L,AN,mc_learned_baseline,False,45,6,16560,1536,1536,0,12288,1200,8280,33120,262144,0.5390625,0.4887,0.5179610608059888,0.03147420269436296,0.0004088640197999037,public_state_tabular_independent_mc,0,0.5579326731409157,0.2668836999218911,True,accepted_empirical,0.1,1,4.8793623470069585e-09,-0.08288047597764059,100,5.0,0.026953125,empirical,0.008563198311288987,0.3554676010272646,0.1573044249637536,0.0005093103844099334,0.0009022216553331738,0.08316860460926197,0.08569223062669994
T-L,AN,mc_learned_baseline,False,45,7,19320,1792,1792,0,14336,1400,9660,38640,262144,0.48398437499999997,0.4610999999999999,0.5521307985804048,0.03416973777441601,0.0004968693049765354,public_state_tabular_independent_mc,0,0.5441767044466627,0.30771169997751713,True,accepted_empirical,0.1,1,2.227287579116338e-09,-0.10083308249770309,100,5.0,0.0380859375,empirical,0.009596360113403288,0.38249913712634864,0.1621833703798562,-0.0016316480841500614,0.0016054750524496272,0.10171049323962983,0.08296161241843511
T-L,AN,mc_learned_baseline,False,45,8,22080,2048,2048,0,16384,1600,11040,44160,262144,0.5667187499999999,0.585,0.5800363487259973,0.027905550145592484,0.0003612793389165765,public_state_tabular_independent_mc,0,0.5335579529525649,0.34418899996671826,True,accepted_empirical,0.1,1,3.4660074800729125e-10,-0.07402947527217113,100,5.0,0.05044921875,empirical,0.010495606994080758,0.3345306520956768,0.14500792931988565,-0.008241468548495945,0.004638833175761986,0.07386568383698089,0.07695526471734737
T-L,AN,mc_learned_baseline,False,45,9,24840,2304,2304,0,18432,1800,12420,49680,262144,0.5114062500000001,0.5393999999999999,0.6110912143606223,0.031054865634625006,0.000452044764604765,public_state_tabular_independent_mc,0,0.5200855393134053,0.3837459000060335,True,accepted_empirical,0.1,1,6.12205939940898e-09,-0.09214519503879151,100,5.0,0.0411328125,empirical,0.009723257379710444,0.38819179687500005,0.1692079507517235,-0.0151712177651937,0.002360818280347007,0.09244388739977374,0.07616023692987009
T-L,AN,mc_learned_baseline,False,45,10,27600,2560,2560,0,20480,2000,13800,55200,262144,0.56390625,0.6606000000000001,0.6403468410260571,0.029255626665434797,0.00042414365974686216,public_state_tabular_independent_mc,0,0.5071622344586804,0.424983499920927,True,accepted_empirical,0.1,1,3.2795988664843895e-10,-0.0877291890583225,100,5.0,0.03521484375,empirical,0.00889632860268621,0.35176688490141395,0.1513427364238032,-0.011849943718867939,0.002343052077736151,0.0874436108363265,0.0723167501154562
