experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,1,1736,256,256,1024,0,200,868,3472,262144,0.19148437499999996,0.3302999999999999,0.3537805067478608,0.034766506747860804,0.00048014453156419224,public_state_tabular_independent_mc,0,0.6154101721564078,0.0386968000093475,True,accepted_return_check_disabled,0.1,1,4.083214628530262e-09,-0.09295686636771183,100,5.0,0.0762423047261617,empirical,0.4074925527356591,0.1717049778337192,0.012895825385180526,0.0016149602719140095,0.09742593899636695,0.08713260046703336
T-L,AN,mc_learned_baseline,False,46,2,3472,512,512,2048,0,400,1736,6944,262144,0.40546875,0.3743999999999999,0.3930030884299528,0.03922258168209197,0.0006033007182522765,public_state_tabular_independent_mc,0,0.6038457333467033,0.0923717999830842,True,accepted_return_check_disabled,0.1,1,1.1562482932645197e-08,-0.1243999085888576,100,5.0,0.08351129125734195,empirical,0.4213058542831484,0.1809500638408126,-0.0020406876826286613,0.0030382702118872743,0.12298875400093705,0.0862984498951923
T-L,AN,mc_learned_baseline,False,46,3,5208,768,768,3072,0,600,2604,10416,262144,0.32320312500000004,0.44129999999999997,0.4242817457237251,0.03127865729377233,0.00038797730402489073,public_state_tabular_independent_mc,0,0.5932731252699264,0.14606179995462298,True,accepted_return_check_disabled,0.1,1,6.449127052366983e-09,-0.08048907957662987,100,5.0,0.08733328153543464,empirical,0.4451587364957008,0.1905828832550721,0.04472588056640814,0.0014055723516607451,0.07927668391818057,0.08791697063205792
T-L,AN,mc_learned_baseline,False,46,4,6944,1024,1024,4096,0,800,3472,13888,262144,0.41296874999999994,0.5346,0.4549328694775921,0.03065112375386697,0.0003713605838926335,public_state_tabular_independent_mc,0,0.5829008953936338,0.19723539997357875,True,accepted_return_check_disabled,0.1,1,3.551241776484503e-09,-0.07573384244224647,100,5.0,0.08287973896213474,empirical,0.40120718546411077,0.16611635796927948,0.011160804837458516,0.0006098128649262538,0.07556702566458887,0.0882895202784488
T-L,AN,mc_learned_baseline,False,46,5,8680,1280,1280,5120,0,1000,4340,17360,262144,0.43499999999999994,0.4304999999999999,0.4871638115650276,0.03223094208743549,0.000422342917684479,public_state_tabular_independent_mc,0,0.5715300736385855,0.2496973000233993,True,accepted_return_check_disabled,0.1,1,4.699136133369477e-09,-0.08656728431618535,100,5.0,0.09025031565538047,empirical,0.394969147329967,0.1688558917392715,-0.00038055102556211473,0.0009757259513586358,0.08673385319451435,0.08688257740965608
T-L,AN,mc_learned_baseline,False,46,6,10416,1536,1536,6144,0,1200,5208,20832,262144,0.489375,0.5097,0.518845247943281,0.031681436378253436,0.0004231183876823016,public_state_tabular_independent_mc,0,0.5586352997226114,0.2936207000166178,True,accepted_return_check_disabled,0.1,1,4.23716400321999e-09,-0.08532614341940437,100,5.0,0.07528575615506185,empirical,0.37956132445230495,0.15472672057924217,0.036600700489976656,0.002258060499073422,0.08560273744594826,0.08386978758498018
T-L,AN,mc_learned_baseline,False,46,7,12152,1792,1792,7168,0,1400,6076,24304,262144,0.5409375000000001,0.40739999999999993,0.5480214737077713,0.029176225764490304,0.0003628898258139146,public_state_tabular_independent_mc,0,0.5473154255026196,0.3466715000104159,True,accepted_return_check_disabled,0.1,1,3.229336769935913e-09,-0.07425245207000772,100,5.0,0.09094580272276145,empirical,0.35685071476590574,0.15071406252210862,0.003839560698570721,0.001078748766183911,0.07421292018860298,0.08309013925866557
T-L,AN,mc_learned_baseline,False,46,8,13888,2048,2048,8192,0,1600,6944,27776,262144,0.5090625,0.6081,0.5786098732482794,0.03058839954050807,0.00041008108795426417,public_state_tabular_independent_mc,0,0.5346388047023116,0.4006015999475494,True,accepted_return_check_disabled,0.1,1,4.872450664955381e-09,-0.08380798043625953,100,5.0,0.07613612663777804,empirical,0.3730788201220817,0.1590298904155623,0.015322841466685166,0.00014918299279180093,0.0837977761896693,0.08147165927961178
T-L,AN,mc_learned_baseline,False,46,9,15624,2304,2304,9216,0,1800,7812,31248,262144,0.63984375,0.606,0.6065824636455784,0.027972590397299046,0.0003643176769981742,public_state_tabular_independent_mc,0,0.5224823308341051,0.45098159997723997,True,accepted_return_check_disabled,0.1,1,5.2673032564755164e-09,-0.07688104610407528,100,5.0,0.06891980932132705,empirical,0.31158806786738125,0.13228668181997977,-0.00045334634127636164,0.001478279361117411,0.07537631299651987,0.07703015183827344
T-L,AN,mc_learned_baseline,False,46,10,17360,2560,2560,10240,0,2000,8680,34720,262144,0.657421875,0.7458,0.6309647287129204,0.02438226506734198,0.0002841661933785646,public_state_tabular_independent_mc,0,0.5111104012579996,0.49676559993531555,True,accepted_return_check_disabled,0.1,1,4.224912175237192e-09,-0.058235540230079694,100,5.0,0.06990614569370693,empirical,0.2849163911600408,0.12156141689306073,-0.002333769156428467,0.0012257895672245563,0.05815211228876369,0.07386260867854064
