experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.10775704104677822,0.05387852052338911,0.14079999999999998,0.15197543650142575,0.011175436501425773,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.059999999999999803,0.3599999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.002405571781132956,0.002577977751468689,0.05343190501524556,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.21551408209355644,0.05387852052338911,0.28159999999999996,0.3039508730028515,0.022350873002851546,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.059999999999999803,0.3599999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.002405571781132956,0.002577977751468689,0.05343190501524556,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3232711231403347,0.05387852052338911,0.42239999999999994,0.45592630950427726,0.03352630950427732,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.059999999999999803,0.3599999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.002405571781132956,0.002577977751468689,0.05343190501524556,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.07285959381829414,0.03642979690914707,0.13226666666666667,0.1396392134474502,0.007372546780783529,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,-0.04666666666666674,0.2533333333333333,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.003852352342950446,0.022062766488217995,0.006062939366666551,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.21551408209355644,0.05387852052338911,0.28159999999999996,0.3039508730028515,0.022350873002851546,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.059999999999999803,0.3599999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.002405571781132956,0.002577977751468689,0.05343190501524556,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.42796346482578684,0.07132724413763114,0.44799999999999984,0.49293497866620395,0.044934978666204106,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.16666666666666632,0.46666666666666634,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.020073457885982082,0.022062766488217988,0.06783391074941364,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.005194865066984087,-0.0025974325334920433,0.1248,0.12456572212054215,-0.00023427787945784484,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,-0.26,0.03999999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.06958455294073258,0.12635876690111034,-0.03152084548299347,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.21551408209355644,0.05387852052338911,0.28159999999999996,0.3039508730028515,0.022350873002851546,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,0.059999999999999803,0.3599999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.002405571781132956,0.002577977751468689,0.05343190501524556,specified_source_logit_path_through_finite_candidate,
P-T,AN,49,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.01558459520095226,-0.0025974325334920433,0.3744,0.3736971663616265,-0.0007028336383735345,2432,2048,128,256,True,accepted_empirical,0.1,1,3.984795564806463e-09,-0.042973497964660434,100,5.0,0.04264059667522223,empirical,0.042187499999999996,empirical,0.04177067788177722,-0.26,0.03999999999999998,0.30209202671166346,0.7120954712381845,0.0024871503367400924,8.144199319768527e-07,0.06958455294073258,0.12635876690111034,-0.03152084548299347,specified_source_logit_path_through_finite_candidate,
P-T,SA,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.10517814729446741,0.052589073647233704,0.14079999999999998,0.15170046065546192,0.010900460655461935,2432,2048,128,256,True,accepted_empirical,0.1,1,1.7261991875168783e-09,-0.04207511799814288,100,5.0,0.042359484472102735,empirical,0.02864583333333333,empirical,0.03959193920643147,0.059999999999999803,0.3599999999999998,0.3020758850962626,0.7118057301391435,0.0029766746099079873,3.5170978903572234e-07,0.002921714899716602,0.0030417387790562145,0.05230264244762004,specified_source_logit_path_through_finite_candidate,
