experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,normalized,4,2,False,target_plus_type_probability,0.5999999999999999,1.1702778228589004e-16,10,0.5999999999999999,0.5999999999999999,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,density_ratio,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,neighbor_weight,2.0,0.0,10,2.0,2.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,semantic_drift,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_local_energy,0.06652799999999993,0.0,10,0.06652799999999993,0.06652799999999993,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_path_derivative,0.10978307503593925,0.05961660381067148,10,0.07029812127540531,0.1414550885127629,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_normalized_path_derivative,0.05489153751796962,0.02980830190533574,10,0.03514906063770266,0.07072754425638145,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,old_return,0.14079999999999998,0.0,10,0.14079999999999998,0.14079999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return,0.15000731814005971,0.005903901089745747,10,0.14635248108234217,0.1533255236074789,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_gain,0.009207318140059734,0.005903901089745747,10,0.005552481082342147,0.012525523607478899,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_total,2150.4,47.2233463918478,10,2124.8,2176.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_direction_check,32.0,0.0,10,32.0,32.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_return_check,70.4,47.2233463918478,10,44.8,96.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,eta,0.06500000000000002,0.04116363011742823,10,0.04,0.085,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,attempts,1.1,0.7378647873726218,10,0.7,1.5,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,forward_kl_training,2.6726123977718102e-09,2.381942097074276e-09,8,1.2930575630434468e-09,4.444806679679908e-09,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_check_score,0.07609128368592072,0.08976276455780433,10,0.025613388521893644,0.13088751556745445,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_gain,0.05052083333333333,0.04977317100192936,8,0.01979166666666667,0.08541666666666665,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_standard_error,0.05573461117528389,0.04371268437123511,8,0.029127414855155468,0.08440038179349935,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_0,0.05999999999999981,7.314236392868128e-18,10,0.05999999999999981,0.05999999999999981,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_1,0.3599999999999998,0.0,10,0.3599999999999998,0.3599999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_0,0.300831156279891,0.001396013719126465,10,0.30000118719692764,0.30164174141203814,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_1,0.7100569097063559,0.006417666737521844,10,0.7060680570466227,0.7136780861064307,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
