experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-EA,AN,mc_raw,table,2048,1,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,actual_return_gain,0.012670875704557275,1.6022800431472077e-07,20,0.012670802653403137,0.012670914545105732,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,learned_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,projected_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,realized_path_derivative,0.1209595097903355,1.1159150870377321e-06,20,0.12095900126446771,0.12095977993465029,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,forward_kl_training,0.000131959613800729,2.4545766042471165e-05,20,0.0001213724059334372,0.00014220751460620836,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,forward_kl_validation,0.00013198994769452537,2.4203670041018365e-05,20,0.00012154587941088382,0.00014204286166935297,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,forward_kl_exact,0.0001319329206794934,2.4339779823787188e-05,20,0.00012148677338443326,0.00014217511981146733,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,old_new_kl,9.442010660511363e-05,7.007506446827627e-09,20,9.44169101888555e-05,9.442180746461745e-05,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,direction_realization_residual,0.026966023947598877,0.004994643635039139,20,0.024832758211504852,0.029075152765477737,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,seconds,0.001284870004747063,0.0006857842805274618,20,0.0010565070006123278,0.0016073698663967653,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,learned_q_0,0.0699898847449624,0.03371911298896812,20,0.056316260990376996,0.08453654727028094,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,learned_q_1,0.3692935409644048,0.021207155992480905,20,0.360408145998457,0.378259362282867,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,candidate_p_0,0.3063373544502163,5.874068930802043e-07,20,0.30633708648456753,0.30633749693925977,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,candidate_p_1,0.7062619517951164,4.097664664947195e-10,20,0.7062619516201712,0.706261951970133,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,source_direction_error,0.0006553232254683497,0.0004983222221628919,20,0.00046233315134882756,0.0008889429804766495,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,source_exact_score,0.06587267677453158,0.000498322222162897,20,0.06563905701952329,0.0660656668486511,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,replayed_source_episodes,2048.0,0.0,20,2048.0,2048.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
