experiment,method,direction_method,label,seed,actor_class,fit_steps,sample_episodes,source_steps_total,eta,ideal_return_gain,actual_return_gain,learned_direction_derivative,projected_direction_derivative,projection_reference,realized_path_derivative,forward_kl_training,forward_kl_validation,forward_kl_exact,old_new_kl,direction_realization_residual,seconds,learned_q_0,learned_q_1,candidate_p_0,candidate_p_1,data_seed,source_direction_error,source_exact_score,dataset_sha256,direction_retrained,direction_source,source_csv_sha256,source_manifest_sha256,source_code_sha256,additional_training_environment_steps,replayed_source_episodes,report_validation_episodes
P-EA,AN,AN,mc_raw,1000,table,1,32,532,0.1,0.024022343394898893,0.012670885013321698,0.23208522103986934,0.23208522103986934,exact_population_Fisher_projection_diagnostic,0.12095957149627727,9.613596768700872e-05,9.544710179126321e-05,9.449952155458509e-05,9.442055607138122e-05,0.019170412085719523,0.00814439996611327,0.026331391488430646,0.3168566160028693,0.3063373931744968,0.7062619511221002,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,table,10,32,532,0.1,0.024022343394898893,0.022119696248434018,0.23208522103986934,0.23208522103986934,exact_population_Fisher_projection_diagnostic,0.2124054549955542,6.415470265625422e-06,6.493789448710592e-06,6.601522623633305e-06,0.00021164517244526144,0.0013308999568941442,0.007341299904510379,0.026331391488430646,0.3168566160028693,0.3031616408037491,0.7118043048440199,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,table,100,32,532,0.1,0.024022343394898893,0.02401163599189221,0.23208522103986934,0.23208522103986934,exact_population_Fisher_projection_diagnostic,0.2319770724075019,1.3878434120165573e-10,1.3948353827043104e-10,1.404453297134558e-10,0.00025175754839400205,2.8442906526694687e-08,0.0356372999958694,0.026331391488430646,0.3168566160028693,0.30111556102044296,0.7131300661523031,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,table,1000,32,532,0.1,0.024022343394898893,0.02402234339489928,0.23208522103986934,0.23208522103986934,exact_population_Fisher_projection_diagnostic,0.23208522103987422,-4.833689708396609e-18,-3.268837431979327e-18,-1.1162804544656068e-18,0.0002520097666457432,2.7415970981321956e-29,0.36923499999102205,0.026331391488430646,0.3168566160028693,0.3011070819241954,0.7131370788920188,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,shared_offset,1,32,532,0.1,0.024022343394898893,0.012670926404761196,0.23208522103986934,0.16180135872533635,exact_population_Fisher_projection_diagnostic,0.12095986128161014,9.613731160214149e-05,9.544849669556429e-05,9.450098659783256e-05,9.442234594016601e-05,0.019170703019560385,0.0006627000402659178,0.026331391488430646,0.3168566160028693,0.30633754268007524,0.7062619514711063,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,shared_offset,10,32,532,0.1,0.024022343394898893,0.009644863054704578,0.23208522103986934,0.16180135872533635,exact_population_Fisher_projection_diagnostic,0.09304394470841817,0.00011798035646163956,0.00011613539869798741,0.00011359753824482389,5.587945272764391e-05,0.023122879964480276,0.0021793999476358294,0.026331391488430646,0.3168566160028693,0.3048682912537318,0.7048235626671709,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,shared_offset,100,32,532,0.1,0.024022343394898893,0.01781269060267482,0.23208522103986934,0.16180135872533635,exact_population_Fisher_projection_diagnostic,0.16716187646747177,8.202654397217589e-05,8.32588934109628e-05,8.495407091952175e-05,0.00018027113398936536,0.01705314767716621,0.023263299954123795,0.026331391488430646,0.3168566160028693,0.30877787448739835,0.7086335240296532,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1000,shared_offset,1000,32,532,0.1,0.024022343394898893,0.01788531676648014,0.23208522103986934,0.16180135872533635,exact_population_Fisher_projection_diagnostic,0.16780395705565507,8.202389359310302e-05,8.328302279918625e-05,8.501503763470483e-05,0.00018165783788975237,0.017062572327169,0.2106633000075817,0.026331391488430646,0.3168566160028693,0.3088118640867524,0.7086664028223867,1000,0.0013190024645922077,0.06520899753540771,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1001,table,1,32,532,0.1,0.06866089402971565,0.01267093381756973,0.5458581508671384,0.5458581508671384,exact_population_Fisher_projection_diagnostic,0.12095993014377335,0.0013847687537853828,0.0014663123484767926,0.0014700584036882222,9.442243584438357e-05,0.2917323297316685,0.0009960999013856053,0.8431770843925667,0.6584330230127347,0.3063375445471719,0.706261955205373,1001,0.25097847578308546,-0.18445047578308554,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
P-EA,AN,AN,mc_raw,1001,table,10,32,532,0.1,0.06866089402971565,0.1050926309445745,0.5458581508671384,0.5458581508671384,exact_population_Fisher_projection_diagnostic,0.7788395949641613,0.0003509805774996746,0.00035699381897605624,0.0003572700630471652,0.004457089796532252,0.07195976405676771,0.0038117000367492437,0.8431770843925667,0.6584330230127347,0.35008779057375167,0.7381780236800736,1001,0.25097847578308546,-0.18445047578308554,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,False,D:\manifold\manifold_project\experiments\results\pair_estimation_20seeds_v1,993a058c136c24688c623203af1c038ee8cdc8ee4fa6d85ef73cd7be82fbc1b0,2d5f6f6b539f6c5aa4e32969abd8553e2e3a52988bbdb8e8d873f7bcd4ae4b82,cdcc83f5050bd2bc104f1a0e1479d6854a2b67e9a8ff2100cad6269d5b7fc115,0,32,500
