experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-EA,AN,mc_raw,table,32,1,AN,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,ideal_return_gain,0.03537876561801473,0.02157830326092101,20,0.025754674378622992,0.044212644218388455,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,actual_return_gain,0.011007349433238237,0.005415400958834965,20,0.008437134883204786,0.012519495252939892,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,learned_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,projected_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,realized_path_derivative,0.10523465297517835,0.05396645563640017,20,0.079832756548967,0.11974983162189892,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,forward_kl_training,0.0004148657014976599,0.0003886650155646088,20,0.00025469691224172796,0.000584572629738093,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,forward_kl_validation,0.0004161470956620166,0.000392480924166276,20,0.00025782823349838283,0.0005910911127428274,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,forward_kl_exact,0.0004163242608131899,0.0003923894596215495,20,0.000258431942710032,0.0005917768905675421,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,old_new_kl,9.438239546109792e-05,1.1853028138854139e-07,20,9.43279007532005e-05,9.442936926972444e-05,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,direction_realization_residual,0.08486967278772864,0.07924880276901013,20,0.05272763674204427,0.1201200701977921,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,seconds,0.0014032649982254953,0.001610539949662525,20,0.00096249075664673,0.0021571643737843256,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,learned_q_0,0.16184827478767766,0.31791117053584295,20,0.023236487353917673,0.2944675496373465,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,learned_q_1,0.4201783399511534,0.2384559228736152,20,0.31036816819630375,0.5151219333292392,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,candidate_p_0,0.3038174860055177,0.005170628697027449,20,0.301297600404775,0.30570750372210015,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,candidate_p_1,0.7056319695057345,0.002817329370152372,20,0.7043720120517999,0.706261953044158,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,source_direction_error,0.06479645941567201,0.07087894998605476,20,0.035038925702452046,0.09499760313857682,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,source_exact_score,0.0017315405843279098,0.07087894998605478,20,-0.028469603138576948,0.031489074297547874,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,replayed_source_episodes,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,ideal_return_gain,0.03537876561801473,0.02157830326092101,20,0.025754674378622992,0.044212644218388455,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,actual_return_gain,0.04785262239590349,0.03271362916852454,20,0.03369022230180521,0.061433757841428814,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,learned_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,projected_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,realized_path_derivative,0.415754629689651,0.26913777649668197,20,0.2979813110511901,0.5268666393081005,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,forward_kl_training,0.0001069503503134943,0.00010897671005009269,20,6.28799574670108e-05,0.00015426331742619793,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,forward_kl_validation,0.00010694643241759745,0.00010887332952008663,20,6.317110757762703e-05,0.00015453871800229303,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,forward_kl_exact,0.00010690735906637055,0.0001086861274831904,20,6.342027789766029e-05,0.00015425450796717694,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,old_new_kl,0.0013982232889242984,0.0012597061434162886,20,0.0008803532371664243,0.0019498161071000075,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,direction_realization_residual,0.022137639858623766,0.022402734927476645,20,0.013134610927913242,0.03199147743026487,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,seconds,0.0028291349881328642,0.0012021934617735981,20,0.002406977361970348,0.0033950148522853846,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,learned_q_0,0.16184827478767766,0.31791117053584295,20,0.023236487353917673,0.2944675496373465,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,learned_q_1,0.4201783399511534,0.2384559228736152,20,0.31036816819630375,0.5151219333292392,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,candidate_p_0,0.30921045147446546,0.018408605002410768,20,0.3011786063192387,0.31691152782048426,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,candidate_p_1,0.7223559870569848,0.013894658141646933,20,0.7163619670988488,0.7280175132812143,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,source_direction_error,0.06479645941567201,0.07087894998605476,20,0.035038925702452046,0.09499760313857682,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,source_exact_score,0.0017315405843279098,0.07087894998605478,20,-0.028469603138576948,0.031489074297547874,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,replayed_source_episodes,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,10,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,ideal_return_gain,0.03537876561801473,0.02157830326092101,20,0.025754674378622992,0.044212644218388455,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,actual_return_gain,0.03534876357166168,0.021559096622206612,20,0.02574105939705112,0.044170975952168956,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,learned_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,projected_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,realized_path_derivative,0.3177661575109776,0.18730703079712532,20,0.2322755895890641,0.3926004377268114,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,forward_kl_training,6.094432756689177e-09,5.051941490311669e-09,20,4.020591253906045e-09,8.265694057168867e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,forward_kl_validation,6.053778149384493e-09,4.903909549636599e-09,20,4.032288069990073e-09,8.135811619351792e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,forward_kl_exact,6.042338396861974e-09,4.8798754845178645e-09,20,4.021055827744978e-09,8.111857726073258e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,old_new_kl,0.0007789102363279901,0.0006053436944459642,20,0.0005296763463028085,0.0010492752696789254,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,direction_realization_residual,1.2403354331137374e-06,1.0128853753285692e-06,20,8.169032685554227e-07,1.6767037382420282e-06,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,seconds,0.01940870500402525,0.00502698221510534,20,0.01749264662634232,0.021716709508036728,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,learned_q_0,0.16184827478767766,0.31791117053584295,20,0.023236487353917673,0.2944675496373465,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,learned_q_1,0.4201783399511534,0.2384559228736152,20,0.31036816819630375,0.5151219333292392,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,candidate_p_0,0.3069903793720955,0.013549593592299253,20,0.30110431634196283,0.312637189714289,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,candidate_p_1,0.7172391579126816,0.00974879068725834,20,0.7127101814524147,0.7211065027550725,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,source_direction_error,0.06479645941567201,0.07087894998605476,20,0.035038925702452046,0.09499760313857682,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,source_exact_score,0.0017315405843279098,0.07087894998605478,20,-0.028469603138576948,0.031489074297547874,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,replayed_source_episodes,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,100,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,ideal_return_gain,0.03537876561801473,0.02157830326092101,20,0.025754674378622992,0.044212644218388455,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,actual_return_gain,0.03537876561801471,0.021578303260920972,20,0.025754674378622885,0.0442126442183884,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,learned_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,projected_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,realized_path_derivative,0.3180000768818271,0.18745926001855964,20,0.23252964849050306,0.39306652161337524,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,forward_kl_training,9.83200204223525e-18,2.5219977648622526e-17,20,-1.1271608163028126e-18,1.9748673573063755e-17,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,forward_kl_validation,1.0115814607875764e-17,2.4898240576835633e-17,20,-6.871118456055635e-19,1.9810771196383693e-17,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,forward_kl_exact,1.040419880519426e-17,2.4812674367333457e-17,20,-3.8951672216701568e-19,2.0076796562977195e-17,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,old_new_kl,0.0007798599628840863,0.0006057221291766984,20,0.000530374192443842,0.0010507133999200149,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,direction_realization_residual,1.0150605316947622e-29,1.1361912856741576e-29,20,5.7940088583916646e-30,1.5540452472817348e-29,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,seconds,0.18521781999152154,0.04937719948178074,20,0.16798152098752325,0.20835425661876797,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,learned_q_0,0.16184827478767766,0.31791117053584295,20,0.023236487353917673,0.2944675496373465,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,learned_q_1,0.4201783399511534,0.2384559228736152,20,0.31036816819630375,0.5151219333292392,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,candidate_p_0,0.3069983457845841,0.013552434218743395,20,0.3011199513234707,0.3126319294020279,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,candidate_p_1,0.7172512782060716,0.009755285213982483,20,0.7127151815755537,0.7211239796383462,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,source_direction_error,0.06479645941567201,0.07087894998605476,20,0.035038925702452046,0.09499760313857682,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,source_exact_score,0.0017315405843279098,0.07087894998605478,20,-0.028469603138576948,0.031489074297547874,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,replayed_source_episodes,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,32,1000,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,ideal_return_gain,0.03537876561801473,0.02157830326092101,20,0.025754674378622992,0.044212644218388455,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,actual_return_gain,0.010252116431851916,0.007444897675554307,20,0.006623920746607858,0.01267093134232114,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,learned_direction_derivative,0.31800007688182713,0.18745926001855992,20,0.23252964849050245,0.3930665216133758,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,projected_direction_derivative,0.25550486751747914,0.18951475638541532,20,0.17163665298539368,0.33336985469496244,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,realized_path_derivative,0.09676778162194985,0.0744612634125625,20,0.06047983878202134,0.12095990637796518,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,forward_kl_training,0.00043567553560474876,0.00038761074824098895,20,0.0002775820874252128,0.0006044573648087734,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,forward_kl_validation,0.00043754170019811206,0.00039083604339000896,20,0.0002784017072759712,0.0006136634253374565,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,forward_kl_exact,0.00043750379777726786,0.000390899685845146,20,0.000278262647513657,0.0006138245691694779,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,32,1,AN,False,old_new_kl,9.443727956940227e-05,4.6580826093082233e-08,20,9.442192867246653e-05,9.44601673524623e-05,training_seed_or_data_batch,False
