method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
AN,1000,0.0003,original,8,100,0.3009574678389044,0.7143340939701354,0.0003000000000000278,0.026244384324418446,positive,True,0.95,,0.050000000000000044,0.81,16,8,0.06588703516996369,0.65,,0.35,0.35
AN,1000,0.0003,original,32,100,0.3009574678389044,0.7143340939701354,0.0003000000000000278,0.026244384324418446,positive,True,0.73,,0.27,0.26,64,32,0.06588703516996369,0.79,,0.20999999999999996,0.20999999999999996
AN,1000,0.0003,original,128,100,0.3009574678389044,0.7143340939701354,0.0003000000000000278,0.026244384324418446,positive,True,0.72,,0.28,0.0,256,128,0.06588703516996369,0.91,,0.08999999999999997,0.08999999999999997
AN,1000,0.0003,original,512,100,0.3009574678389044,0.7143340939701354,0.0003000000000000278,0.026244384324418446,positive,True,0.92,,0.07999999999999996,0.0,1024,512,0.06588703516996369,0.97,,0.030000000000000027,0.030000000000000027
AN,1000,0.0003,reversed,8,100,0.2990442751626092,0.6852635563771493,0.00030557122291371795,-0.0242867128543921,negative,True,0.83,0.83,,0.75,16,8,-0.21297059591173778,0.18,0.18,,
AN,1000,0.0003,reversed,32,100,0.2990442751626092,0.6852635563771493,0.00030557122291371795,-0.0242867128543921,negative,True,0.59,0.59,,0.37,64,32,-0.21297059591173778,0.02,0.02,,
AN,1000,0.0003,reversed,128,100,0.2990442751626092,0.6852635563771493,0.00030557122291371795,-0.0242867128543921,negative,True,0.3,0.3,,0.02,256,128,-0.21297059591173778,0.0,0.0,,
AN,1000,0.0003,reversed,512,100,0.2990442751626092,0.6852635563771493,0.00030557122291371795,-0.0242867128543921,negative,True,0.09,0.09,,0.0,1024,512,-0.21297059591173778,0.0,0.0,,
AN,1000,0.0003,near_zero,8,100,0.3000000956597285,0.7000014538268107,3.02813410966684e-12,2.530592662697284e-06,positive,True,1.0,,0.0,1.0,16,8,1.3942146136281361e-05,0.75,,0.25,0.25
AN,1000,0.0003,near_zero,32,100,0.3000000956597285,0.7000014538268107,3.02813410966684e-12,2.530592662697284e-06,positive,True,1.0,,0.0,1.0,64,32,1.3942146136281361e-05,0.92,,0.07999999999999996,0.07999999999999996
AN,1000,0.0003,near_zero,128,100,0.3000000956597285,0.7000014538268107,3.02813410966684e-12,2.530592662697284e-06,positive,True,1.0,,0.0,1.0,256,128,1.3942146136281361e-05,0.99,,0.010000000000000009,0.010000000000000009
AN,1000,0.0003,near_zero,512,100,0.3000000956597285,0.7000014538268107,3.02813410966684e-12,2.530592662697284e-06,positive,True,1.0,,0.0,1.0,1024,512,1.3942146136281361e-05,1.0,,0.0,0.0
SA,1000,0.0003,original,8,100,0.3009786645232574,0.7143331682744385,0.0003000000000000024,0.026249133190118845,positive,True,0.95,,0.050000000000000044,0.81,16,8,0.06599494007843258,0.65,,0.35,0.35
SA,1000,0.0003,original,32,100,0.3009786645232574,0.7143331682744385,0.0003000000000000024,0.026249133190118845,positive,True,0.73,,0.27,0.26,64,32,0.06599494007843258,0.79,,0.20999999999999996,0.20999999999999996
SA,1000,0.0003,original,128,100,0.3009786645232574,0.7143331682744385,0.0003000000000000024,0.026249133190118845,positive,True,0.72,,0.28,0.0,256,128,0.06599494007843258,0.91,,0.08999999999999997,0.08999999999999997
SA,1000,0.0003,original,512,100,0.3009786645232574,0.7143331682744385,0.0003000000000000024,0.026249133190118845,positive,True,0.92,,0.07999999999999996,0.0,1024,512,0.06599494007843258,0.97,,0.030000000000000027,0.030000000000000027
SA,1000,0.0003,reversed,8,100,0.29902315643320654,0.685264534767897,0.00030557005605350647,-0.02428675580790618,negative,True,0.83,0.83,,0.75,16,8,-0.20889023225794368,0.18,0.18,,
SA,1000,0.0003,reversed,32,100,0.29902315643320654,0.685264534767897,0.00030557005605350647,-0.02428675580790618,negative,True,0.59,0.59,,0.37,64,32,-0.20889023225794368,0.02,0.02,,
SA,1000,0.0003,reversed,128,100,0.29902315643320654,0.685264534767897,0.00030557005605350647,-0.02428675580790618,negative,True,0.3,0.3,,0.02,256,128,-0.20889023225794368,0.0,0.0,,
SA,1000,0.0003,reversed,512,100,0.29902315643320654,0.685264534767897,0.00030557005605350647,-0.02428675580790618,negative,True,0.09,0.09,,0.0,1024,512,-0.20889023225794368,0.0,0.0,,
SA,1000,0.0003,near_zero,8,100,0.30000009777550546,0.7000014537315472,3.028137806166267e-12,2.530834299574458e-06,positive,True,1.0,,0.0,1.0,16,8,1.3743544140357918e-05,0.75,,0.25,0.25
SA,1000,0.0003,near_zero,32,100,0.30000009777550546,0.7000014537315472,3.028137806166267e-12,2.530834299574458e-06,positive,True,1.0,,0.0,1.0,64,32,1.3743544140357918e-05,0.92,,0.07999999999999996,0.07999999999999996
SA,1000,0.0003,near_zero,128,100,0.30000009777550546,0.7000014537315472,3.028137806166267e-12,2.530834299574458e-06,positive,True,1.0,,0.0,1.0,256,128,1.3743544140357918e-05,0.99,,0.010000000000000009,0.010000000000000009
SA,1000,0.0003,near_zero,512,100,0.30000009777550546,0.7000014537315472,3.028137806166267e-12,2.530834299574458e-06,positive,True,1.0,,0.0,1.0,1024,512,1.3743544140357918e-05,1.0,,0.0,0.0
DA,1000,0.0003,original,8,100,0.3128811988673531,0.7099904345243097,0.0003000000000000152,0.02172465813586605,positive,False,0.91,,0.08999999999999997,0.76,16,0,,,,,
DA,1000,0.0003,original,32,100,0.3128811988673531,0.7099904345243097,0.0003000000000000152,0.02172465813586605,positive,False,0.73,,0.27,0.2,64,0,,,,,
DA,1000,0.0003,original,128,100,0.3128811988673531,0.7099904345243097,0.0003000000000000152,0.02172465813586605,positive,False,0.68,,0.31999999999999995,0.0,256,0,,,,,
DA,1000,0.0003,original,512,100,0.3128811988673531,0.7099904345243097,0.0003000000000000152,0.02172465813586605,positive,False,0.84,,0.16000000000000003,0.0,1024,0,,,,,
DA,1000,0.0003,reversed,8,100,0.2874272805600924,0.6898157656151143,0.00029936867367531816,-0.018026858012845703,negative,False,0.78,0.78,,0.63,16,0,,,,,
DA,1000,0.0003,reversed,32,100,0.2874272805600924,0.6898157656151143,0.00029936867367531816,-0.018026858012845703,negative,False,0.58,0.58,,0.29,64,0,,,,,
DA,1000,0.0003,reversed,128,100,0.2874272805600924,0.6898157656151143,0.00029936867367531816,-0.018026858012845703,negative,False,0.35,0.35,,0.0,256,0,,,,,
DA,1000,0.0003,reversed,512,100,0.2874272805600924,0.6898157656151143,0.00029936867367531816,-0.018026858012845703,negative,False,0.25,0.25,,0.0,1024,0,,,,,
DA,1000,0.0003,near_zero,8,100,0.30000127290011813,0.7000010088333654,2.9969444945746424e-12,1.987680750381582e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
