scene_seed,n_agents,steps,discounted_return,return_undiscounted,end_reason,entity_count,truncated_entity_count,observation_mode,inference_seconds,inference_seconds_per_joint_step,policy_mode,wall_seconds,success,initial_success,completion_time,success_completion_time,coverage,mean_goal_distance,collision_pairs,collisions_per_step,collision_participation_per_agent_step,experiment,method,seed,source_n,target_n,theory_class,checkpoint,source_experiment,relation_layers,source_profile,source_horizon,source_budget,source_smoke_only,smoke_only,direction_check,return_check
1000000,4,200,-130.19822820994915,-347.8385286678779,deadline,7.0,0.0,full,2.498637295793742,0.01249318647896871,stochastic,2.649367299862206,0.0,0,200,,0.0,0.6873538427216087,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000001,4,200,-174.01310208989344,-462.3949965079871,deadline,7.0,0.0,full,3.0203975993208587,0.015101987996604293,stochastic,3.173778799828142,0.0,0,200,,0.0,0.8922819654779239,7.0,0.035,0.0175,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000002,4,200,-136.31266130760093,-397.92842600968254,deadline,7.0,0.0,full,2.8608036004006863,0.014304018002003432,stochastic,3.019780999980867,0.0,0,200,,0.0,1.7364204418481668,8.0,0.04,0.02,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000003,4,200,-164.95943230820515,-407.18933004151563,deadline,7.0,0.0,full,2.5521120987832546,0.012760560493916273,stochastic,2.7035793997347355,0.0,0,200,,0.0,1.130129825429093,5.0,0.025,0.0125,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000004,4,200,-98.21084428197793,-265.96121788524175,deadline,7.0,0.0,full,2.531120096798986,0.01265560048399493,stochastic,2.6794946999289095,0.0,0,200,,0.0,1.1233331433256697,5.0,0.025,0.0125,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000005,4,200,-138.67618453407107,-356.125249904088,deadline,7.0,0.0,full,2.5610616989433765,0.012805308494716883,stochastic,2.713299199938774,0.0,0,200,,0.0,1.33437083356251,2.0,0.01,0.005,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000006,4,200,-120.56992767777244,-286.5936183028665,deadline,7.0,0.0,full,2.528879402205348,0.01264439701102674,stochastic,2.6789576997980475,0.0,0,200,,0.0,0.9302231131424572,1.0,0.005,0.0025,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000007,4,200,-109.58221445103742,-257.90438275708976,deadline,7.0,0.0,full,2.534750401042402,0.01267375200521201,stochastic,2.679972100071609,0.0,0,200,,0.0,1.4316539321804849,0.0,0.0,0.0,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000008,4,200,-181.1219964976273,-416.3861370382878,deadline,7.0,0.0,full,2.6174863036721945,0.013087431518360972,stochastic,2.7815840002149343,0.0,0,200,,0.0,0.8608572242200113,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000009,4,200,-124.99825383697026,-333.4216104345436,deadline,7.0,0.0,full,2.5317038013599813,0.012658519006799906,stochastic,2.6821293998509645,0.0,0,200,,0.0,1.2100147549275873,5.0,0.025,0.0125,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000010,4,200,-108.2447662397781,-303.2557511816481,deadline,7.0,0.0,full,3.358712200075388,0.01679356100037694,stochastic,3.5096888998523355,0.0,0,200,,0.0,1.9435874553813925,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000011,4,200,-136.8236641800419,-364.1365960516818,deadline,7.0,0.0,full,3.789031097199768,0.01894515548599884,stochastic,3.9542144001461565,0.0,0,200,,0.0,0.8550986080483116,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000012,4,200,-132.68261713420972,-315.84483521212036,deadline,7.0,0.0,full,3.133972195442766,0.01566986097721383,stochastic,3.30355879990384,0.0,0,200,,0.0,0.815021223964191,3.0,0.015,0.0075,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000013,4,200,-158.9171540516876,-438.0716008218077,deadline,7.0,0.0,full,2.560578604694456,0.012802893023472279,stochastic,2.719646700192243,0.0,0,200,,0.0,2.0744132011219834,1.0,0.005,0.0025,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000014,4,200,-140.02044715048498,-337.35976202523386,deadline,7.0,0.0,full,2.6067992011085153,0.013033996005542576,stochastic,2.7693909001536667,0.0,0,200,,0.0,1.1710540266644052,8.0,0.04,0.02,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000015,4,200,-113.42839995325481,-280.12545663717276,deadline,7.0,0.0,full,2.555198201444,0.01277599100722,stochastic,2.7078921999782324,0.0,0,200,,0.0,1.271494311574012,4.0,0.02,0.01,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000016,4,200,-97.61151846584815,-272.19321001494063,deadline,7.0,0.0,full,2.564270400442183,0.012821352002210915,stochastic,2.724175199866295,0.0,0,200,,0.0,1.1518514124598163,8.0,0.04,0.02,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000017,4,200,-143.9802563895811,-317.4842987918322,deadline,7.0,0.0,full,2.542369802482426,0.012711849012412131,stochastic,2.684309999924153,0.0,0,200,,0.0,1.1464880462851166,9.0,0.045,0.0225,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000018,4,200,-116.9077130280275,-286.1146929427093,deadline,7.0,0.0,full,2.519907498732209,0.012599537493661045,stochastic,2.6701503000222147,0.0,0,200,,0.0,1.0093957175211863,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
1000019,4,200,-223.72828719132872,-534.2651713663655,deadline,7.0,0.0,full,3.3234475031495094,0.01661723751574755,stochastic,3.486364600248635,0.0,0,200,,0.0,0.88423491407401,6.0,0.03,0.015,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,True,True
