round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return,policy_step_kl,policy_entropy
1,8000,False,0,False,-0.167171054092237,-161.94164848327637,34788.8359375,-161.941650390625,0.0080641508102417,,,,,,,95.75178299983963,AN,40,8000,-161.94164848327637,,
2,14400,False,0,False,-0.05423910956307597,-136.61543893814087,17716.939453125,-136.61544799804688,0.0003267526626586914,,,,,,,96.75329570006579,AN,40,14400,-136.61543893814087,,
3,20800,False,0,False,-0.19615864112449213,-143.34179019927979,16737.498046875,-143.341796875,-0.0006120204925537109,,,,,,,91.76024870015681,AN,40,20800,-143.34179019927979,,
4,27200,False,0,False,-0.11631185888194481,-158.33853197097778,31533.392578125,-158.33853149414062,0.004104137420654297,,,,,,,96.3424006998539,AN,40,27200,-158.33853197097778,,
5,40000,True,1,True,0.007196963454420953,-129.77183628082275,9971.8037109375,-129.77183532714844,-0.003177046775817871,2.0061925065209607,0.00018994396668858826,4.635706136468798e-05,0.0001447149261366576,0.00029370328411459923,0.0,194.79899369971827,AN,40,40000,-129.77183628082275,0.00012824783334508538,1.609308123588562
6,46400,False,0,False,-0.07328287807331892,-159.4808759689331,7649.88037109375,-159.48086547851562,-0.003908872604370117,,,,,,,96.94442280009389,AN,40,46400,-159.4808759689331,,
7,52800,False,0,False,-0.05673656800856873,-137.44669151306152,11232.041015625,-137.4467010498047,-0.002581954002380371,,,,,,,92.2477311999537,AN,40,52800,-137.44669151306152,,
8,72000,True,2,True,0.2382676497194317,-151.4105339050293,12101.142578125,-151.4105224609375,-0.0011212825775146484,5.963103229696799,0.00011512712808325887,2.0452222088351846e-05,6.709303852403536e-05,0.00018911436200141907,0.0,282.4630845999345,AN,40,72000,-151.4105339050293,9.970589599106461e-05,1.6092520952224731
9,80000,False,0,False,-0.11551946598937289,-145.65601444244385,5101.86474609375,-145.656005859375,-0.0020837783813476562,,,,,,,93.79409109987319,AN,40,80000,-145.65601444244385,,
10,86400,False,0,False,-0.01436538110034127,-145.51478052139282,11763.4111328125,-145.5147705078125,-0.0005377531051635742,,,,,,,91.41006750008091,AN,40,86400,-145.51478052139282,,
11,92800,False,0,False,-0.018193387789522904,-146.57883167266846,2679.8203125,-146.57882690429688,-0.0014231204986572266,,,,,,,94.8142372998409,AN,40,92800,-146.57883167266846,,
12,99200,False,0,False,-0.06604104267088598,-147.97673511505127,8882.166015625,-147.9767303466797,-0.000924229621887207,,,,,,,92.85845440020785,AN,40,99200,-147.97673511505127,,
13,118400,False,2,True,0.14659150995891446,-163.5819869041443,9202.48828125,-163.5819854736328,-0.00046503543853759766,-15.036296159712435,6.156718882266432e-05,2.491045779606793e-05,7.432120037265122e-05,0.00015715090557932854,0.0,279.94129589991644,AN,40,118400,-163.5819869041443,3.340115290484391e-05,1.6092214584350586
14,124800,False,0,False,-0.15526777219823024,-165.12300634384155,8555.5654296875,-165.1230010986328,-6.16312026977539e-05,,,,,,,93.65949680004269,AN,40,124800,-165.12300634384155,,
15,131200,False,0,False,-0.03483448035276833,-135.12039136886597,6312.45361328125,-135.12039184570312,-0.00035119056701660156,,,,,,,93.34447590028867,AN,40,131200,-135.12039136886597,,
