scene_seed,n_agents,steps,discounted_return,return_undiscounted,end_reason,entity_count,truncated_entity_count,observation_mode,inference_seconds,inference_seconds_per_joint_step,policy_mode,wall_seconds,success,initial_success,completion_time,success_completion_time,coverage,mean_goal_distance,collision_pairs,collisions_per_step,collision_participation_per_agent_step,experiment,method,seed,source_n,target_n,theory_class,checkpoint,source_experiment,relation_layers,source_profile,source_horizon,source_budget,source_smoke_only,smoke_only,direction_check,return_check
1000000,4,200,-93.26586606112616,-214.9631082462188,deadline,7.0,0.0,full,1.8562035080976784,0.009281017540488393,stochastic,2.0097950999625027,0.0,0,200,,0.25,0.609050429029105,13.0,0.065,0.0325,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000001,4,200,-120.03773414644746,-261.04207097424876,deadline,7.0,0.0,full,1.682893900666386,0.008414469503331929,stochastic,1.8362898998893797,0.0,0,200,,0.0,0.8385813943079579,9.0,0.045,0.0225,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000002,4,200,-116.41868498246689,-289.84559765642894,deadline,7.0,0.0,full,1.4114306038245559,0.00705715301912278,stochastic,1.5586178000085056,0.0,0,200,,0.0,0.7500549634377565,8.0,0.04,0.02,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000003,4,200,-131.62968521626314,-300.62354844275853,deadline,7.0,0.0,full,1.462229497730732,0.00731114748865366,stochastic,1.6133328001014888,0.0,0,200,,0.0,0.9713357766014493,15.0,0.075,0.0375,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000004,4,200,-107.50161130838904,-274.4463152730823,deadline,7.0,0.0,full,1.392680800985545,0.006963404004927724,stochastic,1.5297463000752032,0.0,0,200,,0.0,1.2669900718948868,8.0,0.04,0.02,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000005,4,200,-120.78334805445013,-297.3561516916231,deadline,7.0,0.0,full,1.4085649978369474,0.007042824989184737,stochastic,1.5470837000757456,0.0,0,200,,0.0,0.7992729099809862,13.0,0.065,0.0325,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000006,4,200,-97.51411892384161,-238.7464315723985,deadline,7.0,0.0,full,1.3668282027356327,0.006834141013678163,stochastic,1.499531100038439,0.0,0,200,,0.0,0.6376524723324953,15.0,0.075,0.0375,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000007,4,200,-113.08446287235242,-279.8647434125548,deadline,7.0,0.0,full,1.3825403032824397,0.006912701516412199,stochastic,1.5277577000670135,0.0,0,200,,0.0,0.9896838622022093,13.0,0.065,0.0325,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000008,4,200,-120.25297150116006,-283.11287250428285,deadline,7.0,0.0,full,1.3418673039413989,0.006709336519706994,stochastic,1.4728335998952389,0.0,0,200,,0.0,0.7010248280637745,10.0,0.05,0.025,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000009,4,200,-90.1646385420117,-210.19501715376245,deadline,7.0,0.0,full,1.3480953010730445,0.006740476505365222,stochastic,1.4776241001673043,0.0,0,200,,0.0,0.782215021355509,16.0,0.08,0.04,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000010,4,200,-101.01299714975505,-244.1019497031428,deadline,7.0,0.0,full,1.3706862982362509,0.006853431491181255,stochastic,1.5022403998300433,0.0,0,200,,0.0,0.7686111790805835,9.0,0.045,0.0225,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000011,4,200,-82.1087214891067,-197.7660638218126,deadline,7.0,0.0,full,1.3609691057354212,0.006804845528677106,stochastic,1.4956257999874651,0.0,0,200,,0.0,0.48667751362637945,13.0,0.065,0.0325,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000012,4,200,-129.56409838223814,-313.02550077490196,deadline,7.0,0.0,full,1.3952335049398243,0.006976167524699122,stochastic,1.5348216001875699,0.0,0,200,,0.0,0.7268816628340815,3.0,0.015,0.0075,N-C,AN,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
