round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,policy_step_kl,policy_entropy,update_seconds,method,seed,source_steps_total,train_discounted_return
1,4800,True,1,,,-145.93043041229248,13465.615234375,-145.930419921875,0.008328855037689209,,0.0002976678661070764,6.732783367624506e-05,0.00018585975340101868,0.0005402001552283764,0.0,0.00025389797519892454,1.6091865301132202,44.728384899906814,AN,40,4800,-145.93043041229248
2,8000,True,1,,,-143.02574253082275,14266.9853515625,-143.02574157714844,-0.013982653617858887,,0.0001521977101219818,2.5019167878781445e-05,9.870836947811767e-05,0.00034815073013305664,0.0,0.00014281833136919886,1.609106183052063,53.97195400018245,AN,40,8000,-143.02574253082275
3,11200,True,1,,,-154.75120210647583,21781.322265625,-154.75120544433594,0.002927064895629883,,0.0003038485592696816,5.134575258125551e-05,0.0001835836301324889,0.0007358994334936142,0.0,0.0002522024151403457,1.6086403131484985,51.48085130006075,AN,40,11200,-154.75120210647583
4,14400,True,1,,,-159.83115577697754,29144.59765625,-159.83116149902344,-0.011674165725708008,,0.0003869739593937993,0.0001101991074392572,0.0002892925404012203,0.0008398201316595078,0.0,0.0002708579122554511,1.608228087425232,53.99650330003351,AN,40,14400,-159.83115577697754
5,17600,True,1,,,-159.29800987243652,24112.263671875,-159.29800415039062,-0.003763437271118164,,0.00010258061956847087,3.506443681544624e-05,0.0001721906737657264,0.000597069039940834,0.0,6.858835695311427e-05,1.6082319021224976,53.09394899988547,AN,40,17600,-159.29800987243652
6,20800,True,1,,,-147.23452949523926,20855.060546875,-147.23452758789062,-0.0017224550247192383,,0.00032453759922645986,9.362502169096842e-05,0.00029028364224359393,0.0008017430081963539,0.0,0.00022405375784728676,1.6081753969192505,50.63435829989612,AN,40,20800,-147.23452949523926
7,24000,True,1,,,-155.98327445983887,12654.517578125,-155.9832763671875,-0.0031015872955322266,,0.00016585805860813707,3.97428848373238e-05,0.00013963076344225556,0.00034409482032060623,0.0,0.00011984633601969108,1.607818365097046,52.86827010009438,AN,40,24000,-155.98327445983887
8,27200,True,1,,,-171.5363187789917,11512.548828125,-171.53631591796875,-0.0026906728744506836,,0.0006380165577866137,9.745696297613904e-05,0.00026673299726098776,0.0007951594889163971,0.0,0.0005221671308390796,1.6072676181793213,54.01751289982349,AN,40,27200,-171.5363187789917
9,30400,True,1,,,-162.56616735458374,17712.126953125,-162.566162109375,-0.00045311450958251953,,0.0002706129744183272,6.80446028127335e-05,0.00022615552006755024,0.0005407824646681547,0.0,0.00019661517580971122,1.607071876525879,53.99067369988188,AN,40,30400,-162.56616735458374
10,33600,True,1,,,-141.811363697052,9122.203125,-141.81137084960938,-0.0009926557540893555,,0.00023375464661512524,7.535531040048227e-05,0.0002634541015140712,0.0007322719320654869,0.0,0.00014293784624896944,1.606904149055481,53.5854985001497,AN,40,33600,-141.811363697052
11,36800,True,1,,,-134.93951797485352,4425.94970703125,-134.9395294189453,-0.0008032321929931641,,0.00014515357906930149,6.0602113080676645e-05,0.00027613656129688025,0.00064079649746418,0.0,7.269834168255329e-05,1.6070609092712402,53.41291429987177,AN,40,36800,-134.93951797485352
12,40000,True,1,,,-158.12783479690552,11120.1240234375,-158.12783813476562,-0.0005252361297607422,,0.00030223606154322624,6.900998414494097e-05,0.0002349192654946819,0.0009431047365069389,0.0,0.00023541031987406313,1.6071765422821045,51.96678170002997,AN,40,40000,-158.12783479690552
13,43200,True,1,,,-147.96619606018066,7601.6640625,-147.9661865234375,-0.0003160238265991211,,0.0003353735664859414,5.325059100869112e-05,0.00017585954628884792,0.0006939577870070934,0.0,0.00027264541131444275,1.6064563989639282,54.75863589998335,AN,40,43200,-147.96619606018066
14,46400,True,1,,,-157.07930517196655,6526.30908203125,-157.07931518554688,-0.000803828239440918,,0.00034564570523798466,0.00011997543333563954,0.0003332545456942171,0.0007314635440707207,0.0,0.0002156120608560741,1.6060014963150024,52.07553829997778,AN,40,46400,-157.07930517196655
15,49600,True,1,,,-144.1635618209839,5022.57177734375,-144.16355895996094,-0.000918269157409668,,0.00017984963778872043,4.830198668059893e-05,0.00016818199947010726,0.000557594932615757,0.0,0.00015508916112594306,1.6049673557281494,53.56423979997635,AN,40,49600,-144.1635618209839
16,52800,True,1,,,-153.76345920562744,7566.69677734375,-153.76345825195312,-0.00024247169494628906,,0.0004210758488625288,0.00010003690113080665,0.0003137220919597894,0.0009611491113901138,0.0,0.00030872016213834286,1.6053608655929565,52.33510479982942,AN,40,52800,-153.76345920562744
17,56000,True,1,,,-139.3827896118164,1834.1981201171875,-139.38279724121094,-0.0005203485488891602,,0.00017825025133788586,3.835520692518912e-05,0.0001631380437174812,0.0005274824798107147,0.0,0.00014078852836973965,1.6045135259628296,53.595944799948484,AN,40,56000,-139.3827896118164
18,59200,True,1,,,-154.61497259140015,2170.79248046875,-154.61497497558594,-0.0005675554275512695,,0.0002247797092422843,6.66921041556634e-05,0.0002481135888956487,0.0008077491074800491,0.0,0.0001517479686299339,1.6051675081253052,50.99055009987205,AN,40,59200,-154.61497259140015
19,62400,True,1,,,-137.762864112854,1274.359375,-137.76284790039062,-0.0003228187561035156,,0.00023700520978309214,6.536061846418306e-05,0.00024114546249620616,0.0008296826854348183,0.0,0.00017810640565585345,1.6039754152297974,52.210833199787885,AN,40,62400,-137.762864112854
20,65600,True,1,,,-135.74967527389526,4316.28173828125,-135.74966430664062,-0.00027871131896972656,,0.0002762365620583296,6.665907130809501e-05,0.00021725551050622016,0.001058279536664486,0.0,0.00020583988225553185,1.6039105653762817,52.09613690013066,AN,40,65600,-135.74967527389526
21,70400,True,1,,,-152.64939069747925,3229.011962890625,-152.64938354492188,-0.00038492679595947266,,0.00047627874300815165,9.484065958531573e-05,0.00025494949659332633,0.0011633792892098427,0.0,0.00038056139601394534,1.6034905910491943,50.46725320024416,AN,40,70400,-152.64939069747925
22,73600,True,1,,,-138.75802898406982,1456.225830078125,-138.75802612304688,-0.00016486644744873047,,0.00020687301002908498,3.9987866330193356e-05,0.00015523468027822673,0.0004940757062286139,0.0,0.00015674727910663933,1.6039289236068726,52.48042879998684,AN,40,73600,-138.75802898406982
23,76800,True,1,,,-140.82131004333496,1478.188232421875,-140.82130432128906,-9.500980377197266e-05,,0.0002087604079861194,5.403830800787546e-05,0.0001879388582892716,0.001179124228656292,0.0,0.00014401030784938484,1.6040546894073486,51.84804980037734,AN,40,76800,-140.82131004333496
24,80000,True,1,,,-143.92487287521362,2864.1953125,-143.92486572265625,1.1563301086425781e-05,,0.00015350838657468557,3.487551293801516e-05,0.00014340964844450355,0.00042075663805007935,0.0,0.00010100158397108316,1.603898048400879,51.81089990027249,AN,40,80000,-143.92487287521362
25,83200,True,1,,,-141.64949703216553,3967.843505859375,-141.6494903564453,-7.87973403930664e-05,,0.00015307872672565281,5.0027636461891234e-05,0.00020050723105669022,0.0005596759729087353,0.0,9.701318049337715e-05,1.603879451751709,51.93114100024104,AN,40,83200,-141.64949703216553
26,86400,True,1,,,-137.998215675354,1987.4130859375,-137.9982147216797,-3.2782554626464844e-05,,0.00019100926874671131,4.9551694246474653e-05,0.00018158605962526053,0.00046027451753616333,0.0,0.00013981496158521622,1.604286551475525,52.549115700181574,AN,40,86400,-137.998215675354
