scene_seed,n_agents,steps,discounted_return,return_undiscounted,end_reason,entity_count,truncated_entity_count,observation_mode,inference_seconds,inference_seconds_per_joint_step,policy_mode,wall_seconds,success,initial_success,completion_time,success_completion_time,coverage,mean_goal_distance,collision_pairs,collisions_per_step,collision_participation_per_agent_step,experiment,method,seed,source_n,target_n,theory_class,checkpoint,source_experiment,relation_layers,source_profile,source_horizon,source_budget,source_smoke_only,smoke_only,direction_check,return_check
1000000,4,200,-120.0202453710281,-369.9717158240092,deadline,7.0,0.0,full,2.0118368011899292,0.010059184005949646,stochastic,2.1839808002114296,0.0,0,200,,0.0,1.642152564386532,8.0,0.04,0.02,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000001,4,200,-211.18644030709595,-590.0465213519672,deadline,7.0,0.0,full,1.9232589015737176,0.009616294507868588,stochastic,2.0686733997426927,0.0,0,200,,0.0,2.6722312821266665,7.0,0.035,0.0175,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000002,4,200,-134.29893381437176,-390.44975252982556,deadline,7.0,0.0,full,1.9136486994102597,0.009568243497051298,stochastic,2.052357600070536,0.0,0,200,,0.0,1.7034097187376012,3.0,0.015,0.0075,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000003,4,200,-166.57741340193692,-423.40841506643955,deadline,7.0,0.0,full,1.919397896155715,0.009596989480778575,stochastic,2.0642238003201783,0.0,0,200,,0.0,1.239328889743877,5.0,0.025,0.0125,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000004,4,200,-109.58336160053508,-278.8528993818329,deadline,7.0,0.0,full,1.8971034022979438,0.00948551701148972,stochastic,2.04013690026477,0.0,0,200,,0.0,0.8519148422690697,3.0,0.015,0.0075,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000005,4,200,-161.69671965853357,-457.27589945640204,deadline,7.0,0.0,full,1.9517961968667805,0.009758980984333903,stochastic,2.1072391998022795,0.0,0,200,,0.0,1.9173736996844217,4.0,0.02,0.01,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000006,4,200,-114.3906741551805,-289.00236023175944,deadline,7.0,0.0,full,1.9300849940627813,0.009650424970313907,stochastic,2.079573799856007,0.0,0,200,,0.0,0.7535679926303351,1.0,0.005,0.0025,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000007,4,200,-117.81494796666883,-279.9069134494622,deadline,7.0,0.0,full,2.4091138979420066,0.012045569489710034,stochastic,2.5557198002934456,0.0,0,200,,0.0,0.9984296254203517,3.0,0.015,0.0075,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000008,4,200,-179.49323690580485,-413.7977067934449,deadline,7.0,0.0,full,3.13157179672271,0.015657858983613552,stochastic,3.2958197998814285,0.0,0,200,,0.0,0.6087164441396721,6.0,0.03,0.015,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000009,4,200,-165.3719329680049,-401.51138866420166,deadline,7.0,0.0,full,2.867171397432685,0.014335856987163425,stochastic,3.025578400120139,0.0,0,200,,0.0,1.5059531700250939,5.0,0.025,0.0125,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000010,4,200,-141.23341402548238,-437.8080283633193,deadline,7.0,0.0,full,1.969268900807947,0.009846344504039735,stochastic,2.1298166001215577,0.0,0,200,,0.0,3.0120619567347795,0.0,0.0,0.0,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000011,4,200,-158.23669098711449,-474.89161410148523,deadline,7.0,0.0,full,1.9340905034914613,0.009670452517457306,stochastic,2.086284099612385,0.0,0,200,,0.0,1.6769707822368531,9.0,0.045,0.0225,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000012,4,200,-126.70312307566434,-316.22802383797205,deadline,7.0,0.0,full,1.9260437963530421,0.00963021898176521,stochastic,2.0711508002132177,0.0,0,200,,0.0,1.5996379317398783,8.0,0.04,0.02,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000013,4,200,-234.25641604708844,-696.6889122371016,deadline,7.0,0.0,full,1.8997894022613764,0.009498947011306881,stochastic,2.0449529998004436,0.0,0,200,,0.0,2.2072288259244055,4.0,0.02,0.01,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000014,4,200,-135.2415346630881,-341.7583138503922,deadline,7.0,0.0,full,1.9923434960655868,0.009961717480327934,stochastic,2.1375971999950707,0.0,0,200,,0.0,1.0176195980916445,9.0,0.045,0.0225,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000015,4,200,-132.53293554447666,-386.30049138820004,deadline,7.0,0.0,full,1.8806368010118604,0.009403184005059302,stochastic,2.018763800151646,0.0,0,200,,0.0,2.1200758919690728,3.0,0.015,0.0075,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
1000016,4,200,-113.43378466589843,-308.9498928662754,deadline,7.0,0.0,full,2.0288103967905045,0.010144051983952523,stochastic,2.184579399880022,0.0,0,200,,0.0,0.576777402972879,7.0,0.035,0.0175,N-C,DA,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,True
