round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,policy_step_kl,update_seconds,method,seed,source_steps_total,train_discounted_return
1,17600,False,2,,,-153.59101915359497,20612.431640625,-153.5910186767578,0.0124589204788208,-42.140420012478444,,,,,,0.06095875799655914,239.03477130038664,DA,40,17600,-153.59101915359497
2,33600,False,2,,,-142.2554235458374,27217.8828125,-142.25543212890625,0.008267462253570557,-36.91681831026153,,,,,,0.02255976013839245,236.62565180007368,DA,40,33600,-142.2554235458374
3,49600,False,2,,,-140.30886602401733,23574.71875,-140.30886840820312,0.00045669078826904297,-93.02964050931132,,,,,,0.10381791740655899,238.4918515002355,DA,40,49600,-140.30886602401733
4,65600,False,2,,,-144.5741868019104,13377.490234375,-144.57418823242188,0.0004988312721252441,-71.28960474159848,,,,,,0.050768330693244934,232.38962589995936,DA,40,65600,-144.5741868019104
5,83200,False,2,,,-164.2022728919983,27646.111328125,-164.2022705078125,-0.0010688304901123047,-58.315641902370515,,,,,,0.0743463933467865,227.51898640021682,DA,40,83200,-164.2022728919983
6,99200,False,2,,,-151.1906657218933,12598.419921875,-151.190673828125,-0.0020548105239868164,-91.08966174955944,,,,,,0.048367131501436234,230.78052469994873,DA,40,99200,-151.1906657218933
7,115200,False,2,,,-148.30850458145142,14421.4697265625,-148.30850219726562,-3.695487976074219e-05,-16.72916350397196,,,,,,0.031188931316137314,231.32855569990352,DA,40,115200,-148.30850458145142
8,131200,False,2,,,-132.69529628753662,3516.860107421875,-132.69529724121094,-0.0028111934661865234,-44.104688802475835,,,,,,0.06484414637088776,231.05435540014878,DA,40,131200,-132.69529628753662
9,148800,False,2,,,-155.86538887023926,8151.12060546875,-155.86538696289062,-0.00315701961517334,-34.36522810516337,,,,,,0.05288426950573921,230.7155114999041,DA,40,148800,-155.86538887023926
10,164800,True,2,,,-146.9469437599182,12391.990234375,-146.9469451904297,-1.0848045349121094e-05,2.784479521968848,,,,,,0.002318157348781824,231.53046739986166,DA,40,164800,-146.9469437599182
11,180800,False,2,,,-174.84352016448975,30394.171875,-174.843505859375,-0.0003541707992553711,-5.649338887472538,,,,,,0.016392560675740242,228.73520609969273,DA,40,180800,-174.84352016448975
12,196800,False,2,,,-160.7214913368225,19112.626953125,-160.72149658203125,-0.0008617639541625977,-105.23629193818371,,,,,,0.11955426633358002,234.29360130010173,DA,40,196800,-160.7214913368225
13,214400,False,2,,,-144.9927830696106,3624.189697265625,-144.99278259277344,-0.0011942386627197266,-43.00514177965863,,,,,,0.08412573486566544,231.69085179967806,DA,40,214400,-144.9927830696106
14,230400,False,2,,,-155.93745231628418,8954.9345703125,-155.9374542236328,-0.0005042552947998047,-57.964076685951284,,,,,,0.07323943823575974,230.6344139003195,DA,40,230400,-155.93745231628418
15,246400,False,2,,,-156.2402858734131,10125.1826171875,-156.24029541015625,-0.00010454654693603516,-61.99122217167877,,,,,,0.026734882965683937,232.31316399993375,DA,40,246400,-156.2402858734131
16,256000,False,1,,,-148.46009588241577,2738.364013671875,-148.4600830078125,-0.0005043745040893555,-109.93880151024985,,,,,,0.5556886792182922,137.8216121001169,DA,40,256000,-148.46009588241577
