experiment,method,observation_mode,source_n,target_n,relation_layers,direction_check,return_check,source_horizon,source_budget,source_profile,source_smoke_only,smoke_only,source_experiment,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_steps_total,257600.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,budget,262144.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,unused_budget,4544.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,rounds,16.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,actor_updates,1.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,actor_parameters,350721.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,critic_parameters,19969.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,diagnostic_steps,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,wall_seconds,3731.1693596001714,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_source_monitor_steps,8000.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_train_steps,51200.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_return_old_steps,99200.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_return_candidate_steps,99200.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,episodes,20.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,discounted_return,-155.07996200917688,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,return_undiscounted,-418.24506955452887,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,completion_time,200.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,coverage,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,mean_goal_distance,1.606735223078601,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,collisions_per_step,0.02475,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,collision_participation_per_agent_step,0.012375,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,entity_count,7.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,truncated_entity_count,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,inference_seconds_per_joint_step,0.010631264145602472,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,initial_successes,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,success_rate,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,source_report_only_steps,4000.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,target_report_only_steps,0.0,,1,,,training_seed_or_data_batch,True
N-C,DA,full,4,4,2,False,True,200,262144,pilot,False,False,N-C,report_evaluation_steps,4000.0,,1,,,training_seed_or_data_batch,True
