scene_seed,n_agents,steps,discounted_return,return_undiscounted,end_reason,entity_count,truncated_entity_count,observation_mode,inference_seconds,inference_seconds_per_joint_step,policy_mode,wall_seconds,success,initial_success,completion_time,success_completion_time,coverage,mean_goal_distance,collision_pairs,collisions_per_step,collision_participation_per_agent_step,experiment,method,seed,source_n,target_n,theory_class,checkpoint,source_experiment,relation_layers,source_profile,source_horizon,source_budget,source_smoke_only,smoke_only,direction_check,return_check
1000000,4,200,-56.78250157729624,-135.29664711308234,deadline,7.0,0.0,full,1.244385096244514,0.00622192548122257,stochastic,1.3754475000314415,0.0,0,200,,0.0,0.33112661410741445,53.0,0.265,0.1325,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000001,4,200,-79.2796399710165,-189.94486927166088,deadline,7.0,0.0,full,1.187499398831278,0.0059374969941563905,stochastic,1.3141157999634743,0.0,0,200,,0.0,0.3627662988913917,24.0,0.12,0.06,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000002,4,200,-78.41937671751866,-181.03447634607198,deadline,7.0,0.0,full,1.1829488999210298,0.005914744499605149,stochastic,1.3126416997984052,0.0,0,200,,0.0,0.36417399260863664,32.0,0.16,0.08,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000003,4,200,-109.42496489672335,-239.65635253275173,deadline,7.0,0.0,full,1.2814744003117085,0.006407372001558542,stochastic,1.412614000029862,0.0,0,200,,0.0,0.42390089181805407,36.0,0.18,0.09,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000004,4,200,-77.23840927183795,-166.7111418305665,deadline,7.0,0.0,full,1.2143713007681072,0.006071856503840536,stochastic,1.3427895996719599,0.0,0,200,,0.0,0.3751528784863809,38.0,0.19,0.095,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000005,4,200,-102.61105187226919,-264.5039213580086,deadline,7.0,0.0,full,1.289388998877257,0.006446944994386286,stochastic,1.4174584997817874,0.0,0,200,,0.25,0.7641677345335356,29.0,0.145,0.0725,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000006,4,200,-64.13652882116031,-145.62743586467593,deadline,7.0,0.0,full,1.2987745986320078,0.006493872993160039,stochastic,1.4279073998332024,0.0,0,200,,0.0,0.36643043773365747,32.0,0.16,0.08,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000007,4,200,-65.97943445534818,-164.31968332694208,deadline,7.0,0.0,full,1.3338562003336847,0.006669281001668423,stochastic,1.463586499914527,0.0,0,200,,0.25,0.3733740047088145,28.0,0.14,0.07,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000008,4,200,-76.97798674311557,-181.4340076275829,deadline,7.0,0.0,full,1.3675104011781514,0.006837552005890757,stochastic,1.4970108000561595,0.0,0,200,,0.0,0.43593144837128645,35.0,0.175,0.0875,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000009,4,200,-61.09770744030446,-136.21888811407382,deadline,7.0,0.0,full,1.2862771032378078,0.006431385516189039,stochastic,1.4187386999838054,0.0,0,200,,0.0,0.24839825843014685,37.0,0.185,0.0925,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000010,4,200,-64.11912348824868,-154.92809985017212,deadline,7.0,0.0,full,1.1995404018089175,0.005997702009044588,stochastic,1.325929599814117,0.0,0,200,,0.25,0.4823682551260134,45.0,0.225,0.1125,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000011,4,200,-60.634470697432334,-125.58262144800396,deadline,7.0,0.0,full,1.3449325999245048,0.006724662999622524,stochastic,1.4792795996181667,0.0,0,200,,0.0,0.2494712873562761,39.0,0.195,0.0975,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000012,4,200,-63.05614781940248,-147.38244135938373,deadline,7.0,0.0,full,1.310371199157089,0.006551855995785445,stochastic,1.4450154001824558,0.0,0,200,,0.0,0.4256751107615543,50.0,0.25,0.125,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000013,4,200,-67.41440698075827,-165.50175733146784,deadline,7.0,0.0,full,1.341510796919465,0.006707553984597325,stochastic,1.4712614002637565,0.0,0,200,,0.0,0.2838896788142887,38.0,0.19,0.095,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000014,4,200,-67.62254369748068,-162.90084186633038,deadline,7.0,0.0,full,1.326172998175025,0.006630864990875125,stochastic,1.4537756000645459,0.0,0,200,,0.0,0.3540567578602732,20.0,0.1,0.05,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000015,4,200,-85.83754223749834,-183.49871686703142,deadline,7.0,0.0,full,1.3860176969319582,0.006930088484659791,stochastic,1.5182335996069014,0.0,0,200,,0.0,0.6402136662819089,32.0,0.16,0.08,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000016,4,200,-71.62996703622395,-177.06845714954673,deadline,7.0,0.0,full,1.3209072998724878,0.006604536499362439,stochastic,1.4515507002361119,0.0,0,200,,0.0,0.49729911795155646,23.0,0.115,0.0575,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000017,4,200,-78.15319086609442,-181.58127820531627,deadline,7.0,0.0,full,1.2634947984479368,0.006317473992239684,stochastic,1.3951791999861598,0.0,0,200,,0.0,0.4729631439273231,33.0,0.165,0.0825,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000018,4,200,-61.74203358617471,-132.72384969328434,deadline,7.0,0.0,full,1.2951595997437835,0.006475797998718918,stochastic,1.423913599923253,0.0,0,200,,0.0,0.380024610528466,52.0,0.26,0.13,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
1000019,4,200,-100.57247053980367,-204.07090272243104,deadline,7.0,0.0,full,1.2610505963675678,0.006305252981837839,stochastic,1.3912840001285076,0.0,0,200,,0.0,0.6291807461415486,21.0,0.105,0.0525,N-C,MAPPO-E,40,4,4,B_empirical,final.pt,N-C,2,pilot,200,262144,False,False,False,False
