round,source_steps,author_stats,critic_mse,explained_variance,train_value_target,ppo_kl,policy_entropy,clip_fraction,updates,accepted,candidates,direction_pass,direction_score,train_J,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return
1,4800,"{""value_loss"": 0.4560369119048119, ""policy_loss"": -0.00016091494508145842, ""dist_entropy"": 1.6094004154205321, ""actor_grad_norm"": 0.005550679285079241, ""critic_grad_norm"": 0.09677528589963913, ""ratio"": 0.9999679923057556}",201.04173278808594,0.20841386475735535,-20.1760311126709,0.00019815277482848614,1.6092443466186523,0.0,40,True,0,,,-145.72930908203125,,,,,,,56.43394090002403,MAPPO-E,40,4800,-145.72930908203125
2,8000,"{""value_loss"": 0.539898881316185, ""policy_loss"": -7.571927981189219e-05, ""dist_entropy"": 1.6091843336820602, ""actor_grad_norm"": 0.0048341150395572186, ""critic_grad_norm"": 0.19416974484920502, ""ratio"": 0.9999648928642273}",234.65878295898438,0.2964771728201423,-45.961814880371094,8.153098315233365e-05,1.6091985702514648,0.0,40,True,0,,,-146.38756561279297,,,,,,,53.970339900348336,MAPPO-E,40,8000,-146.38756561279297
3,11200,"{""value_loss"": 0.4214844971895218, ""policy_loss"": -0.00029741955841018354, ""dist_entropy"": 1.609202778339386, ""actor_grad_norm"": 0.005874461494386196, ""critic_grad_norm"": 0.15706169605255127, ""ratio"": 0.9998528361320496}",247.0959930419922,0.15492912753503674,-60.5787353515625,0.0004691415233537555,1.6089907884597778,0.0,40,True,0,,,-147.03344297409058,,,,,,,56.59004830010235,MAPPO-E,40,11200,-147.03344297409058
4,14400,"{""value_loss"": 0.42694191858172414, ""policy_loss"": -0.0003126900861389004, ""dist_entropy"": 1.6079904049634934, ""actor_grad_norm"": 0.006524109747260809, ""critic_grad_norm"": 0.1845661699771881, ""ratio"": 1.0001697540283203}",314.3610534667969,0.18513104162142902,-71.01777648925781,0.0018075340194627643,1.605928659439087,0.0,40,True,0,,,-149.42536878585815,,,,,,,55.635258600115776,MAPPO-E,40,14400,-149.42536878585815
5,17600,"{""value_loss"": 0.45462911799550054, ""policy_loss"": -0.00038172929780557754, ""dist_entropy"": 1.6070242762565612, ""actor_grad_norm"": 0.006863768678158522, ""critic_grad_norm"": 0.20296664535999298, ""ratio"": 1.0003026723861694}",415.73358154296875,0.23676184898597552,-82.72956848144531,0.001059386064298451,1.6083718538284302,0.0,40,True,0,,,-164.0148801803589,,,,,,,52.31797889992595,MAPPO-E,40,17600,-164.0148801803589
6,20800,"{""value_loss"": 0.3063541013747454, ""policy_loss"": -0.000499565349855402, ""dist_entropy"": 1.6087048321962356, ""actor_grad_norm"": 0.005625942721962929, ""critic_grad_norm"": 0.17930971086025238, ""ratio"": 0.9999610185623169}",356.8526611328125,0.3023483972152936,-96.32490539550781,0.0006081226747483015,1.6088166236877441,0.0,40,True,0,,,-149.3773398399353,,,,,,,54.22581360023469,MAPPO-E,40,20800,-149.3773398399353
7,24000,"{""value_loss"": 0.23337810188531877, ""policy_loss"": -0.0003713206430802529, ""dist_entropy"": 1.6087015271186829, ""actor_grad_norm"": 0.005862641613930464, ""critic_grad_norm"": 0.1426471322774887, ""ratio"": 1.0000662803649902}",334.4061584472656,0.4342247145110111,-109.93528747558594,0.0008646378410048783,1.6076055765151978,0.004609374795109034,40,True,0,,,-141.79682064056396,,,,,,,56.192701700143516,MAPPO-E,40,24000,-141.79682064056396
8,27200,"{""value_loss"": 0.1923847295343876, ""policy_loss"": -0.0008901782843167893, ""dist_entropy"": 1.6086383044719696, ""actor_grad_norm"": 0.0066460841335356236, ""critic_grad_norm"": 0.13331274688243866, ""ratio"": 0.9999192357063293}",299.39996337890625,0.5225500233092155,-113.69073486328125,0.001402445719577372,1.6082531213760376,0.0063281250186264515,40,True,0,,,-146.0738754272461,,,,,,,55.81383619969711,MAPPO-E,40,27200,-146.0738754272461
9,30400,"{""value_loss"": 0.16436818316578866, ""policy_loss"": -0.000659816202824004, ""dist_entropy"": 1.6079426854848862, ""actor_grad_norm"": 0.00712162209674716, ""critic_grad_norm"": 0.11423343420028687, ""ratio"": 1.0004360675811768}",279.9290466308594,0.6002245760359954,-126.31080627441406,0.0011988551123067737,1.6068997383117676,0.003984374925494194,40,True,0,,,-145.54711866378784,,,,,,,55.32823849981651,MAPPO-E,40,30400,-145.54711866378784
10,33600,"{""value_loss"": 0.1680581636726856, ""policy_loss"": -0.0009732698617881397, ""dist_entropy"": 1.607941895723343, ""actor_grad_norm"": 0.007472743280231953, ""critic_grad_norm"": 0.1410035341978073, ""ratio"": 1.0001769065856934}",311.91015625,0.5823045010167351,-126.64349365234375,0.0015101796016097069,1.6076165437698364,0.008671875111758709,40,True,0,,,-142.5188503265381,,,,,,,55.03675650013611,MAPPO-E,40,33600,-142.5188503265381
11,36800,"{""value_loss"": 0.1707535058259964, ""policy_loss"": -0.0009883940656436607, ""dist_entropy"": 1.6065094530582429, ""actor_grad_norm"": 0.014835330657660961, ""critic_grad_norm"": 0.11285785585641861, ""ratio"": 0.99970543384552}",317.9879150390625,0.5889637790167552,-130.43325805664062,0.0012672931188717484,1.6054264307022095,0.005546874832361937,40,True,0,,,-144.59647703170776,,,,,,,54.94794370001182,MAPPO-E,40,36800,-144.59647703170776
12,40000,"{""value_loss"": 0.14310286119580268, ""policy_loss"": -0.0019111068424535916, ""dist_entropy"": 1.6026118218898773, ""actor_grad_norm"": 0.02009452134370804, ""critic_grad_norm"": 0.11228913068771362, ""ratio"": 0.9993831515312195}",274.8838195800781,0.6275878380198233,-132.56417846679688,0.003311748383566737,1.5985709428787231,0.026796873658895493,40,True,0,,,-145.96619129180908,,,,,,,54.95035919966176,MAPPO-E,40,40000,-145.96619129180908
13,43200,"{""value_loss"": 0.17972087003290654, ""policy_loss"": -0.002651272586626874, ""dist_entropy"": 1.6016345292329788, ""actor_grad_norm"": 0.021191490814089775, ""critic_grad_norm"": 0.16663886606693268, ""ratio"": 1.0003858804702759}",349.3854675292969,0.6184110421126694,-132.27194213867188,0.003713302779942751,1.5993188619613647,0.03476562350988388,40,True,0,,,-142.99120950698853,,,,,,,53.71936069987714,MAPPO-E,40,43200,-142.99120950698853
14,46400,"{""value_loss"": 0.23373114466667175, ""policy_loss"": -0.0036722403077874334, ""dist_entropy"": 1.597343161702156, ""actor_grad_norm"": 0.03339957445859909, ""critic_grad_norm"": 0.24369291961193085, ""ratio"": 0.9992489814758301}",444.080322265625,0.5264938723850278,-135.42303466796875,0.004629196599125862,1.5939077138900757,0.040546875447034836,40,True,0,,,-170.68235874176025,,,,,,,53.94869719957933,MAPPO-E,40,46400,-170.68235874176025
15,49600,"{""value_loss"": 0.15608684085309504, ""policy_loss"": -0.004122958558582468, ""dist_entropy"": 1.597495859861374, ""actor_grad_norm"": 0.03680948540568352, ""critic_grad_norm"": 0.285888671875, ""ratio"": 1.0000919103622437}",299.9981994628906,0.6829964762675483,-128.88648986816406,0.0047334954142570496,1.592549204826355,0.047968748956918716,40,True,0,,,-158.9522614479065,,,,,,,53.07333840010688,MAPPO-E,40,49600,-158.9522614479065
