experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,return_check_gain,return_check_mode,return_check_standard_error,direction_status
P-T,AN,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.14079999999999998,0.14079999999999998,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.42239999999999994,0.42239999999999994,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0,0.0,0.13226666666666667,0.13226666666666667,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.04666666666666674,0.2533333333333333,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.033077333333333334,0.1265261658065597,-0.03161538775468535,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.0,0.0,0.44799999999999984,0.44799999999999984,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.16666666666666632,0.46666666666666634,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.11909333333333315,0.12652616580655965,-0.003660171055703293,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.1248,0.1248,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.034608,0.3711245024060214,-0.07872282890046993,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.28159999999999996,0.28159999999999996,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.06652799999999993,0.06653487609092415,-3.4379566307418674e-06,specified_source_logit_path_through_finite_candidate,,,,
P-T,AN,49,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.0,0.0,0.3744,0.3744,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.042973497964660434,100,5.0,-0.049298602458423525,empirical,-0.26,0.03999999999999998,0.3,0.7,0.0024871503367400924,0.04329404636901973,0.034608,0.3711245024060214,-0.07872282890046993,specified_source_logit_path_through_finite_candidate,,,,
P-T,SA,49,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.0,0.0,0.14079999999999998,0.14079999999999998,0.0,2080,2048,32,0,False,direction_rejected,0.0,0,,-0.04207511799814288,100,5.0,-0.04753736333689207,empirical,0.059999999999999803,0.3599999999999998,0.3,0.7,0.0029766746099079873,0.0413695937558692,0.06652799999999993,0.06654030534468697,-6.15238786272343e-06,specified_source_logit_path_through_finite_candidate,,,,
