experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,43,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.1254830161073019,0.06274150805365095,0.14079999999999998,0.15376988858521676,0.012969888585216777,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.0011817020760454546,0.0012541372619715207,0.057393710549558746,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2509660322146038,0.06274150805365095,0.28159999999999996,0.3075397771704335,0.025939777170433553,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.0011817020760454546,0.0012541372619715207,0.057393710549558746,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3764490483219057,0.06274150805365095,0.42239999999999994,0.4613096657556503,0.03890966575565036,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.0011817020760454546,0.0012541372619715207,0.057393710549558746,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0880967558642661,0.04404837793213305,0.13226666666666667,0.1411518062280362,0.00888513956136952,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,-0.04666666666666674,0.2533333333333333,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.005117295652414639,0.017735691232579693,0.008856487543041122,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2509660322146038,0.06274150805365095,0.28159999999999996,0.3075397771704335,0.025939777170433553,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.0011817020760454546,0.0012541372619715207,0.057393710549558746,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.48860782905101313,0.08143463817516886,0.44799999999999984,0.49916391282719197,0.051163912827192126,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.16666666666666632,0.46666666666666634,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.016360775166342885,0.017735691232579693,0.07313462808765975,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.008380436987225643,0.0041902184936128215,0.1248,0.1258949366605186,0.0010949366605186028,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.06632204205210526,0.11333841703461578,-0.028021193965226662,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2509660322146038,0.06274150805365095,0.28159999999999996,0.3075397771704335,0.025939777170433553,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.0011817020760454546,0.0012541372619715207,0.057393710549558746,specified_source_logit_path_through_finite_candidate,
P-T,AN,43,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.02514131096167693,0.0041902184936128215,0.3744,0.37768480998155574,0.0032848099815557252,2064,2048,0,16,True,accepted_empirical,0.1,1,4.494599792843381e-09,-0.060688753395611666,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.3001449392095407,0.7143040735895259,0.0011869544712500243,9.24664631068702e-07,0.06632204205210526,0.11333841703461578,-0.028021193965226662,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.1252665459224601,0.06263327296123004,0.14079999999999998,0.15374695878351716,0.012946958783517176,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.00118845273666781,0.001260727881211594,0.05736974118725366,specified_source_logit_path_through_finite_candidate,
