experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,AN,exact_advantage,32,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,source_steps_training,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,direction_error,0.055369249882994444,0.06366925859307902,20,0.029913433162501564,0.08272526520860181,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,direction_norm,0.13791994396638846,0.11894719742610489,20,0.0888247501878722,0.1885387886802945,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,exact_score,0.011158750117005487,0.06366925859307902,20,-0.016197265208601885,0.03661456683749834,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,validation_score,0.004044009949912662,0.0789102650615011,20,-0.030173916576777055,0.03504136767455521,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,validation_score_variance,0.8139372300185522,0.8653374905511696,20,0.46625748247824444,1.192294793442874,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,validation_gradient_trace_variance,3.850704631292674,0.4928711846572542,20,3.6469486418709045,4.068249444712688,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,fixed_oracle_q_score_variance,0.3461672554400973,0.04403229591403669,20,0.32772456795172644,0.3643420662012247,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,fixed_oracle_q_gradient_trace_variance,3.816574117969,0.4601598330563073,20,3.6262162709244112,4.020127993218905,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,curvature_min,0.8400000000000001,1.1390647892519134e-16,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,curvature_max,0.8400000000000001,0.0,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,optimization_seconds,0.005332220019772649,0.0005141045862515913,20,0.005132627734565176,0.005571406832314095,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,direction_loss,-0.1379146315647644,0.11854868227525343,20,-0.1893239919057333,-0.08768288641498731,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,q_coefficient_0,0.1568838906550847,0.2973465253741965,20,0.029288794281475104,0.2814627669691649,training_seed_or_data_batch,False
P-E,AN,exact_advantage,32,False,q_coefficient_1,0.393389372828982,0.22121905034514452,20,0.29273666873216375,0.48186242676133667,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,source_steps_training,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,direction_error,0.05421440514431686,0.060713619703816724,20,0.029403866386448766,0.07946677023953799,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,direction_norm,0.1431435443632512,0.1160262451890312,20,0.09485863814921149,0.19301648349027434,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,exact_score,0.01231359485568306,0.06071361970381674,20,-0.012938770239538074,0.037124133613551165,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,validation_score,0.0065797010529615955,0.07295414747311418,20,-0.025364067935342918,0.03510773939346966,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,validation_score_variance,0.823915322894965,0.8196687764033113,20,0.4936520537412454,1.1915759331943774,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,validation_gradient_trace_variance,4.1160960813688785,0.5049039809664481,20,3.9047291221954286,4.336711837362361,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,fixed_oracle_q_score_variance,0.3629285012487514,0.04757387284301278,20,0.343153904332936,0.3826416892303326,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,fixed_oracle_q_gradient_trace_variance,4.048589477425194,0.5013234669190042,20,3.8408779660697063,4.271824779707262,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,curvature_min,0.36000000000000004,5.695323946259567e-17,20,0.36000000000000004,0.36000000000000004,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,curvature_max,1.9599999999999997,0.0,20,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,optimization_seconds,0.005125424941070378,0.00045787774805463086,20,0.004958601434482262,0.005351732356357388,training_seed_or_data_batch,False
P-E,SA,exact_advantage,32,False,direction_loss,-0.140114909513196,0.11742163868582371,20,-0.19096793166584844,-0.09077643878729659,training_seed_or_data_batch,False
