experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,table,2048,1,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,actual_return_gain,0.012670557793784454,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,projected_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,realized_path_derivative,0.12095729515396489,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_training,0.00013499207184802917,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_validation,0.00013530253391530909,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_exact,0.0001345102718568917,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,old_new_kl,9.440620933602145e-05,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,direction_realization_residual,0.027334385272510933,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,seconds,0.0009718998335301876,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,candidate_p_0,0.30633618983170036,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1,AN,False,candidate_p_1,0.7062619515195928,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,actual_return_gain,0.012670892651722943,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,realized_path_derivative,0.012095965604563401,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,old_new_kl,9.442046392707341e-05,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,candidate_p_0,0.3063373751427393,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1,,False,candidate_p_1,0.7062619579117488,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,actual_return_gain,0.027822408263394938,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,projected_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,realized_path_derivative,0.26536059418966534,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,forward_kl_training,9.580705983562674e-06,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,forward_kl_validation,9.478164282036388e-06,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,forward_kl_exact,9.739838438355402e-06,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,old_new_kl,0.00032828360327374277,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,direction_realization_residual,0.0019444809259337207,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,seconds,0.0009434996172785759,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,candidate_p_0,0.3033016227050996,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,10,AN,False,candidate_p_1,0.7147736158703643,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,actual_return_gain,0.17575960882439012,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,realized_path_derivative,0.12050504424045856,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,old_new_kl,0.009334121298977156,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,candidate_p_0,0.36671580468720716,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,10,,False,candidate_p_1,0.7587679779895805,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,actual_return_gain,0.02617229426011708,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,projected_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
