experiment,method,direction_method,label,seed,actor_class,fit_steps,sample_episodes,source_steps_total,eta,ideal_return_gain,actual_return_gain,learned_direction_derivative,projected_direction_derivative,projection_reference,realized_path_derivative,forward_kl_training,forward_kl_validation,forward_kl_exact,old_new_kl,direction_realization_residual,seconds,learned_q_0,learned_q_1,candidate_p_0,candidate_p_1,direction_status
P-A,AN,AN,mc_raw,45,table,1,2048,2548,0.1,0.02990846382372314,0.012670910866458773,0.28575749618645335,0.28575749618645335,exact_population_Fisher_projection_diagnostic,0.12095975582832143,0.00015289111553611791,0.00015199697507273778,0.00015421322388283024,9.442162872380175e-05,0.03153801023282392,0.0004193997010588646,0.05447995551193023,0.387682198762637,0.30633748166412483,0.7062619520612025,
P-A,DA,,mc_raw,45,table,1,2048,2548,,,0.012670938542175325,,,,0.012095997576994562,,,,9.4422469537731e-05,,,,,0.30633754318774914,0.7062619579612552,not_applicable
P-A,AN,AN,mc_raw,45,table,10,2048,2548,0.1,0.02990846382372314,0.03471845835121218,0.28575749618645335,0.28575749618645335,exact_population_Fisher_projection_diagnostic,0.3285486993877719,8.819611945478253e-06,8.775432537770393e-06,8.884937211558422e-06,0.0005012253316432339,0.001828196965129722,0.0011993004009127617,0.05447995551193023,0.387682198762637,0.3034506337914009,0.718294465327572,
P-A,DA,,mc_raw,45,table,10,2048,2548,,,0.17576138417658776,,,,0.12050535784176317,,,,0.009334328364692328,,,,,0.36671760588950475,0.7587679784346133,not_applicable
P-A,AN,AN,mc_raw,45,table,100,2048,2548,0.1,0.02990846382372314,0.030038726102677826,0.28575749618645335,0.28575749618645335,exact_population_Fisher_projection_diagnostic,0.2869804074692624,7.483478030627894e-09,7.430158908053434e-09,7.562317608839802e-09,0.00038304019270801303,1.560152149022835e-06,0.006455700378865004,0.05447995551193023,0.387682198762637,0.3022763581044364,0.7160964178967694,
P-A,DA,,mc_raw,45,table,100,2048,2548,,,2.8709755781078634,,,,0.9049050247830378,,,,0.5540575426336989,,,,,0.8712698116649455,0.954102435171719,not_applicable
P-A,AN,AN,mc_raw,45,table,1000,2048,2548,0.1,0.02990846382372314,0.029908463823722975,0.28575749618645335,0.28575749618645335,exact_population_Fisher_projection_diagnostic,0.28575749618645147,1.9502425411849214e-17,1.9349873819946544e-17,1.9727993699181158e-17,0.0003797801153901241,3.286878324752765e-30,0.0614400003105402,0.05447995551193023,0.387682198762637,0.30229313263487656,0.7160261028179998,
P-A,DA,,mc_raw,45,table,1000,2048,2548,,,4.003071893938696,,,,2.29408956772552,,,,2.1718415495937156,,,,,0.9969701902968684,0.9983917914952407,not_applicable
P-A,AN,AN,mc_raw,45,shared_offset,1,2048,2548,0.1,0.02990846382372314,0.012670928905713863,0.28575749618645335,0.20514920949924234,exact_population_Fisher_projection_diagnostic,0.12095988412363193,0.00015289158101155644,0.00015199744617032068,0.00015421368104516324,9.442238158656677e-05,0.03153810082826192,0.00038560014218091965,0.05447995551193023,0.387682198762637,0.30633754388389767,0.7062619526463827,
P-A,DA,,mc_raw,45,shared_offset,1,2048,2548,,,0.012670940337903447,,,,0.012095998853756852,,,,9.442254453113173e-05,,,,,0.306337549386731,0.7062619580187285,not_applicable
P-A,AN,AN,mc_raw,45,shared_offset,10,2048,2548,0.1,0.02990846382372314,0.01324648493413555,0.28575749618645335,0.20514920949924234,exact_population_Fisher_projection_diagnostic,0.12620681951739612,0.00014767368945032473,0.00014686294639904598,0.00014887248337480777,0.00010278791089384352,0.030432438869821908,0.0007774997502565384,0.05447995551193023,0.387682198762637,0.3066141380468782,0.7065318474925603,
P-A,DA,,mc_raw,45,shared_offset,10,2048,2548,,,0.1754152338462862,,,,0.12051022637470168,,,,0.009287442294191954,,,,,0.3662325974721134,0.7588129169831499,not_applicable
P-A,AN,AN,mc_raw,45,shared_offset,100,2048,2548,0.1,0.02990846382372314,0.021614837632038475,0.28575749618645335,0.20514920949924234,exact_population_Fisher_projection_diagnostic,0.20040458525753216,0.00011184668586431903,0.00011222042653570867,0.00011129405942430278,0.0002590385397190524,0.022411464119838808,0.005366099998354912,0.05447995551193023,0.387682198762637,0.31054034743379416,0.7103328954191002,
P-A,DA,,mc_raw,45,shared_offset,100,2048,2548,,,2.583034141697632,,,,0.9164269343775909,,,,0.46201713817880175,,,,,0.8062126943477306,0.9577176037390228,not_applicable
P-A,AN,AN,mc_raw,45,shared_offset,1000,2048,2548,0.1,0.02990846382372314,0.021662565403369305,0.28575749618645335,0.20514920949924234,exact_population_Fisher_projection_diagnostic,0.20081717125353943,0.00011184559083883525,0.00011222595014277234,0.0001112831778499565,0.00026010546893852766,0.022406626642789806,0.05292889988049865,0.05447995551193023,0.387682198762637,0.3105622567725194,0.7103539499571718,
P-A,DA,,mc_raw,45,shared_offset,1000,2048,2548,,,3.984058236817112,,,,2.3517220475136167,,,,1.9909008314336214,,,,,0.9932090215672679,0.9987457241570917,not_applicable
