experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,normalized,4,2,False,target_plus_type_probability,0.5999999999999999,1.1702778228589004e-16,10,0.5999999999999999,0.5999999999999999,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,density_ratio,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,neighbor_weight,2.0,0.0,10,2.0,2.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,semantic_drift,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_local_energy,0.06652799999999993,0.0,10,0.06652799999999993,0.06652799999999993,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_path_derivative,0.09144195502916563,0.0648907859293008,10,0.05012765008828286,0.1260301761949335,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_normalized_path_derivative,0.04572097751458282,0.0324453929646504,10,0.02506382504414143,0.06301508809746675,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,old_return,0.14079999999999998,0.0,10,0.14079999999999998,0.14079999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return,0.150349040973332,0.006808684688980065,10,0.146023588875844,0.154006557942177,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_gain,0.009549040973332049,0.006808684688980065,10,0.005223588875844019,0.013206557942177012,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_total,2067.2,7.728734264634367,10,2062.4,2070.4,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_direction_check,8.0,0.0,10,8.0,8.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_steps_return_check,11.2,7.728734264634366,10,6.4,14.4,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,eta,0.06999999999999999,0.0483045891539648,10,0.04,0.09,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,attempts,0.7,0.4830458915396479,10,0.4,0.9,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,forward_kl_training,3.496296021814758e-09,2.7271692624220566e-09,7,1.7137266558387966e-09,5.359831226849557e-09,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,direction_check_score,0.08344295991510982,0.14995686264665897,10,0.0022735990419888363,0.17587122417538603,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_gain,0.05119047619047618,0.09006537895757996,7,0.0,0.1226190476190476,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,return_check_standard_error,0.05119047619047618,0.09006537895757995,7,0.0,0.1226190476190476,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_0,0.05999999999999981,7.314236392868128e-18,10,0.05999999999999981,0.05999999999999981,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,target_true_coefficient_1,0.3599999999999998,0.0,10,0.3599999999999998,0.3599999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_0,0.30144091050256194,0.002394403211466181,10,0.3000896372162375,0.30286140851436905,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,frozen_actor_p_1,0.7102717833222199,0.007264960044969036,10,0.7056798881862306,0.7141336555096555,training_seed_or_data_batch,False
P-T,AN,normalized,4,2,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
